Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.1394  1.3352    -7.2286 -5.3014
      1  -5.9411  0.7930    -7.0049 -5.0691
      2  -6.4478  0.6012    -7.2562 -5.9804
      3  -6.7601  0.6376    -7.8692 -6.4492
      4  -6.6706  0.4591    -7.0991 -6.4603
      5  -6.6919  0.3516    -7.0478 -6.4991
      6  -6.7018  0.2818    -7.0104 -6.5222
      7  -6.7058  0.2382    -6.9993 -6.5330
      8  -6.7079  0.2098    -6.9985 -6.5416
      9  -6.7089  0.1909    -6.9979 -6.5487
     10  -6.7089  0.1797    -6.9975 -6.5518
     11  -6.7092  0.1700    -6.9970 -6.5572
     12  -6.7090  0.1639    -6.9966 -6.5594
     13  -6.7086  0.1594    -6.9964 -6.5609
     14  -6.7083  0.1555    -6.9961 -6.5621
     15  -6.7083  0.1507    -6.9958 -6.5656
     16  -6.7082  0.1469    -6.9956 -6.5678
     17  -6.7079  0.1441    -6.9954 -6.5689
     18  -6.7077  0.1417    -6.9952 -6.5696
     19  -6.7076  0.1388    -6.9951 -6.5714
     20  -6.7074  0.1364    -6.9949 -6.5726
     21  -6.7072  0.1345    -6.9948 -6.5732
     22  -6.7072  0.1322    -6.9946 -6.5747
     23  -6.7071  0.1303    -6.9945 -6.5756
     24  -6.7070  0.1288    -6.9944 -6.5763
     25  -6.7070  0.1267    -6.9943 -6.5782
     26  -6.7069  0.1254    -6.9942 -6.5787
     27  -6.7069  0.1238    -6.9941 -6.5799
     28  -6.7069  0.1225    -6.9940 -6.5807
     29  -6.7069  0.1212    -6.9939 -6.5817
     30  -6.7070  0.1198    -6.9938 -6.5832
     31  -6.7070  0.1188    -6.9938 -6.5839
     32  -6.7069  0.1179    -6.9937 -6.5843
     33  -6.7069  0.1171    -6.9936 -6.5849
     34  -6.7069  0.1161    -6.9936 -6.5858
     35  -6.7069  0.1154    -6.9935 -6.5864
     36  -6.7069  0.1145    -6.9935 -6.5872
     37  -6.7069  0.1139    -6.9934 -6.5876
     38  -6.7070  0.1130    -6.9933 -6.5888
     39  -6.7071  0.1122    -6.9933 -6.5899
     40  -6.7071  0.1118    -6.9932 -6.5902
     41  -6.7070  0.1113    -6.9932 -6.5905

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0999  0.0596     0.0043  0.1896
      1   0.0975  0.0604     0.0027  0.1893
      2   0.0973  0.0602     0.0025  0.1892
      3   0.0900  0.0615     0.0006  0.1878
      4   0.1044  0.0590     0.0045  0.1904
      5   0.1078  0.0571     0.0102  0.1907
      6   0.1101  0.0558     0.0149  0.1909
      7   0.1114  0.0550     0.0176  0.1910
      8   0.1124  0.0543     0.0200  0.1911
      9   0.1133  0.0538     0.0219  0.1912
     10   0.1138  0.0534     0.0230  0.1913
     11   0.1146  0.0530     0.0244  0.1913
     12   0.1150  0.0527     0.0253  0.1914
     13   0.1153  0.0525     0.0260  0.1914
     14   0.1155  0.0524     0.0266  0.1914
     15   0.1160  0.0521     0.0277  0.1915
     16   0.1164  0.0518     0.0284  0.1915
     17   0.1166  0.0517     0.0289  0.1915
     18   0.1168  0.0516     0.0292  0.1915
     19   0.1171  0.0514     0.0298  0.1916
     20   0.1173  0.0513     0.0303  0.1916
     21   0.1174  0.0512     0.0306  0.1916
     22   0.1177  0.0510     0.0311  0.1916
     23   0.1179  0.0509     0.0314  0.1916
     24   0.1180  0.0508     0.0317  0.1917
     25   0.1183  0.0507     0.0323  0.1917
     26   0.1184  0.0506     0.0325  0.1917
     27   0.1186  0.0505     0.0329  0.1917
     28   0.1187  0.0504     0.0333  0.1917
     29   0.1189  0.0503     0.0336  0.1917
     30   0.1191  0.0501     0.0341  0.1918
     31   0.1192  0.0501     0.0344  0.1918
     32   0.1193  0.0500     0.0346  0.1918
     33   0.1194  0.0499     0.0348  0.1918
     34   0.1196  0.0499     0.0351  0.1918
     35   0.1197  0.0498     0.0353  0.1918
     36   0.1198  0.0497     0.0355  0.1918
     37   0.1199  0.0497     0.0356  0.1918
     38   0.1200  0.0496     0.0359  0.1918
     39   0.1202  0.0495     0.0362  0.1919
     40   0.1202  0.0494     0.0363  0.1919
     41   0.1203  0.0494     0.0365  0.1919

