Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.9638  1.1571    -5.6982 -2.4760
      1  -3.1102  0.8206    -4.0353 -2.3876
      2  -3.5103  0.6936    -4.2204 -3.1321
      3  -3.2695  0.7815    -4.0165 -2.8903
      4  -3.1761  0.6026    -3.5139 -2.8877
      5  -3.1586  1.0994    -5.7857 -2.4857
      6  -3.0215  1.0311    -5.0826 -2.4328
      7  -3.0123  0.8627    -3.7123 -2.5940
      8  -3.1433  1.3787    -7.0789 -2.3927
      9  -2.9326  1.0569    -5.1209 -2.3877
     10  -2.8120  0.7943    -3.4047 -2.3851
     11  -2.8061  0.6561    -3.3521 -2.4300
     12  -2.7261  0.7076    -3.2756 -2.3784
     13  -2.7137  0.5773    -3.1958 -2.4087
     14  -2.8157  0.6403    -3.3478 -2.4878
     15  -2.7987  0.5089    -3.3036 -2.5749
     16  -2.7317  0.5617    -3.2028 -2.4600
     17  -2.6879  0.4416    -3.1173 -2.4568
     18  -2.6398  0.3911    -3.0898 -2.4311
     19  -2.6413  0.3157    -3.0885 -2.4852
     20  -2.6102  0.2648    -3.0520 -2.4681
     21  -2.5905  0.2160    -3.0033 -2.4614
     22  -2.5967  0.1777    -3.0081 -2.5350
     23  -2.5912  0.1463    -2.9870 -2.5415
     24  -2.5973  0.1267    -2.9945 -2.5827
     25  -2.5857  0.1056    -2.9060 -2.5821
     26  -2.5791  0.0895    -2.8519 -2.5819
     27  -2.5835  0.0788    -2.8525 -2.5862
     28  -2.5784  0.0666    -2.8475 -2.5859
     29  -2.5814  0.0589    -2.8479 -2.5887
     30  -2.5754  0.0527    -2.8436 -2.5867
     31  -2.5774  0.0455    -2.8437 -2.5888
     32  -2.5741  0.0459    -2.8422 -2.5870
     33  -2.5752  0.0414    -2.8422 -2.5881
     34  -2.5772  0.0338    -2.8423 -2.5900
     35  -2.5767  0.0314    -2.8419 -2.5900
     36  -2.5774  0.0282    -2.8419 -2.5906
     37  -2.5755  0.0331    -2.8415 -2.5892
     38  -2.5772  0.0256    -2.8416 -2.5908
     39  -2.5783  0.0187    -2.8417 -2.5919
     40  -2.5782  0.0175    -2.8415 -2.5919
     41  -2.5781  0.0168    -2.8414 -2.5918

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0989  0.0600     0.0028  0.1895
      1   0.1003  0.0597     0.0032  0.1897
      2   0.1000  0.0603     0.0025  0.1898
      3   0.0950  0.0619     0.0001  0.1892
      4   0.1060  0.0595     0.0049  0.1909
      5   0.0410  0.0359     0.0000  0.1098
      6   0.0398  0.0345     0.0001  0.1061
      7   0.0477  0.0365     0.0001  0.1160
      8   0.0203  0.0169     0.0000  0.0490
      9   0.0219  0.0165     0.0001  0.0503
     10   0.0229  0.0162     0.0003  0.0510
     11   0.0256  0.0168     0.0011  0.0543
     12   0.0226  0.0147     0.0007  0.0471
     13   0.0248  0.0150     0.0016  0.0495
     14   0.0228  0.0137     0.0011  0.0453
     15   0.0244  0.0137     0.0020  0.0467
     16   0.0225  0.0127     0.0015  0.0427
     17   0.0240  0.0127     0.0025  0.0443
     18   0.0252  0.0131     0.0032  0.0463
     19   0.0267  0.0132     0.0046  0.0475
     20   0.0282  0.0135     0.0060  0.0498
     21   0.0297  0.0138     0.0074  0.0518
     22   0.0311  0.0137     0.0082  0.0530
     23   0.0318  0.0136     0.0089  0.0535
     24   0.0331  0.0136     0.0099  0.0545
     25   0.0344  0.0138     0.0110  0.0560
     26   0.0356  0.0138     0.0122  0.0576
     27   0.0367  0.0138     0.0140  0.0587
     28   0.0379  0.0139     0.0146  0.0600
     29   0.0389  0.0139     0.0154  0.0608
     30   0.0392  0.0140     0.0155  0.0612
     31   0.0400  0.0139     0.0163  0.0618
     32   0.0402  0.0140     0.0163  0.0621
     33   0.0406  0.0139     0.0168  0.0623
     34   0.0415  0.0139     0.0179  0.0636
     35   0.0423  0.0139     0.0188  0.0645
     36   0.0427  0.0139     0.0196  0.0648
     37   0.0422  0.0137     0.0191  0.0639
     38   0.0431  0.0137     0.0206  0.0650
     39   0.0443  0.0140     0.0212  0.0666
     40   0.0451  0.0140     0.0217  0.0674
     41   0.0459  0.0141     0.0223  0.0681

