trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1022 570.00  0.00 800.00 104.00  0
  1  661 370.00  0.00 800.00 52.00  0
  2  695 390.00  0.00 800.00 21.50  1
  3  785 440.00  0.00 800.00 21.50  0
  4  732 410.00  0.00 800.00 26.00  0
  5  677 380.00  0.00 800.00 21.50  0
  6  766 430.00  0.00 800.00 17.20  0
  7  729 410.00  0.00 800.00 12.90  1
  8  622 350.00  0.00 800.00 17.20  0
  9 1420 790.00  0.00 800.00 260.00  0
 10 1419 790.00  0.00 800.00 156.00  0
 11  621 350.00  0.00 800.00 12.90  1
 12  747 420.00  0.00 800.00 12.90  0
 13  585 330.00  0.00 800.00 12.90  1
 14  783 440.00  0.00 800.00 12.90  1
 15  567 320.00  0.00 800.00 12.90  1
 16  640 360.00  0.00 800.00 17.20  0
 17  838 470.00  0.00 800.00 17.20  0
 18  694 390.00  0.00 800.00 17.20  0
 19  567 320.00  0.00 800.00 12.90  1
 20  712 400.00  0.00 800.00 17.20  0
 21  730 410.00  0.00 800.00 17.20  0
 22  638 360.00  0.00 800.00 10.80  1
 23  730 430.00  0.00 800.00 21.50  0
 24  585 330.00  0.00 800.00 12.90  1
 25  819 460.00  0.00 800.00 12.90  0
 26  730 410.00  0.00 800.00 17.20  0
 27  656 370.00  0.00 800.00 10.80  1
 28  712 400.00  0.00 800.00 17.20  0
 29  603 340.00  0.00 800.00 12.90  1
 30  603 350.00  0.00 800.00 17.20  0
 31  603 360.00  0.00 800.00 10.80  1
 32  603 350.00  0.00 800.00 17.20  0
 33  603 320.00  0.00 800.00 10.80  1
 34  674 380.00  0.00 800.00 10.80  1
 35  730 410.00  0.00 800.00 17.20  0
 36  674 380.00  0.00 800.00  8.60  1
 37  674 400.00  0.00 800.00 12.90  0
 38  621 350.00  0.00 800.00 12.90  1
 39  674 380.00  0.00 800.00 12.90  1
 40  819 460.00  0.00 800.00 12.90  0
 41  712 400.00  0.00 800.00 17.20  0
