trialNum, leftMoney, leftTime, rightMoney, rightTime
5.0, 400, 0.0, 800, 2
6.0, 600, 0.0, 800, 2
7.0, 700, 0.0, 800, 2
8.0, 750, 0.0, 800, 2
9.0, 775, 0.0, 800, 2
10.0, 787, 0.0, 800, 2
11.0, 400, 0.0, 800, 26
12.0, 600, 0.0, 800, 26
13.0, 700, 0.0, 800, 26
14.0, 650, 0.0, 800, 26
15.0, 675, 0.0, 800, 26
16.0, 687, 0.0, 800, 26
17.0, 400, 0.0, 800, 156
18.0, 200, 0.0, 800, 156
19.0, 300, 0.0, 800, 156
20.0, 350, 0.0, 800, 156
21.0, 375, 0.0, 800, 156
22.0, 387, 0.0, 800, 156
23.0, 800, 4.0, 400, 0
24.0, 800, 4.0, 600, 0
25.0, 800, 4.0, 700, 0
26.0, 800, 4.0, 750, 0
27.0, 800, 4.0, 775, 0
28.0, 800, 4.0, 787, 0
29.0, 400, 0.0, 800, 52
30.0, 600, 0.0, 800, 52
31.0, 700, 0.0, 800, 52
32.0, 650, 0.0, 800, 52
33.0, 675, 0.0, 800, 52
34.0, 687, 0.0, 800, 52
35.0, 800, 520.0, 400, 0
36.0, 800, 520.0, 600, 0
37.0, 800, 520.0, 700, 0
38.0, 800, 520.0, 650, 0
39.0, 800, 520.0, 625, 0
40.0, 800, 520.0, 612, 0
41.0, 400, 0.0, 800, 1
42.0, 600, 0.0, 800, 1
43.0, 700, 0.0, 800, 1
44.0, 650, 0.0, 800, 1
45.0, 675, 0.0, 800, 1
46.0, 687, 0.0, 800, 1
