Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7641  2.0693    -9.1284 -2.6697
      1  -4.0212  1.1203    -5.7982 -2.4886
      2  -4.9623  0.6602    -5.8868 -4.2671
      3  -4.5216  0.4796    -5.1009 -4.1464
      4  -4.2504  0.4908    -4.7585 -3.8975
      5  -4.0395  0.8792    -5.2556 -3.0047
      6  -4.1255  0.6976    -4.8978 -3.5798
      7  -4.2902  0.7184    -5.2097 -3.8256
      8  -4.3315  0.6164    -5.0564 -4.0077
      9  -4.2642  0.4783    -4.7327 -4.0136
     10  -4.2733  0.3791    -4.7073 -4.1237
     11  -4.2439  0.2881    -4.5220 -4.1268
     12  -4.2383  0.2190    -4.5120 -4.1498
     13  -4.2354  0.1718    -4.5111 -4.1656
     14  -4.2451  0.1360    -4.5111 -4.2435
     15  -4.2362  0.1024    -4.5043 -4.2433
     16  -4.2339  0.0814    -4.5028 -4.2434
     17  -4.2328  0.0683    -4.5019 -4.2436
     18  -4.2329  0.0611    -4.5018 -4.2439
     19  -4.2321  0.0549    -4.5010 -4.2440
     20  -4.2316  0.0509    -4.5005 -4.2441
     21  -4.2319  0.0484    -4.5005 -4.2444
     22  -4.2316  0.0464    -4.5001 -4.2445
     23  -4.2314  0.0449    -4.4998 -4.2446
     24  -4.2313  0.0440    -4.4996 -4.2446
     25  -4.2312  0.0433    -4.4995 -4.2447
     26  -4.2315  0.0425    -4.4995 -4.2449
     27  -4.2314  0.0419    -4.4995 -4.2449
     28  -4.2314  0.0414    -4.4994 -4.2450
     29  -4.2314  0.0411    -4.4993 -4.2450
     30  -4.2314  0.0409    -4.4993 -4.2451
     31  -4.2315  0.0402    -4.4993 -4.2452
     32  -4.2317  0.0398    -4.4993 -4.2453
     33  -4.2318  0.0394    -4.4993 -4.2454
     34  -4.2318  0.0391    -4.4993 -4.2455
     35  -4.2320  0.0385    -4.4993 -4.2457
     36  -4.2321  0.0382    -4.4993 -4.2457
     37  -4.2322  0.0377    -4.4993 -4.2459
     38  -4.2324  0.0372    -4.4993 -4.2460
     39  -4.2325  0.0366    -4.4993 -4.2462
     40  -4.2325  0.0364    -4.4993 -4.2462
     41  -4.2326  0.0358    -4.4993 -4.2463

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1020  0.0586     0.0072  0.1899
      1   0.1021  0.0586     0.0073  0.1899
      2   0.1012  0.0590     0.0060  0.1898
      3   0.1023  0.0589     0.0066  0.1900
      4   0.0964  0.0601     0.0039  0.1890
      5   0.0374  0.0354     0.0001  0.1072
      6   0.0457  0.0374     0.0001  0.1173
      7   0.0408  0.0331     0.0001  0.1023
      8   0.0463  0.0351     0.0001  0.1111
      9   0.0520  0.0352     0.0027  0.1163
     10   0.0573  0.0356     0.0061  0.1218
     11   0.0620  0.0353     0.0101  0.1254
     12   0.0630  0.0348     0.0125  0.1260
     13   0.0636  0.0346     0.0141  0.1263
     14   0.0677  0.0348     0.0165  0.1304
     15   0.0714  0.0345     0.0205  0.1336
     16   0.0722  0.0342     0.0220  0.1341
     17   0.0727  0.0340     0.0230  0.1344
     18   0.0729  0.0339     0.0234  0.1344
     19   0.0736  0.0337     0.0245  0.1349
     20   0.0742  0.0335     0.0256  0.1352
     21   0.0744  0.0334     0.0260  0.1353
     22   0.0749  0.0333     0.0271  0.1356
     23   0.0754  0.0331     0.0279  0.1359
     24   0.0757  0.0330     0.0284  0.1361
     25   0.0759  0.0330     0.0287  0.1362
     26   0.0760  0.0329     0.0289  0.1363
     27   0.0763  0.0328     0.0293  0.1364
     28   0.0766  0.0328     0.0297  0.1366
     29   0.0768  0.0327     0.0300  0.1367
     30   0.0769  0.0327     0.0302  0.1368
     31   0.0770  0.0326     0.0303  0.1368
     32   0.0770  0.0326     0.0304  0.1368
     33   0.0770  0.0326     0.0305  0.1369
     34   0.0771  0.0326     0.0306  0.1369
     35   0.0772  0.0325     0.0308  0.1369
     36   0.0772  0.0325     0.0308  0.1369
     37   0.0773  0.0325     0.0310  0.1370
     38   0.0773  0.0325     0.0311  0.1370
     39   0.0774  0.0324     0.0313  0.1370
     40   0.0776  0.0324     0.0316  0.1372
     41   0.0777  0.0323     0.0318  0.1372

