Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.2081  1.2525    -6.4915 -2.3764
      1  -3.7317  1.3408    -7.5198 -2.9451
      2  -4.0827  1.4822    -8.1060 -3.2104
      3  -3.5748  0.8691    -5.0087 -3.1949
      4  -3.5135  0.6816    -4.0424 -3.2493
      5  -3.4413  0.4624    -3.7634 -3.2533
      6  -3.4298  0.3496    -3.7070 -3.3212
      7  -3.7083  1.3277    -7.4934 -2.9928
      8  -3.5066  1.0293    -5.9081 -3.0197
      9  -3.7596  1.1892    -7.0409 -3.1253
     10  -3.6030  0.9233    -5.3077 -3.1367
     11  -3.4784  0.7162    -4.2178 -3.1387
     12  -3.4022  0.5607    -3.9222 -3.1399
     13  -3.4427  0.4928    -3.9293 -3.1812
     14  -3.4005  0.3875    -3.8378 -3.1788
     15  -3.3782  0.3002    -3.7482 -3.1798
     16  -3.3148  0.6303    -3.8505 -2.9381
     17  -3.2980  0.4942    -3.7801 -3.0291
     18  -3.2928  0.3926    -3.7405 -3.1333
     19  -3.2377  0.3618    -3.6686 -3.0759
     20  -3.1875  0.3383    -3.6400 -3.0098
     21  -3.1616  0.2767    -3.6089 -3.0053
     22  -3.1666  0.2222    -3.6085 -3.0971
     23  -3.1484  0.1839    -3.5640 -3.0888
     24  -3.1452  0.1539    -3.5541 -3.0993
     25  -3.1435  0.1355    -3.5474 -3.1082
     26  -3.1911  0.1854    -3.6347 -3.1333
     27  -3.2509  0.2118    -3.6593 -3.1413
     28  -3.3005  0.2067    -3.6680 -3.1546
     29  -3.2382  0.2289    -3.6563 -3.1392
     30  -3.2321  0.1970    -3.6530 -3.1400
     31  -3.2250  0.1770    -3.6493 -3.1404
     32  -3.2764  0.1817    -3.6619 -3.1503
     33  -3.2181  0.1887    -3.6471 -3.1387
     34  -3.1878  0.1729    -3.6294 -3.1355
     35  -3.2442  0.3929    -3.6678 -2.9758
     36  -3.2482  0.3206    -3.6665 -3.0411
     37  -3.2501  0.2644    -3.6655 -3.1045
     38  -3.2576  0.2267    -3.6657 -3.1371
     39  -3.2655  0.2004    -3.6662 -3.1436
     40  -3.2757  0.1827    -3.6671 -3.1496
     41  -3.2286  0.1920    -3.6559 -3.1386

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0925  0.0632     0.0001  0.1889
      1   0.0846  0.0649     0.0001  0.1878
      2   0.0774  0.0658     0.0000  0.1869
      3   0.1006  0.0622     0.0001  0.1906
      4   0.1076  0.0591     0.0032  0.1913
      5   0.1124  0.0561     0.0141  0.1917
      6   0.1169  0.0539     0.0218  0.1921
      7   0.0319  0.0294     0.0000  0.0857
      8   0.0351  0.0290     0.0000  0.0879
      9   0.0233  0.0195     0.0000  0.0570
     10   0.0251  0.0191     0.0001  0.0582
     11   0.0281  0.0191     0.0002  0.0605
     12   0.0308  0.0191     0.0018  0.0628
     13   0.0328  0.0196     0.0027  0.0659
     14   0.0353  0.0196     0.0049  0.0681
     15   0.0370  0.0194     0.0073  0.0693
     16   0.0211  0.0121     0.0008  0.0399
     17   0.0224  0.0119     0.0018  0.0407
     18   0.0237  0.0117     0.0029  0.0414
     19   0.0247  0.0122     0.0034  0.0440
     20   0.0258  0.0129     0.0037  0.0463
     21   0.0273  0.0131     0.0051  0.0478
     22   0.0285  0.0129     0.0072  0.0486
     23   0.0300  0.0131     0.0078  0.0507
     24   0.0304  0.0130     0.0083  0.0510
     25   0.0306  0.0129     0.0087  0.0511
     26   0.0252  0.0102     0.0073  0.0404
     27   0.0234  0.0094     0.0064  0.0373
     28   0.0237  0.0096     0.0068  0.0381
     29   0.0218  0.0087     0.0049  0.0339
     30   0.0222  0.0086     0.0062  0.0341
     31   0.0228  0.0085     0.0072  0.0344
     32   0.0226  0.0085     0.0071  0.0342
     33   0.0212  0.0079     0.0058  0.0325
     34   0.0216  0.0080     0.0063  0.0330
     35   0.0140  0.0059     0.0011  0.0206
     36   0.0146  0.0058     0.0014  0.0210
     37   0.0151  0.0057     0.0018  0.0216
     38   0.0156  0.0056     0.0022  0.0223
     39   0.0161  0.0056     0.0027  0.0230
     40   0.0165  0.0056     0.0034  0.0237
     41   0.0157  0.0053     0.0027  0.0216

