trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1078 600.00  0.00 800.00 260.00  0
  1  626 350.00  0.00 800.00 104.00  0
  2  714 400.00  0.00 800.00 26.00  1
  3  661 370.00  0.00 800.00 52.00  0
  4  822 460.00  0.00 800.00 26.00  0
  5  714 400.00  0.00 800.00 26.00  0
  6  714 380.00  0.00 800.00 52.00  0
  7  714 380.00  0.00 800.00 21.50  1
  8  714 380.00  0.00 800.00 52.00  0
  9  714 380.00  0.00 800.00 21.50  1
 10  714 390.00  0.00 800.00 21.50  1
 11  714 380.00  0.00 800.00 21.50  1
 12  714 400.00  0.00 800.00 21.50  0
 13  732 410.00  0.00 800.00 26.00  0
 14  750 420.00  0.00 800.00 26.00  0
 15  750 440.00  0.00 800.00 21.50  0
 16  730 410.00  0.00 800.00 17.20  0
 17  694 390.00  0.00 800.00 17.20  1
 18  694 390.00  0.00 800.00 21.50  1
 19  694 410.00  0.00 800.00 21.50  0
 20  623 350.00  0.00 800.00 21.50  1
 21  712 400.00  0.00 800.00 17.20  1
 22  712 410.00  0.00 800.00 21.50  1
 23  712 380.00  0.00 800.00 12.90  1
 24  641 360.00  0.00 800.00 21.50  1
 25  768 430.00  0.00 800.00 26.00  0
 26  910 510.00  0.00 800.00 17.20  0
 27  730 410.00  0.00 800.00 17.20  0
 28  694 390.00  0.00 800.00 17.20  1
 29  623 350.00  0.00 800.00 21.50  1
 30  623 330.00  0.00 800.00 17.20  1
 31  839 470.00  0.00 800.00 21.50  0
 32  712 400.00  0.00 800.00 17.20  1
 33  570 320.00  0.00 800.00 26.00  1
 34  570 330.00  0.00 800.00 52.00  0
 35  712 400.00  0.00 800.00 17.20  1
 36  819 460.00  0.00 800.00 12.90  0
 37  623 350.00  0.00 800.00 21.50  1
 38  623 350.00  0.00 800.00 17.20  1
 39  712 400.00  0.00 800.00 17.20  1
 40  623 340.00  0.00 800.00 17.20  1
 41  786 440.00  0.00 800.00 26.00  0
