Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7576  2.0719    -9.1276 -2.6627
      1  -4.0166  1.1227    -5.7983 -2.4849
      2  -3.1972  0.7252    -4.2129 -2.4010
      3  -3.5991  0.5467    -4.3051 -3.1498
      4  -3.3138  0.4625    -3.8583 -3.0349
      5  -3.1524  0.4444    -3.5848 -2.8977
      6  -3.0374  0.8150    -3.7258 -2.4943
      7  -2.9135  0.7674    -3.4542 -2.4347
      8  -2.9392  0.6360    -3.3964 -2.5982
      9  -3.1453  0.8723    -4.0773 -2.6559
     10  -3.2230  0.8379    -4.0892 -2.8341
     11  -3.2197  0.7042    -3.8181 -2.8983
     12  -3.2154  0.5848    -3.6828 -2.9760
     13  -3.1631  0.4457    -3.5261 -2.9749
     14  -3.1600  0.3494    -3.4897 -3.0961
     15  -3.1438  0.2567    -3.4227 -3.1016
     16  -3.1402  0.1966    -3.4073 -3.1328
     17  -3.1436  0.1560    -3.4067 -3.1395
     18  -3.1345  0.1167    -3.4004 -3.1393
     19  -3.1346  0.0926    -3.4000 -3.1409
     20  -3.1347  0.0760    -3.3996 -3.1419
     21  -3.1309  0.0587    -3.3966 -3.1417
     22  -3.1329  0.0467    -3.3966 -3.1438
     23  -3.1325  0.0406    -3.3963 -3.1438
     24  -3.1346  0.0395    -3.3972 -3.1450
     25  -3.1323  0.0287    -3.3953 -3.1448
     26  -3.1315  0.0219    -3.3946 -3.1448
     27  -3.1317  0.0183    -3.3945 -3.1450
     28  -3.1307  0.0246    -3.3943 -3.1442
     29  -3.1314  0.0186    -3.3943 -3.1448
     30  -3.1315  0.0160    -3.3943 -3.1450
     31  -3.1322  0.0198    -3.3948 -3.1452
     32  -3.1318  0.0147    -3.3944 -3.1452
     33  -3.1341  0.0329    -3.3965 -3.1452
     34  -3.1328  0.0248    -3.3954 -3.1452
     35  -3.1321  0.0188    -3.3948 -3.1452
     36  -3.1328  0.0228    -3.3953 -3.1453
     37  -3.1327  0.0209    -3.3952 -3.1453
     38  -3.1326  0.0198    -3.3952 -3.1453
     39  -3.1326  0.0190    -3.3951 -3.1453
     40  -3.1319  0.0135    -3.3945 -3.1452
     41  -3.1316  0.0102    -3.3942 -3.1452

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1017  0.0587     0.0068  0.1898
      1   0.1016  0.0588     0.0067  0.1898
      2   0.1022  0.0585     0.0077  0.1899
      3   0.1024  0.0585     0.0077  0.1900
      4   0.1027  0.0584     0.0082  0.1900
      5   0.1030  0.0590     0.0079  0.1903
      6   0.0418  0.0348     0.0001  0.1089
      7   0.0405  0.0337     0.0006  0.1058
      8   0.0478  0.0357     0.0020  0.1153
      9   0.0317  0.0240     0.0001  0.0743
     10   0.0341  0.0255     0.0001  0.0797
     11   0.0386  0.0267     0.0007  0.0855
     12   0.0429  0.0276     0.0023  0.0907
     13   0.0467  0.0273     0.0055  0.0937
     14   0.0502  0.0273     0.0083  0.0966
     15   0.0510  0.0269     0.0101  0.0970
     16   0.0522  0.0265     0.0120  0.0978
     17   0.0548  0.0266     0.0144  0.1005
     18   0.0573  0.0263     0.0170  0.1022
     19   0.0582  0.0260     0.0185  0.1027
     20   0.0590  0.0258     0.0200  0.1032
     21   0.0611  0.0257     0.0222  0.1052
     22   0.0631  0.0257     0.0239  0.1072
     23   0.0632  0.0256     0.0242  0.1073
     24   0.0644  0.0262     0.0246  0.1095
     25   0.0673  0.0267     0.0271  0.1135
     26   0.0692  0.0267     0.0289  0.1154
     27   0.0711  0.0268     0.0303  0.1171
     28   0.0630  0.0231     0.0271  0.1018
     29   0.0644  0.0230     0.0285  0.1030
     30   0.0648  0.0229     0.0290  0.1032
     31   0.0595  0.0207     0.0265  0.0938
     32   0.0607  0.0206     0.0281  0.0948
     33   0.0479  0.0160     0.0211  0.0733
     34   0.0488  0.0158     0.0220  0.0740
     35   0.0498  0.0158     0.0229  0.0747
     36   0.0487  0.0154     0.0223  0.0732
     37   0.0487  0.0154     0.0224  0.0732
     38   0.0488  0.0154     0.0225  0.0732
     39   0.0488  0.0154     0.0226  0.0732
     40   0.0500  0.0156     0.0234  0.0747
     41   0.0513  0.0157     0.0244  0.0759

