trialNum, leftMoney, leftTime, rightMoney, rightTime
5.0, 400, 0.0, 800, 4
6.0, 600, 0.0, 800, 4
7.0, 500, 0.0, 800, 4
8.0, 550, 0.0, 800, 4
9.0, 575, 0.0, 800, 4
10.0, 587, 0.0, 800, 4
11.0, 400, 0.0, 800, 26
12.0, 200, 0.0, 800, 26
13.0, 100, 0.0, 800, 26
14.0, 50, 0.0, 800, 26
15.0, 25, 0.0, 800, 26
16.0, 37, 0.0, 800, 26
17.0, 800, 156.0, 400, 0
18.0, 800, 156.0, 200, 0
19.0, 800, 156.0, 100, 0
20.0, 800, 156.0, 50, 0
21.0, 800, 156.0, 25, 0
22.0, 800, 156.0, 12, 0
23.0, 800, 2.0, 400, 0
24.0, 800, 2.0, 600, 0
25.0, 800, 2.0, 700, 0
26.0, 800, 2.0, 650, 0
27.0, 800, 2.0, 675, 0
28.0, 800, 2.0, 662, 0
29.0, 400, 0.0, 800, 520
30.0, 200, 0.0, 800, 520
31.0, 100, 0.0, 800, 520
32.0, 50, 0.0, 800, 520
33.0, 25, 0.0, 800, 520
34.0, 12, 0.0, 800, 520
35.0, 400, 0.0, 800, 52
36.0, 200, 0.0, 800, 52
37.0, 100, 0.0, 800, 52
38.0, 50, 0.0, 800, 52
39.0, 25, 0.0, 800, 52
40.0, 12, 0.0, 800, 52
41.0, 400, 0.0, 800, 1
42.0, 200, 0.0, 800, 1
43.0, 300, 0.0, 800, 1
44.0, 350, 0.0, 800, 1
45.0, 375, 0.0, 800, 1
46.0, 387, 0.0, 800, 1
