Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.8914  1.1244    -5.5585 -2.4685
      1  -3.1086  0.8179    -4.0253 -2.3875
      2  -3.5008  0.6865    -4.2037 -3.0972
      3  -3.2591  0.7683    -3.9491 -2.8863
      4  -3.2472  0.6060    -3.7361 -3.1343
      5  -3.1766  0.4546    -3.4212 -3.1341
      6  -3.1515  0.3276    -3.4049 -3.1346
      7  -3.1663  0.8348    -3.8387 -2.6810
      8  -3.2687  1.3934    -7.2394 -2.4287
      9  -3.0526  1.0756    -5.4300 -2.4222
     10  -2.9277  0.8144    -3.6437 -2.4189
     11  -2.9368  0.6824    -3.5409 -2.5080
     12  -2.9340  0.5515    -3.4553 -2.6021
     13  -2.9420  0.4501    -3.4163 -2.6623
     14  -3.0834  0.5791    -3.6652 -2.7474
     15  -3.0320  0.4579    -3.5526 -2.7439
     16  -2.9987  0.3666    -3.4091 -2.7426
     17  -3.0644  0.3527    -3.5097 -2.8653
     18  -2.9875  0.4273    -3.4068 -2.7237
     19  -2.9908  0.3465    -3.4044 -2.8248
     20  -3.0577  0.3565    -3.5068 -2.8694
     21  -2.9941  0.4139    -3.4071 -2.7973
     22  -2.9657  0.3334    -3.3923 -2.7973
     23  -2.9261  0.2968    -3.3730 -2.7592
     24  -2.9303  0.2442    -3.3725 -2.8506
     25  -3.0044  0.3059    -3.3985 -2.8621
     26  -3.0136  0.2576    -3.3983 -2.8714
     27  -2.9630  0.2601    -3.3853 -2.8618
     28  -2.9354  0.2267    -3.3714 -2.8598
     29  -2.9098  0.1978    -3.3526 -2.8581
     30  -2.8957  0.1693    -3.3356 -2.8580
     31  -2.8894  0.1477    -3.3249 -2.8585
     32  -2.9350  0.1830    -3.3671 -2.8625
     33  -2.9819  0.1937    -3.3821 -2.8704
     34  -3.0204  0.1849    -3.3884 -2.8812
     35  -3.0478  0.1667    -3.3913 -2.8940
     36  -3.0003  0.1826    -3.3849 -2.8777
     37  -2.9495  0.1854    -3.3717 -2.8687
     38  -2.9223  0.1674    -3.3566 -2.8662
     39  -2.9027  0.1473    -3.3369 -2.8650
     40  -2.8910  0.1289    -3.3164 -2.8647
     41  -2.8801  0.1124    -3.2840 -2.8644

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0993  0.0601     0.0026  0.1896
      1   0.1003  0.0597     0.0032  0.1897
      2   0.0999  0.0601     0.0028  0.1897
      3   0.0947  0.0614     0.0001  0.1890
      4   0.1063  0.0590     0.0049  0.1908
      5   0.1170  0.0552     0.0139  0.1921
      6   0.1188  0.0537     0.0197  0.1923
      7   0.0476  0.0368     0.0001  0.1162
      8   0.0185  0.0165     0.0000  0.0472
      9   0.0202  0.0162     0.0001  0.0483
     10   0.0212  0.0160     0.0001  0.0491
     11   0.0241  0.0169     0.0007  0.0535
     12   0.0266  0.0173     0.0016  0.0563
     13   0.0290  0.0177     0.0026  0.0594
     14   0.0222  0.0133     0.0012  0.0440
     15   0.0238  0.0133     0.0020  0.0455
     16   0.0252  0.0133     0.0030  0.0467
     17   0.0259  0.0137     0.0033  0.0480
     18   0.0220  0.0115     0.0021  0.0399
     19   0.0232  0.0115     0.0030  0.0408
     20   0.0225  0.0110     0.0028  0.0396
     21   0.0205  0.0102     0.0020  0.0356
     22   0.0216  0.0102     0.0028  0.0369
     23   0.0225  0.0104     0.0033  0.0385
     24   0.0235  0.0103     0.0046  0.0392
     25   0.0204  0.0090     0.0029  0.0334
     26   0.0213  0.0090     0.0039  0.0340
     27   0.0210  0.0088     0.0037  0.0336
     28   0.0219  0.0089     0.0047  0.0343
     29   0.0228  0.0091     0.0058  0.0356
     30   0.0237  0.0091     0.0071  0.0368
     31   0.0243  0.0090     0.0075  0.0374
     32   0.0221  0.0083     0.0065  0.0336
     33   0.0219  0.0084     0.0062  0.0337
     34   0.0226  0.0087     0.0070  0.0345
     35   0.0237  0.0089     0.0074  0.0367
     36   0.0221  0.0082     0.0071  0.0335
     37   0.0212  0.0077     0.0062  0.0321
     38   0.0217  0.0078     0.0070  0.0326
     39   0.0224  0.0078     0.0073  0.0332
     40   0.0230  0.0078     0.0076  0.0336
     41   0.0237  0.0079     0.0079  0.0341

