trialNum, leftMoney, leftTime, rightMoney, rightTime
5.0, 800, 1.0, 400, 0
6.0, 800, 1.0, 600, 0
7.0, 800, 1.0, 700, 0
8.0, 800, 1.0, 750, 0
9.0, 800, 1.0, 775, 0
10.0, 800, 1.0, 787, 0
11.0, 800, 156.0, 400, 0
12.0, 800, 156.0, 600, 0
13.0, 800, 156.0, 700, 0
14.0, 800, 156.0, 650, 0
15.0, 800, 156.0, 675, 0
16.0, 800, 156.0, 687, 0
17.0, 800, 52.0, 400, 0
18.0, 800, 52.0, 600, 0
19.0, 800, 52.0, 700, 0
20.0, 800, 52.0, 750, 0
21.0, 800, 52.0, 775, 0
22.0, 800, 52.0, 762, 0
23.0, 400, 0.0, 800, 26
24.0, 600, 0.0, 800, 26
25.0, 700, 0.0, 800, 26
26.0, 750, 0.0, 800, 26
27.0, 775, 0.0, 800, 26
28.0, 787, 0.0, 800, 26
29.0, 800, 4.0, 400, 0
30.0, 800, 4.0, 600, 0
31.0, 800, 4.0, 700, 0
32.0, 800, 4.0, 750, 0
33.0, 800, 4.0, 775, 0
34.0, 800, 4.0, 787, 0
35.0, 400, 0.0, 800, 2
36.0, 600, 0.0, 800, 2
37.0, 700, 0.0, 800, 2
38.0, 750, 0.0, 800, 2
39.0, 775, 0.0, 800, 2
40.0, 787, 0.0, 800, 2
41.0, 800, 520.0, 400, 0
42.0, 800, 520.0, 600, 0
43.0, 800, 520.0, 500, 0
44.0, 800, 520.0, 450, 0
45.0, 800, 520.0, 475, 0
46.0, 800, 520.0, 487, 0
