Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7588  2.0715    -9.1277 -2.6638
      1  -4.1486  1.1825    -6.0571 -2.4993
      2  -5.0905  0.6931    -6.1469 -4.2816
      3  -5.6460  0.4874    -6.3461 -5.2719
      4  -5.9577  0.5081    -6.7227 -5.6738
      5  -5.8701  0.3298    -6.1888 -5.6730
      6  -5.9024  0.2498    -6.1708 -5.8977
      7  -5.9056  0.1988    -6.1697 -5.9008
      8  -5.9065  0.1668    -6.1689 -5.9023
      9  -5.8555  0.7142    -7.0902 -5.3692
     10  -6.1487  1.1491    -8.3928 -3.9384
     11  -6.1858  0.9622    -8.0656 -4.9722
     12  -5.8893  2.0353    -9.1410 -2.7133
     13  -5.9128  2.0118    -9.1349 -2.7306
     14  -5.8751  2.0576    -9.1492 -2.7025
     15  -5.8958  2.0530    -9.1523 -2.7117
     16  -5.9204  2.0484    -9.1562 -2.7213
     17  -5.9451  2.0430    -9.1597 -2.7316
     18  -5.9720  2.0367    -9.1633 -2.7425
     19  -5.9896  2.0270    -9.1636 -2.7545
     20  -6.0079  2.0126    -9.1619 -2.7690
     21  -6.0227  1.9913    -9.1561 -2.7851
     22  -6.0473  1.9532    -9.1448 -2.8141
     23  -6.0793  1.8896    -9.1221 -2.8616
     24  -6.1226  1.7881    -9.0788 -2.9445
     25  -6.1768  1.6407    -8.9994 -3.0980
     26  -6.2364  1.4547    -8.8639 -3.3822
     27  -6.2889  1.2584    -8.6562 -3.8900
     28  -6.3294  1.0822    -8.4103 -4.7321
     29  -6.3558  0.9476    -8.2042 -5.2380
     30  -6.3715  0.8568    -8.0663 -5.3920
     31  -6.1564  0.7311    -7.4685 -5.3313
     32  -6.1596  0.6732    -7.4031 -5.3684
     33  -6.3715  0.6979    -7.6945 -5.5827
     34  -6.5846  0.7278    -8.0089 -5.7640
     35  -6.8204  0.7732    -8.3673 -5.9689
     36  -6.6138  0.6761    -7.8652 -5.9023
     37  -6.7972  0.7074    -8.1419 -6.0383
     38  -6.8086  0.6591    -8.1028 -6.0788
     39  -6.9990  0.6900    -8.3967 -6.2426
     40  -7.1874  0.7163    -8.6603 -6.4241
     41  -7.3782  0.7383    -8.8913 -6.5525

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1018  0.0587     0.0069  0.1898
      1   0.1020  0.0585     0.0074  0.1898
      2   0.1017  0.0586     0.0069  0.1898
      3   0.1006  0.0590     0.0057  0.1896
      4   0.0947  0.0607     0.0030  0.1888
      5   0.1079  0.0578     0.0087  0.1909
      6   0.1174  0.0545     0.0165  0.1921
      7   0.1196  0.0529     0.0224  0.1923
      8   0.1208  0.0520     0.0258  0.1924
      9   0.0249  0.0191     0.0001  0.0578
     10   0.0096  0.0085     0.0000  0.0231
     11   0.0109  0.0083     0.0000  0.0241
     12   0.0003  0.0011     0.0000  0.0001
     13   0.0005  0.0015     0.0000  0.0003
     14   0.0001  0.0002     0.0000  0.0001
     15   0.0001  0.0002     0.0000  0.0001
     16   0.0001  0.0003     0.0000  0.0001
     17   0.0001  0.0004     0.0000  0.0001
     18   0.0001  0.0006     0.0000  0.0001
     19   0.0002  0.0008     0.0000  0.0001
     20   0.0003  0.0011     0.0000  0.0001
     21   0.0004  0.0015     0.0000  0.0001
     22   0.0007  0.0019     0.0000  0.0030
     23   0.0012  0.0025     0.0000  0.0047
     24   0.0019  0.0030     0.0000  0.0057
     25   0.0029  0.0034     0.0000  0.0061
     26   0.0040  0.0034     0.0000  0.0064
     27   0.0050  0.0031     0.0000  0.0065
     28   0.0058  0.0026     0.0000  0.0066
     29   0.0063  0.0021     0.0001  0.0066
     30   0.0066  0.0016     0.0001  0.0066
     31   0.0067  0.0015     0.0001  0.0066
     32   0.0068  0.0011     0.0003  0.0066
     33   0.0068  0.0011     0.0003  0.0066
     34   0.0068  0.0012     0.0002  0.0066
     35   0.0068  0.0012     0.0002  0.0066
     36   0.0068  0.0012     0.0002  0.0066
     37   0.0068  0.0012     0.0002  0.0066
     38   0.0069  0.0009     0.0003  0.0066
     39   0.0069  0.0009     0.0003  0.0066
     40   0.0069  0.0009     0.0003  0.0066
     41   0.0069  0.0009     0.0003  0.0066

