Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.8382  1.5666    -7.3882 -2.5680
      1  -3.4850  0.8876    -4.7532 -2.4291
      2  -2.8244  0.6943    -3.5501 -2.3594
      3  -3.0817  0.6265    -3.6778 -2.7457
      4  -3.2433  0.6116    -3.9227 -2.9798
      5  -3.1585  0.4482    -3.4400 -2.9703
      6  -3.1640  0.3437    -3.4073 -3.1381
      7  -3.7164  1.6170    -8.0601 -2.5948
      8  -3.4230  1.3010    -7.0259 -2.5917
      9  -3.2375  1.0130    -5.1830 -2.5902
     10  -3.1027  0.8027    -3.9839 -2.5848
     11  -3.0910  0.6570    -3.8380 -2.6587
     12  -3.4622  1.0515    -5.7310 -2.7055
     13  -3.3493  0.8256    -4.4909 -2.7078
     14  -3.7993  1.1798    -6.7882 -2.8565
     15  -3.6654  0.9586    -5.3266 -2.8639
     16  -3.5876  0.7921    -4.8135 -2.8682
     17  -3.4626  0.6776    -4.4566 -2.8275
     18  -3.4009  0.5732    -4.2830 -2.8121
     19  -3.3266  0.5067    -4.1486 -2.7640
     20  -3.3765  0.4570    -4.1711 -2.8837
     21  -3.5490  0.5267    -4.3992 -3.0027
     22  -3.7565  0.6530    -4.7063 -3.1532
     23  -3.7277  0.5590    -4.6405 -3.1565
     24  -3.6434  0.5050    -4.4711 -3.1271
     25  -3.5833  0.4558    -4.3740 -3.0768
     26  -3.6287  0.4202    -4.4039 -3.1604
     27  -3.6062  0.3874    -4.3549 -3.1554
     28  -3.6493  0.3649    -4.3877 -3.2068
     29  -3.6840  0.3466    -4.4114 -3.2641
     30  -3.6432  0.3244    -4.3209 -3.2411
     31  -3.7684  0.3598    -4.4797 -3.3537
     32  -3.8935  0.3908    -4.6447 -3.4516
     33  -3.8269  0.3709    -4.5082 -3.4231
     34  -3.8746  0.3558    -4.5671 -3.4621
     35  -3.9835  0.3803    -4.7084 -3.5504
     36  -3.9356  0.3571    -4.6360 -3.5169
     37  -3.9776  0.3426    -4.6754 -3.5807
     38  -3.9335  0.3251    -4.5946 -3.5428
     39  -3.9682  0.3133    -4.6336 -3.6071
     40  -3.9326  0.2992    -4.5489 -3.5719
     41  -3.8789  0.2959    -4.4905 -3.5147

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1008  0.0592     0.0055  0.1897
      1   0.1011  0.0591     0.0054  0.1898
      2   0.1012  0.0592     0.0052  0.1898
      3   0.0999  0.0596     0.0045  0.1896
      4   0.0993  0.0602     0.0038  0.1897
      5   0.1109  0.0568     0.0108  0.1913
      6   0.1196  0.0537     0.0192  0.1924
      7   0.0151  0.0155     0.0000  0.0425
      8   0.0173  0.0154     0.0000  0.0445
      9   0.0187  0.0152     0.0001  0.0456
     10   0.0209  0.0154     0.0001  0.0476
     11   0.0232  0.0158     0.0008  0.0504
     12   0.0120  0.0083     0.0001  0.0249
     13   0.0126  0.0080     0.0001  0.0252
     14   0.0077  0.0047     0.0000  0.0133
     15   0.0083  0.0044     0.0001  0.0134
     16   0.0086  0.0042     0.0002  0.0135
     17   0.0092  0.0044     0.0003  0.0140
     18   0.0095  0.0045     0.0004  0.0150
     19   0.0100  0.0047     0.0005  0.0164
     20   0.0106  0.0049     0.0006  0.0175
     21   0.0090  0.0039     0.0004  0.0134
     22   0.0077  0.0028     0.0003  0.0115
     23   0.0078  0.0027     0.0004  0.0115
     24   0.0081  0.0029     0.0004  0.0120
     25   0.0083  0.0030     0.0005  0.0123
     26   0.0086  0.0032     0.0005  0.0127
     27   0.0087  0.0033     0.0005  0.0128
     28   0.0090  0.0035     0.0006  0.0131
     29   0.0093  0.0036     0.0006  0.0133
     30   0.0097  0.0038     0.0006  0.0135
     31   0.0083  0.0028     0.0005  0.0122
     32   0.0076  0.0021     0.0004  0.0102
     33   0.0077  0.0022     0.0005  0.0107
     34   0.0078  0.0024     0.0005  0.0112
     35   0.0074  0.0018     0.0004  0.0088
     36   0.0075  0.0020     0.0004  0.0097
     37   0.0076  0.0021     0.0005  0.0103
     38   0.0078  0.0023     0.0005  0.0109
     39   0.0079  0.0024     0.0005  0.0114
     40   0.0081  0.0026     0.0005  0.0118
     41   0.0080  0.0025     0.0005  0.0117

