Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.4013  1.9063    -8.6391 -2.4553
      1  -3.1035  0.8523    -4.0357 -2.3843
      2  -3.5155  0.7421    -4.2151 -3.1226
      3  -3.3240  0.6140    -3.7519 -3.0103
      4  -3.1824  0.5879    -3.5858 -2.9066
      5  -3.1873  0.4506    -3.5564 -3.1362
      6  -3.5215  0.9560    -5.4812 -3.1362
      7  -3.5815  0.8844    -5.0993 -3.1940
      8  -3.5444  0.7215    -4.2080 -3.3320
      9  -3.4664  0.5205    -3.7659 -3.3422
     10  -3.4304  0.3761    -3.6802 -3.3523
     11  -3.4189  0.2779    -3.6784 -3.4081
     12  -3.4203  0.2113    -3.6778 -3.4170
     13  -3.4111  0.1553    -3.6734 -3.4169
     14  -3.4055  0.1544    -3.6715 -3.4134
     15  -3.4093  0.1152    -3.6715 -3.4191
     16  -3.4075  0.0836    -3.6711 -3.4192
     17  -3.4065  0.0620    -3.6708 -3.4193
     18  -3.4070  0.0466    -3.6707 -3.4200
     19  -3.4067  0.0365    -3.6706 -3.4201
     20  -3.4065  0.0304    -3.6705 -3.4201
     21  -3.4065  0.0266    -3.6705 -3.4201
     22  -3.4069  0.0218    -3.6705 -3.4206
     23  -3.4069  0.0201    -3.6704 -3.4206
     24  -3.3763  0.1001    -3.6691 -3.2487
     25  -3.3941  0.0719    -3.6702 -3.3946
     26  -3.3980  0.0601    -3.6704 -3.4112
     27  -3.3996  0.0534    -3.6704 -3.4130
     28  -3.4010  0.0483    -3.6705 -3.4144
     29  -3.4029  0.0416    -3.6705 -3.4163
     30  -3.4027  0.0408    -3.6704 -3.4163
     31  -3.4046  0.0338    -3.6705 -3.4181
     32  -3.4052  0.0306    -3.6705 -3.4188
     33  -3.3907  0.0688    -3.6698 -3.3492
     34  -3.3945  0.0612    -3.6700 -3.4080
     35  -3.3942  0.0613    -3.6699 -3.4053
     36  -3.3938  0.0616    -3.6698 -3.4003
     37  -3.3932  0.0624    -3.6697 -3.3908
     38  -3.3928  0.0630    -3.6696 -3.3847
     39  -3.3961  0.0561    -3.6698 -3.4099
     40  -3.3496  0.1129    -3.6667 -3.1970
     41  -3.2845  0.1375    -3.6593 -3.1624

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0912  0.0595     0.0016  0.1872
      1   0.1041  0.0588     0.0036  0.1903
      2   0.1049  0.0592     0.0026  0.1905
      3   0.1082  0.0578     0.0069  0.1909
      4   0.1061  0.0578     0.0076  0.1905
      5   0.1165  0.0543     0.0177  0.1919
      6   0.0574  0.0422     0.0001  0.1353
      7   0.0622  0.0443     0.0001  0.1440
      8   0.0697  0.0446     0.0004  0.1505
      9   0.0752  0.0430     0.0086  0.1533
     10   0.0777  0.0418     0.0153  0.1544
     11   0.0796  0.0410     0.0192  0.1553
     12   0.0839  0.0407     0.0231  0.1582
     13   0.0873  0.0400     0.0276  0.1604
     14   0.0871  0.0400     0.0277  0.1604
     15   0.0913  0.0396     0.0314  0.1634
     16   0.0918  0.0393     0.0325  0.1635
     17   0.0923  0.0391     0.0337  0.1637
     18   0.0930  0.0388     0.0351  0.1640
     19   0.0934  0.0387     0.0357  0.1642
     20   0.0935  0.0386     0.0360  0.1642
     21   0.0937  0.0385     0.0364  0.1643
     22   0.0943  0.0383     0.0372  0.1645
     23   0.0946  0.0382     0.0378  0.1647
     24   0.0473  0.0178     0.0188  0.0766
     25   0.0492  0.0181     0.0209  0.0791
     26   0.0500  0.0180     0.0216  0.0798
     27   0.0505  0.0179     0.0221  0.0801
     28   0.0509  0.0178     0.0226  0.0804
     29   0.0516  0.0177     0.0233  0.0809
     30   0.0518  0.0176     0.0236  0.0810
     31   0.0525  0.0176     0.0243  0.0816
     32   0.0529  0.0176     0.0249  0.0819
     33   0.0433  0.0134     0.0210  0.0645
     34   0.0438  0.0134     0.0214  0.0650
     35   0.0441  0.0133     0.0217  0.0652
     36   0.0444  0.0133     0.0219  0.0655
     37   0.0448  0.0133     0.0223  0.0659
     38   0.0452  0.0132     0.0226  0.0662
     39   0.0456  0.0132     0.0230  0.0665
     40   0.0393  0.0121     0.0191  0.0585
     41   0.0410  0.0142     0.0186  0.0652

