Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.5857  1.4398    -6.8987 -2.5416
      1  -3.3629  0.8489    -4.5008 -2.4161
      2  -2.8207  0.6894    -3.5287 -2.3593
      3  -2.5564  0.6577    -3.0708 -2.3314
      4  -2.4271  0.6620    -2.8150 -2.3182
      5  -2.3655  0.4987    -2.5771 -2.3170
      6  -2.6781  1.1390    -5.3533 -2.3225
      7  -3.0014  1.4361    -7.1158 -2.3413
      8  -2.7740  1.0987    -5.1919 -2.3386
      9  -2.6356  0.8474    -3.2698 -2.3359
     10  -2.5811  0.9100    -3.3539 -2.3236
     11  -2.4878  0.6869    -2.8508 -2.3224
     12  -2.6116  0.8251    -3.1096 -2.3334
     13  -2.6340  0.7575    -3.0826 -2.3484
     14  -2.6293  0.6422    -3.0264 -2.3723
     15  -2.6163  0.5168    -2.9681 -2.4081
     16  -2.6231  0.4476    -2.9676 -2.5190
     17  -2.5958  0.3322    -2.8528 -2.5237
     18  -2.5884  0.2494    -2.8513 -2.5794
     19  -2.5845  0.1886    -2.8502 -2.5821
     20  -2.6609  0.4294    -3.1044 -2.5821
     21  -2.6281  0.3279    -3.0568 -2.5819
     22  -2.6062  0.2526    -2.9973 -2.5818
     23  -2.6970  0.4625    -3.1203 -2.5825
     24  -2.6609  0.3657    -3.0960 -2.5820
     25  -2.6348  0.2905    -3.0713 -2.5817
     26  -2.6072  0.2699    -3.0142 -2.5574
     27  -2.5965  0.2074    -2.9838 -2.5663
     28  -2.5979  0.1677    -2.9840 -2.5827
     29  -2.6542  0.2948    -3.0899 -2.5830
     30  -2.7499  0.4764    -3.1287 -2.5849
     31  -2.7226  0.3690    -3.1191 -2.5852
     32  -2.7041  0.2945    -3.1117 -2.5854
     33  -2.7095  0.2478    -3.1120 -2.5916
     34  -2.7882  0.3825    -3.1847 -2.5978
     35  -2.7858  0.3093    -3.1638 -2.6052
     36  -2.7887  0.2568    -3.1516 -2.6125
     37  -2.7962  0.2203    -3.1484 -2.6209
     38  -2.7861  0.1906    -3.1271 -2.6191
     39  -2.7929  0.1706    -3.1270 -2.6257
     40  -2.8063  0.1553    -3.1280 -2.6380
     41  -2.8114  0.1436    -3.1278 -2.6452

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1003  0.0594     0.0049  0.1897
      1   0.1008  0.0592     0.0050  0.1897
      2   0.1016  0.0590     0.0056  0.1899
      3   0.1028  0.0586     0.0067  0.1900
      4   0.1053  0.0580     0.0076  0.1904
      5   0.1147  0.0547     0.0172  0.1916
      6   0.0476  0.0374     0.0001  0.1173
      7   0.0304  0.0275     0.0000  0.0805
      8   0.0329  0.0271     0.0001  0.0822
      9   0.0367  0.0271     0.0001  0.0857
     10   0.0316  0.0216     0.0001  0.0686
     11   0.0341  0.0212     0.0020  0.0705
     12   0.0293  0.0197     0.0003  0.0633
     13   0.0321  0.0214     0.0009  0.0694
     14   0.0358  0.0225     0.0022  0.0747
     15   0.0393  0.0229     0.0042  0.0783
     16   0.0428  0.0239     0.0058  0.0829
     17   0.0451  0.0234     0.0085  0.0845
     18   0.0465  0.0231     0.0104  0.0855
     19   0.0475  0.0228     0.0121  0.0861
     20   0.0282  0.0147     0.0036  0.0519
     21   0.0299  0.0145     0.0059  0.0531
     22   0.0316  0.0144     0.0077  0.0543
     23   0.0219  0.0104     0.0025  0.0375
     24   0.0232  0.0104     0.0038  0.0388
     25   0.0244  0.0103     0.0055  0.0398
     26   0.0252  0.0106     0.0061  0.0408
     27   0.0259  0.0105     0.0073  0.0411
     28   0.0267  0.0104     0.0079  0.0417
     29   0.0206  0.0082     0.0040  0.0323
     30   0.0164  0.0070     0.0015  0.0258
     31   0.0170  0.0068     0.0021  0.0261
     32   0.0176  0.0067     0.0027  0.0264
     33   0.0182  0.0067     0.0035  0.0268
     34   0.0150  0.0060     0.0015  0.0221
     35   0.0155  0.0059     0.0019  0.0228
     36   0.0161  0.0058     0.0024  0.0235
     37   0.0166  0.0058     0.0029  0.0241
     38   0.0170  0.0057     0.0037  0.0245
     39   0.0175  0.0057     0.0046  0.0250
     40   0.0180  0.0057     0.0055  0.0255
     41   0.0183  0.0057     0.0068  0.0257

