Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7710  2.0661    -9.1292 -2.6784
      1  -4.0277  1.1190    -5.7996 -2.4936
      2  -3.2056  0.7240    -4.2138 -2.4050
      3  -3.7364  0.5395    -4.4067 -3.3627
      4  -3.8919  0.4658    -4.4752 -3.6858
      5  -3.7186  0.4093    -4.1447 -3.5337
      6  -3.6797  0.3042    -3.9544 -3.5317
      7  -3.6942  0.2244    -3.9540 -3.6907
      8  -3.6914  0.1674    -3.9532 -3.6926
      9  -3.6898  0.1278    -3.9527 -3.6939
     10  -3.6872  0.0963    -3.9520 -3.6939
     11  -3.6522  0.2388    -3.9527 -3.4802
     12  -3.6816  0.1857    -3.9537 -3.6338
     13  -3.6758  0.1414    -3.9512 -3.6363
     14  -3.6727  0.1125    -3.9497 -3.6386
     15  -3.6713  0.0947    -3.9489 -3.6406
     16  -3.6705  0.0840    -3.9484 -3.6423
     17  -3.6733  0.0728    -3.9484 -3.6846
     18  -3.6726  0.0681    -3.9478 -3.6847
     19  -3.6765  0.0578    -3.9479 -3.6887
     20  -3.6784  0.0517    -3.9480 -3.6907
     21  -3.6781  0.0501    -3.9476 -3.6907
     22  -3.6777  0.0486    -3.9472 -3.6907
     23  -3.6775  0.0478    -3.9471 -3.6907
     24  -3.6774  0.0474    -3.9470 -3.6907
     25  -3.6773  0.0470    -3.9469 -3.6907
     26  -3.6783  0.0439    -3.9469 -3.6917
     27  -3.6782  0.0435    -3.9468 -3.6917
     28  -3.6781  0.0433    -3.9468 -3.6917
     29  -3.6781  0.0432    -3.9467 -3.6917
     30  -3.6780  0.0429    -3.9466 -3.6917
     31  -3.6798  0.0372    -3.9467 -3.6934
     32  -3.6797  0.0371    -3.9467 -3.6934
     33  -3.6797  0.0370    -3.9467 -3.6934
     34  -3.6805  0.0338    -3.9467 -3.6942
     35  -3.6815  0.0296    -3.9468 -3.6952
     36  -3.6839  0.0157    -3.9469 -3.6974
     37  -3.6839  0.0156    -3.9469 -3.6974
     38  -3.6839  0.0156    -3.9469 -3.6974
     39  -3.6861  0.0250    -3.9486 -3.6979
     40  -3.6970  0.0587    -3.9596 -3.6985
     41  -3.6972  0.0590    -3.9597 -3.6986

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1021  0.0586     0.0072  0.1899
      1   0.1023  0.0585     0.0074  0.1899
      2   0.1034  0.0580     0.0087  0.1900
      3   0.1010  0.0589     0.0066  0.1897
      4   0.1037  0.0582     0.0080  0.1901
      5   0.1070  0.0577     0.0096  0.1908
      6   0.1153  0.0549     0.0171  0.1919
      7   0.1232  0.0515     0.0275  0.1928
      8   0.1247  0.0503     0.0320  0.1929
      9   0.1258  0.0494     0.0353  0.1929
     10   0.1263  0.0490     0.0365  0.1930
     11   0.0717  0.0402     0.0146  0.1471
     12   0.0776  0.0410     0.0175  0.1535
     13   0.0788  0.0405     0.0200  0.1540
     14   0.0797  0.0401     0.0217  0.1545
     15   0.0802  0.0399     0.0227  0.1547
     16   0.0806  0.0397     0.0234  0.1549
     17   0.0818  0.0394     0.0251  0.1555
     18   0.0824  0.0392     0.0262  0.1558
     19   0.0839  0.0389     0.0281  0.1567
     20   0.0848  0.0387     0.0292  0.1572
     21   0.0852  0.0386     0.0298  0.1574
     22   0.0857  0.0384     0.0306  0.1577
     23   0.0860  0.0383     0.0311  0.1578
     24   0.0862  0.0382     0.0314  0.1579
     25   0.0864  0.0382     0.0318  0.1580
     26   0.0869  0.0380     0.0326  0.1583
     27   0.0872  0.0379     0.0332  0.1584
     28   0.0874  0.0379     0.0334  0.1585
     29   0.0875  0.0378     0.0337  0.1585
     30   0.0877  0.0378     0.0342  0.1586
     31   0.0886  0.0376     0.0351  0.1592
     32   0.0887  0.0376     0.0354  0.1593
     33   0.0888  0.0375     0.0355  0.1593
     34   0.0893  0.0374     0.0361  0.1596
     35   0.0900  0.0373     0.0367  0.1601
     36   0.0930  0.0375     0.0386  0.1629
     37   0.0931  0.0375     0.0386  0.1630
     38   0.0931  0.0375     0.0387  0.1630
     39   0.0693  0.0264     0.0310  0.1160
     40   0.0546  0.0185     0.0261  0.0858
     41   0.0548  0.0184     0.0265  0.0860

