Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.8939  2.0073    -9.1429 -2.8667
      1  -4.2687  1.1279    -6.0629 -2.6541
      2  -3.3007  0.7096    -4.2184 -2.4904
      3  -2.8648  0.5879    -3.4338 -2.3983
      4  -3.0488  0.4887    -3.5404 -2.8536
      5  -3.1936  0.4606    -3.6443 -3.0344
      6  -3.1419  0.3368    -3.4036 -3.0244
      7  -3.1494  0.2529    -3.4029 -3.1404
      8  -3.1405  0.1819    -3.4013 -3.1406
      9  -3.1316  0.1325    -3.3959 -3.1405
     10  -3.0961  0.3714    -3.3975 -2.8965
     11  -2.9874  0.5283    -3.3881 -2.7844
     12  -2.9142  0.4708    -3.3393 -2.7277
     13  -2.8743  0.3780    -3.2123 -2.7212
     14  -2.8752  0.2873    -3.2023 -2.8575
     15  -2.8591  0.2200    -3.1255 -2.8579
     16  -2.8620  0.1663    -3.1254 -2.8638
     17  -2.8541  0.1477    -3.1199 -2.8624
     18  -2.8240  0.5296    -3.1255 -2.5627
     19  -2.8324  0.4227    -3.1241 -2.6135
     20  -2.8415  0.3345    -3.1234 -2.6600
     21  -2.8406  0.2543    -3.1226 -2.6940
     22  -2.8481  0.1990    -3.1225 -2.7774
     23  -2.8490  0.1524    -3.1222 -2.8368
     24  -2.8339  0.1831    -3.1198 -2.7046
     25  -2.8380  0.1436    -3.1197 -2.7436
     26  -2.8218  0.1577    -3.1177 -2.6762
     27  -2.7982  0.1719    -3.1155 -2.6378
     28  -2.8214  0.1406    -3.1170 -2.6803
     29  -2.8358  0.1117    -3.1178 -2.7532
     30  -2.8383  0.0929    -3.1178 -2.7831
     31  -2.7929  0.1661    -3.1154 -2.6347
     32  -2.8193  0.1392    -3.1173 -2.6746
     33  -2.8430  0.1308    -3.1195 -2.7998
     34  -2.8468  0.1037    -3.1194 -2.8569
     35  -2.8501  0.0826    -3.1194 -2.8610
     36  -2.8507  0.0680    -3.1193 -2.8622
     37  -2.8513  0.0579    -3.1192 -2.8631
     38  -2.8401  0.0905    -3.1188 -2.7935
     39  -2.8417  0.0793    -3.1187 -2.8210
     40  -2.8470  0.0653    -3.1189 -2.8589
     41  -2.8479  0.0591    -3.1188 -2.8601

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1069  0.0572     0.0097  0.1905
      1   0.1073  0.0571     0.0100  0.1906
      2   0.1078  0.0574     0.0095  0.1908
      3   0.1086  0.0574     0.0103  0.1910
      4   0.1107  0.0568     0.0117  0.1913
      5   0.1101  0.0570     0.0111  0.1912
      6   0.1190  0.0535     0.0210  0.1923
      7   0.1258  0.0504     0.0307  0.1930
      8   0.1267  0.0495     0.0341  0.1931
      9   0.1314  0.0470     0.0430  0.1936
     10   0.0741  0.0422     0.0114  0.1515
     11   0.0493  0.0299     0.0049  0.1014
     12   0.0513  0.0308     0.0062  0.1054
     13   0.0553  0.0316     0.0082  0.1102
     14   0.0589  0.0310     0.0120  0.1129
     15   0.0623  0.0310     0.0147  0.1160
     16   0.0653  0.0305     0.0187  0.1181
     17   0.0680  0.0314     0.0199  0.1226
     18   0.0295  0.0167     0.0027  0.0572
     19   0.0323  0.0168     0.0050  0.0597
     20   0.0349  0.0167     0.0076  0.0615
     21   0.0362  0.0163     0.0090  0.0622
     22   0.0382  0.0162     0.0108  0.0642
     23   0.0391  0.0160     0.0125  0.0648
     24   0.0360  0.0148     0.0106  0.0597
     25   0.0370  0.0147     0.0122  0.0603
     26   0.0358  0.0142     0.0115  0.0584
     27   0.0344  0.0137     0.0108  0.0559
     28   0.0363  0.0140     0.0126  0.0584
     29   0.0379  0.0140     0.0143  0.0601
     30   0.0385  0.0139     0.0148  0.0604
     31   0.0304  0.0110     0.0101  0.0468
     32   0.0316  0.0111     0.0110  0.0479
     33   0.0312  0.0111     0.0106  0.0475
     34   0.0321  0.0110     0.0119  0.0481
     35   0.0330  0.0109     0.0134  0.0488
     36   0.0333  0.0108     0.0141  0.0492
     37   0.0336  0.0108     0.0144  0.0494
     38   0.0296  0.0095     0.0114  0.0432
     39   0.0300  0.0094     0.0122  0.0435
     40   0.0307  0.0094     0.0135  0.0445
     41   0.0310  0.0093     0.0140  0.0447

