trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1333 750.00  0.00 800.00  0.71  1
  1  647 360.00  0.00 800.00 520.00  0
  2  769 430.00  0.00 800.00 52.00  0
  3  714 400.00  0.00 800.00 26.00  0
  4  765 430.00  0.00 800.00 12.90  1
  5  766 430.00  0.00 800.00 17.20  1
  6  732 410.00  0.00 800.00 26.00  0
  7  677 380.00  0.00 800.00 21.50  1
  8  732 390.00  0.00 800.00 52.00  0
  9  785 440.00  0.00 800.00 21.50  0
 10  766 430.00  0.00 800.00 17.20  0
 11  677 380.00  0.00 800.00 21.50  0
 12  695 390.00  0.00 800.00 21.50  0
 13  784 440.00  0.00 800.00 17.20  0
 14  711 400.00  0.00 800.00 12.90  1
 15  713 400.00  0.00 800.00 21.50  0
 16  729 410.00  0.00 800.00 12.90  1
 17  713 410.00  0.00 800.00 17.20  0
 18  729 420.00  0.00 800.00 10.80  0
 19  675 380.00  0.00 800.00 12.90  1
 20  693 390.00  0.00 800.00 12.90  1
 21  693 380.00  0.00 800.00 10.80  1
 22  604 340.00  0.00 800.00 17.20  1
 23  604 350.00  0.00 800.00 12.90  1
 24  604 340.00  0.00 800.00 21.50  0
 25  604 360.00  0.00 800.00 12.90  1
 26  604 350.00  0.00 800.00 21.50  0
 27  604 350.00  0.00 800.00 21.50  0
 28  729 410.00  0.00 800.00 12.90  1
 29  622 350.00  0.00 800.00 17.20  1
 30  622 340.00  0.00 800.00 12.90  1
 31  711 400.00  0.00 800.00 12.90  0
 32  640 360.00  0.00 800.00 17.20  1
 33  711 410.00  0.00 800.00 17.20  1
 34  675 380.00  0.00 800.00 12.90  1
 35  586 330.00  0.00 800.00 17.20  1
 36  586 330.00  0.00 800.00 12.90  1
 37  586 330.00  0.00 800.00 12.90  1
 38  586 310.00  0.00 800.00 21.50  0
 39  586 330.00  0.00 800.00 12.90  1
 40  604 340.00  0.00 800.00 17.20  1
 41  586 330.00  0.00 800.00 12.90  1
