Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7565  2.0723    -9.1275 -2.6618
      1  -4.1469  1.1828    -6.0568 -2.4983
      2  -5.0896  0.6943    -6.1468 -4.2808
      3  -5.6456  0.4883    -6.3460 -5.2706
      4  -5.3491  0.4400    -5.8740 -5.0689
      5  -5.3324  0.3453    -5.8312 -5.0857
      6  -5.3678  0.2490    -5.8294 -5.2573
      7  -5.1909  0.5782    -5.8841 -4.6915
      8  -5.0811  0.5497    -5.6491 -4.5696
      9  -5.1169  0.4174    -5.6076 -4.8813
     10  -5.0711  0.3426    -5.5112 -4.8807
     11  -4.9649  0.6856    -5.6909 -4.2501
     12  -4.9994  0.5392    -5.5772 -4.5592
     13  -5.0222  0.4271    -5.5452 -4.7611
     14  -4.9262  0.5902    -5.5674 -4.5118
     15  -4.9261  0.4654    -5.4936 -4.5911
     16  -4.9351  0.3762    -5.4561 -4.6877
     17  -5.0073  0.3796    -5.5418 -4.7986
     18  -5.1692  0.6585    -6.0626 -4.7474
     19  -5.1449  0.5204    -5.8678 -4.8015
     20  -5.1081  0.4220    -5.7422 -4.8079
     21  -5.0838  0.3472    -5.6155 -4.8117
     22  -5.0598  0.2958    -5.5853 -4.8113
     23  -5.0752  0.2575    -5.5857 -4.8360
     24  -5.0556  0.2275    -5.5572 -4.8329
     25  -5.0711  0.2047    -5.5609 -4.8576
     26  -5.0535  0.1857    -5.5291 -4.8519
     27  -5.0692  0.1702    -5.5363 -4.8806
     28  -5.0541  0.1568    -5.4986 -4.8728
     29  -5.0285  0.1517    -5.4091 -4.8507
     30  -4.9612  0.1853    -5.3374 -4.8061
     31  -4.9829  0.1715    -5.3398 -4.8189
     32  -5.0061  0.1587    -5.3494 -4.8342
     33  -4.9827  0.1571    -5.3338 -4.8241
     34  -4.9296  0.1680    -5.3244 -4.8065
     35  -4.8899  0.1637    -5.3128 -4.7994
     36  -4.8671  0.1541    -5.3020 -4.7970
     37  -4.8446  0.1428    -5.2864 -4.7948
     38  -4.8321  0.1329    -5.2723 -4.7942
     39  -4.8199  0.1226    -5.2517 -4.7935
     40  -4.7722  0.1507    -5.1763 -4.5966
     41  -4.7817  0.1364    -5.1828 -4.6306

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1017  0.0587     0.0068  0.1898
      1   0.1019  0.0586     0.0072  0.1898
      2   0.1017  0.0587     0.0068  0.1898
      3   0.1005  0.0590     0.0057  0.1896
      4   0.0962  0.0597     0.0041  0.1888
      5   0.0993  0.0583     0.0080  0.1891
      6   0.1067  0.0559     0.0145  0.1902
      7   0.0429  0.0363     0.0001  0.1140
      8   0.0485  0.0410     0.0003  0.1305
      9   0.0551  0.0415     0.0025  0.1367
     10   0.0630  0.0432     0.0048  0.1456
     11   0.0231  0.0178     0.0001  0.0542
     12   0.0261  0.0181     0.0002  0.0574
     13   0.0287  0.0182     0.0016  0.0601
     14   0.0198  0.0122     0.0001  0.0391
     15   0.0212  0.0120     0.0009  0.0400
     16   0.0227  0.0119     0.0020  0.0409
     17   0.0223  0.0119     0.0018  0.0407
     18   0.0136  0.0081     0.0001  0.0254
     19   0.0141  0.0078     0.0003  0.0256
     20   0.0151  0.0078     0.0008  0.0263
     21   0.0158  0.0077     0.0012  0.0267
     22   0.0167  0.0077     0.0016  0.0272
     23   0.0175  0.0077     0.0021  0.0277
     24   0.0182  0.0077     0.0027  0.0291
     25   0.0190  0.0078     0.0034  0.0302
     26   0.0198  0.0078     0.0044  0.0312
     27   0.0205  0.0079     0.0057  0.0321
     28   0.0213  0.0080     0.0071  0.0328
     29   0.0217  0.0081     0.0072  0.0333
     30   0.0182  0.0067     0.0039  0.0269
     31   0.0189  0.0067     0.0050  0.0273
     32   0.0195  0.0068     0.0062  0.0279
     33   0.0199  0.0069     0.0070  0.0288
     34   0.0188  0.0065     0.0054  0.0270
     35   0.0189  0.0066     0.0053  0.0272
     36   0.0194  0.0067     0.0063  0.0276
     37   0.0200  0.0068     0.0070  0.0288
     38   0.0206  0.0069     0.0073  0.0298
     39   0.0212  0.0069     0.0075  0.0307
     40   0.0170  0.0059     0.0034  0.0249
     41   0.0175  0.0058     0.0043  0.0252

