trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  616 350.00  0.00 800.00  3.00  1
  1  790 440.00  0.00 800.00 260.00  0
  2  769 430.00  0.00 800.00 52.00  1
  3  681 380.00  0.00 800.00 156.00  1
  4  682 380.00  0.00 800.00 260.00  1
  5  557 310.00  0.00 800.00 520.00  0
  6  682 360.00  0.00 800.00 520.00  0
  7  682 400.00  0.00 800.00 520.00  0
  8  682 400.00  0.00 800.00 520.00  0
  9  682 390.00  0.00 800.00 156.00  1
 10  682 360.00  0.00 800.00 520.00  0
 11  682 400.00  0.00 800.00 520.00  0
 12  682 390.00  0.00 800.00 520.00  0
 13  682 380.00  0.00 800.00 520.00  1
 14  628 350.00  0.00 800.00 260.00  0
 15  663 370.00  0.00 800.00 156.00  1
 16  699 390.00  0.00 800.00 156.00  1
 17  646 360.00  0.00 800.00 260.00  0
 18  645 360.00  0.00 800.00 156.00  1
 19  663 370.00  0.00 800.00 156.00  1
 20  682 380.00  0.00 800.00 260.00  1
 21  682 390.00  0.00 800.00 520.00  1
 22 1132 630.00  0.00 800.00 260.00  0
 23  466 260.00  0.00 800.00 260.00  1
 24  502 280.00  0.00 800.00 260.00  1
 25  934 520.00  0.00 800.00 260.00  0
 26  934 530.00  0.00 800.00 156.00  0
 27  574 320.00  0.00 800.00 260.00  1
 28  898 500.00  0.00 800.00 260.00  0
 29  592 330.00  0.00 800.00 260.00  1
 30  592 340.00  0.00 800.00 156.00  1
 31  898 500.00  0.00 800.00 260.00  0
 32  610 340.00  0.00 800.00 260.00  0
 33  664 370.00  0.00 800.00 260.00  0
 34  754 420.00  0.00 800.00 260.00  0
 35  736 410.00  0.00 800.00 260.00  0
 36  772 430.00  0.00 800.00 260.00  0
 37  772 410.00  0.00 800.00 520.00  0
 38  772 410.00  0.00 800.00 520.00  0
 39  772 440.00  0.00 800.00 156.00  0
 40  826 460.00  0.00 800.00 260.00  0
 41  808 450.00  0.00 800.00 260.00  0
