Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.4212  1.3412    -6.5807 -2.5256
      1  -3.3467  0.8400    -4.4838 -2.4144
      2  -3.8717  0.6212    -4.6002 -3.4093
      3  -4.1550  0.5451    -4.7748 -3.8144
      4  -4.3299  0.5411    -5.0595 -4.0736
      5  -4.2490  0.3703    -4.5507 -4.0728
      6  -4.2605  0.2828    -4.5129 -4.2424
      7  -4.2405  0.2000    -4.5034 -4.2426
      8  -4.8716  1.3567    -8.3398 -3.3901
      9  -4.7140  1.1169    -7.6328 -3.7029
     10  -4.6074  0.9047    -6.4791 -3.8445
     11  -4.5427  0.7398    -5.7933 -3.9355
     12  -4.4435  0.5956    -5.3136 -3.9506
     13  -4.3724  0.4932    -5.0524 -3.9434
     14  -4.3949  0.4109    -5.0413 -4.0333
     15  -4.3436  0.3476    -4.9202 -4.0229
     16  -4.3652  0.2964    -4.9187 -4.1047
     17  -4.4672  0.3188    -5.0301 -4.2419
     18  -4.4352  0.2712    -4.9577 -4.2401
     19  -4.4832  0.2470    -4.9900 -4.2699
     20  -4.5099  0.2201    -5.0009 -4.3015
     21  -4.4891  0.1889    -4.9397 -4.2967
     22  -4.4546  0.1819    -4.8050 -4.2763
     23  -4.4821  0.1593    -4.8372 -4.3076
     24  -4.4556  0.1579    -4.7830 -4.2860
     25  -4.4594  0.1459    -4.7826 -4.2922
     26  -4.4857  0.1252    -4.7847 -4.3339
     27  -4.4985  0.1089    -4.7852 -4.3844
     28  -4.5089  0.0942    -4.7858 -4.4803
     29  -4.5212  0.0885    -4.7997 -4.5200
     30  -4.5725  0.1547    -5.0238 -4.5236
     31  -4.5546  0.1313    -4.9929 -4.5227
     32  -4.5406  0.1118    -4.9539 -4.5220
     33  -4.5433  0.1070    -4.9562 -4.5243
     34  -4.5480  0.1064    -4.9660 -4.5263
     35  -4.6135  0.1568    -5.0414 -4.5313
     36  -4.6001  0.1446    -5.0311 -4.5303
     37  -4.5892  0.1351    -5.0220 -4.5295
     38  -4.5675  0.1197    -5.0011 -4.5278
     39  -4.5607  0.1125    -4.9906 -4.5274
     40  -4.5540  0.1056    -4.9779 -4.5271
     41  -4.5509  0.1019    -4.9705 -4.5269

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1007  0.0594     0.0047  0.1897
      1   0.1013  0.0592     0.0052  0.1898
      2   0.1008  0.0595     0.0046  0.1898
      3   0.1004  0.0596     0.0042  0.1898
      4   0.0997  0.0607     0.0033  0.1900
      5   0.1111  0.0568     0.0111  0.1914
      6   0.1192  0.0538     0.0193  0.1924
      7   0.1256  0.0504     0.0311  0.1930
      8   0.0114  0.0120     0.0000  0.0319
      9   0.0134  0.0119     0.0000  0.0334
     10   0.0147  0.0117     0.0000  0.0341
     11   0.0156  0.0115     0.0001  0.0346
     12   0.0173  0.0118     0.0004  0.0370
     13   0.0190  0.0121     0.0009  0.0391
     14   0.0205  0.0123     0.0014  0.0405
     15   0.0222  0.0126     0.0020  0.0427
     16   0.0237  0.0128     0.0027  0.0445
     17   0.0212  0.0113     0.0020  0.0393
     18   0.0226  0.0115     0.0028  0.0405
     19   0.0237  0.0119     0.0033  0.0424
     20   0.0250  0.0123     0.0041  0.0446
     21   0.0264  0.0123     0.0058  0.0460
     22   0.0269  0.0123     0.0065  0.0465
     23   0.0284  0.0127     0.0074  0.0481
     24   0.0288  0.0127     0.0076  0.0485
     25   0.0294  0.0126     0.0082  0.0490
     26   0.0308  0.0130     0.0087  0.0516
     27   0.0322  0.0132     0.0095  0.0531
     28   0.0335  0.0134     0.0104  0.0545
     29   0.0338  0.0137     0.0104  0.0551
     30   0.0240  0.0100     0.0063  0.0391
     31   0.0252  0.0099     0.0075  0.0400
     32   0.0263  0.0099     0.0081  0.0407
     33   0.0271  0.0100     0.0086  0.0413
     34   0.0278  0.0101     0.0089  0.0426
     35   0.0219  0.0081     0.0071  0.0333
     36   0.0226  0.0080     0.0075  0.0337
     37   0.0232  0.0079     0.0079  0.0340
     38   0.0242  0.0080     0.0083  0.0348
     39   0.0247  0.0080     0.0087  0.0354
     40   0.0252  0.0079     0.0091  0.0360
     41   0.0254  0.0079     0.0094  0.0363

