Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.0120  1.9300    -9.1536 -3.1373
      1  -4.4020  1.0518    -6.0834 -2.9638
      2  -3.5827  0.6706    -4.5014 -2.8760
      3  -3.1569  0.5432    -3.7259 -2.7437
      4  -3.3210  0.4607    -3.8377 -3.1336
      5  -3.1708  0.4373    -3.5792 -2.9931
      6  -3.1751  0.3351    -3.5644 -3.1392
      7  -3.1440  0.2437    -3.4014 -3.1389
      8  -3.1403  0.1799    -3.4007 -3.1409
      9  -3.2448  0.4592    -3.6705 -3.1418
     10  -3.1818  0.3687    -3.5747 -3.1396
     11  -3.1646  0.2694    -3.5464 -3.1400
     12  -3.1556  0.2010    -3.5273 -3.1402
     13  -3.1503  0.1546    -3.5093 -3.1405
     14  -3.1479  0.1253    -3.5009 -3.1407
     15  -3.1947  0.1769    -3.6297 -3.1446
     16  -3.1918  0.1529    -3.6269 -3.1448
     17  -3.1896  0.1385    -3.6242 -3.1449
     18  -3.2384  0.1544    -3.6518 -3.1513
     19  -3.2367  0.1471    -3.6506 -3.1513
     20  -3.1684  0.1104    -3.5875 -3.1451
     21  -3.2225  0.1442    -3.6446 -3.1499
     22  -3.2203  0.1385    -3.6431 -3.1499
     23  -3.2543  0.1438    -3.6546 -3.1552
     24  -3.1833  0.1153    -3.6125 -3.1474
     25  -3.1813  0.1114    -3.6093 -3.1474
     26  -3.1805  0.1096    -3.6080 -3.1474
     27  -3.1798  0.1083    -3.6068 -3.1474
     28  -3.2368  0.1366    -3.6486 -3.1530
     29  -3.2345  0.1355    -3.6476 -3.1528
     30  -3.3019  0.1359    -3.6622 -3.1669
     31  -3.2235  0.1320    -3.6431 -3.1516
     32  -3.2707  0.1394    -3.6571 -3.1589
     33  -3.2823  0.1384    -3.6591 -3.1617
     34  -3.3281  0.1260    -3.6650 -3.1791
     35  -3.3271  0.1263    -3.6648 -3.1786
     36  -3.3617  0.1038    -3.6678 -3.2137
     37  -3.3742  0.0910    -3.6686 -3.2444
     38  -3.3906  0.0677    -3.6696 -3.3508
     39  -3.3498  0.1130    -3.6668 -3.1971
     40  -3.3478  0.1143    -3.6666 -3.1949
     41  -3.3683  0.0971    -3.6681 -3.2278

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1021  0.0585     0.0074  0.1898
      1   0.1021  0.0584     0.0076  0.1898
      2   0.1024  0.0581     0.0084  0.1898
      3   0.1030  0.0580     0.0088  0.1899
      4   0.1064  0.0577     0.0102  0.1906
      5   0.1080  0.0572     0.0112  0.1909
      6   0.1162  0.0545     0.0184  0.1919
      7   0.1235  0.0513     0.0285  0.1928
      8   0.1251  0.0500     0.0332  0.1929
      9   0.0662  0.0409     0.0077  0.1427
     10   0.0739  0.0416     0.0121  0.1505
     11   0.0749  0.0411     0.0148  0.1509
     12   0.0757  0.0408     0.0164  0.1512
     13   0.0764  0.0404     0.0179  0.1515
     14   0.0768  0.0403     0.0188  0.1517
     15   0.0583  0.0310     0.0147  0.1141
     16   0.0588  0.0308     0.0153  0.1144
     17   0.0592  0.0307     0.0160  0.1146
     18   0.0546  0.0274     0.0157  0.1032
     19   0.0550  0.0273     0.0163  0.1034
     20   0.0594  0.0296     0.0170  0.1123
     21   0.0491  0.0234     0.0151  0.0897
     22   0.0495  0.0233     0.0157  0.0901
     23   0.0492  0.0227     0.0161  0.0888
     24   0.0533  0.0252     0.0167  0.0974
     25   0.0538  0.0251     0.0173  0.0977
     26   0.0540  0.0250     0.0176  0.0979
     27   0.0542  0.0250     0.0180  0.0980
     28   0.0463  0.0201     0.0164  0.0811
     29   0.0467  0.0200     0.0169  0.0814
     30   0.0429  0.0167     0.0165  0.0705
     31   0.0441  0.0184     0.0161  0.0754
     32   0.0420  0.0166     0.0161  0.0698
     33   0.0428  0.0167     0.0168  0.0710
     34   0.0415  0.0151     0.0170  0.0663
     35   0.0418  0.0150     0.0174  0.0665
     36   0.0415  0.0140     0.0181  0.0637
     37   0.0420  0.0138     0.0190  0.0639
     38   0.0425  0.0134     0.0201  0.0634
     39   0.0394  0.0135     0.0172  0.0609
     40   0.0399  0.0135     0.0177  0.0613
     41   0.0398  0.0128     0.0183  0.0599

