Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7629  2.0701    -9.1283 -2.6671
      1  -4.0157  1.1142    -5.7909 -2.4869
      2  -4.8267  0.6935    -5.8658 -4.0193
      3  -5.3684  0.5037    -6.0530 -4.9689
      4  -5.1830  0.3707    -5.6178 -4.8838
      5  -5.0338  0.3410    -5.4662 -4.8040
      6  -5.0825  0.2425    -5.4763 -5.0677
      7  -5.0874  0.1846    -5.4675 -5.0737
      8  -5.5061  0.9862    -7.7540 -4.2898
      9  -5.4788  0.8108    -7.0800 -4.7747
     10  -5.3847  0.6314    -6.3168 -4.8481
     11  -5.3304  0.5046    -6.0108 -4.8846
     12  -5.2689  0.4327    -5.8538 -4.8728
     13  -5.1317  0.5301    -5.7880 -4.6141
     14  -5.1572  0.4240    -5.7527 -4.8103
     15  -5.0221  0.6863    -5.8559 -4.3505
     16  -4.9965  0.5551    -5.7101 -4.4352
     17  -5.0250  0.4579    -5.6636 -4.5824
     18  -5.0274  0.3851    -5.6181 -4.6328
     19  -5.0532  0.3336    -5.6178 -4.7573
     20  -5.0175  0.2956    -5.5786 -4.7347
     21  -5.0451  0.2642    -5.5841 -4.8061
     22  -5.0135  0.2394    -5.5426 -4.8005
     23  -5.0470  0.2180    -5.5570 -4.8275
     24  -5.0567  0.2028    -5.5582 -4.8410
     25  -5.1497  0.2344    -5.6174 -4.9063
     26  -5.1279  0.2137    -5.5997 -4.8964
     27  -5.2114  0.2406    -5.7264 -4.9959
     28  -5.1962  0.2202    -5.6462 -4.9897
     29  -5.1805  0.2055    -5.6103 -4.9797
     30  -5.2006  0.1933    -5.6128 -5.0674
     31  -5.2244  0.1837    -5.6161 -5.0797
     32  -5.1704  0.1825    -5.6010 -5.0663
     33  -5.1498  0.1724    -5.5897 -5.0420
     34  -5.1614  0.1661    -5.5921 -5.0707
     35  -5.1328  0.1559    -5.5771 -5.0664
     36  -5.1112  0.1453    -5.5599 -5.0341
     37  -5.0952  0.1356    -5.5398 -5.0083
     38  -5.0675  0.1279    -5.4830 -4.9345
     39  -5.0756  0.1209    -5.4918 -4.9821
     40  -5.0682  0.1141    -5.4568 -4.9720
     41  -5.0711  0.1105    -5.4592 -4.9966

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1036  0.0579     0.0090  0.1900
      1   0.1036  0.0579     0.0089  0.1900
      2   0.1035  0.0580     0.0086  0.1901
      3   0.1015  0.0585     0.0070  0.1897
      4   0.1051  0.0572     0.0108  0.1902
      5   0.1032  0.0573     0.0104  0.1898
      6   0.1137  0.0545     0.0187  0.1914
      7   0.1170  0.0526     0.0249  0.1917
      8   0.0168  0.0141     0.0000  0.0400
      9   0.0183  0.0137     0.0000  0.0408
     10   0.0207  0.0138     0.0001  0.0431
     11   0.0226  0.0137     0.0008  0.0450
     12   0.0243  0.0141     0.0016  0.0472
     13   0.0195  0.0117     0.0004  0.0380
     14   0.0210  0.0116     0.0014  0.0393
     15   0.0132  0.0079     0.0001  0.0248
     16   0.0138  0.0077     0.0003  0.0250
     17   0.0148  0.0077     0.0007  0.0259
     18   0.0153  0.0075     0.0011  0.0261
     19   0.0162  0.0076     0.0014  0.0268
     20   0.0170  0.0077     0.0018  0.0274
     21   0.0179  0.0078     0.0023  0.0285
     22   0.0187  0.0079     0.0029  0.0300
     23   0.0196  0.0080     0.0037  0.0313
     24   0.0201  0.0080     0.0046  0.0318
     25   0.0169  0.0067     0.0024  0.0260
     26   0.0175  0.0067     0.0030  0.0265
     27   0.0154  0.0060     0.0019  0.0233
     28   0.0160  0.0060     0.0023  0.0240
     29   0.0165  0.0060     0.0028  0.0246
     30   0.0171  0.0060     0.0035  0.0252
     31   0.0176  0.0061     0.0042  0.0258
     32   0.0171  0.0059     0.0037  0.0250
     33   0.0176  0.0059     0.0046  0.0256
     34   0.0181  0.0059     0.0058  0.0259
     35   0.0185  0.0060     0.0068  0.0263
     36   0.0190  0.0060     0.0071  0.0267
     37   0.0195  0.0061     0.0073  0.0270
     38   0.0193  0.0061     0.0072  0.0269
     39   0.0198  0.0061     0.0074  0.0272
     40   0.0202  0.0061     0.0076  0.0274
     41   0.0205  0.0060     0.0077  0.0275

