Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.1639  1.8592    -9.1704 -3.3830
      1  -7.6422  1.0463    -5.5728 -6.2650
      2  -8.3228  0.7141    -3.2513 -7.5691
      3  -8.6942  0.5674    -1.9440 -8.1544
      4  -8.8861  0.4831    -1.2814 -8.4852
      5  -8.9957  0.4109    -0.9474 -8.7070
      6  -9.0310  0.3341    -0.8786 -8.7626
      7  -9.0432  0.2702    -0.8698 -8.7827
      8  -9.1091  0.2296    -0.6697 -8.9545
      9  -9.1177  0.1901    -0.6583 -8.9620
     10  -9.1271  0.1640    -0.6391 -8.9710
     11  -9.1310  0.1475    -0.6326 -8.9749
     12  -9.1322  0.1387    -0.6312 -8.9761
     13  -9.1470  0.1254    -0.5925 -8.9907
     14  -9.1514  0.1188    -0.5822 -8.9964
     15  -9.1627  0.1079    -0.5548 -9.0131
     16  -9.1630  0.1064    -0.5544 -9.0136
     17  -9.1634  0.1054    -0.5536 -9.0144
     18  -9.1638  0.1047    -0.5529 -9.0151
     19  -9.1666  0.1017    -0.5465 -9.0207
     20  -9.1692  0.0990    -0.5407 -9.0264
     21  -9.1692  0.0988    -0.5406 -9.0265
     22  -9.1716  0.0963    -0.5354 -9.0323
     23  -9.1716  0.0962    -0.5353 -9.0324
     24  -9.1718  0.0961    -0.5350 -9.0328
     25  -9.1719  0.0959    -0.5347 -9.0332
     26  -9.1721  0.0957    -0.5344 -9.0336
     27  -9.1726  0.0952    -0.5332 -9.0349
     28  -9.1801  0.0864    -0.5170 -9.0603
     29  -9.1801  0.0863    -0.5169 -9.0604
     30  -9.1805  0.0858    -0.5161 -9.0621
     31  -9.1822  0.0837    -0.5128 -9.0695
     32  -9.1880  0.0754    -0.5010 -9.1048
     33  -9.1892  0.0735    -0.4986 -9.1147
     34  -9.1895  0.0731    -0.4982 -9.1168
     35  -9.1895  0.0730    -0.4981 -9.1173
     36  -9.1896  0.0729    -0.4979 -9.1178
     37  -9.1896  0.0729    -0.4979 -9.1179
     38  -9.1896  0.0728    -0.4979 -9.1180
     39  -9.1896  0.0728    -0.4979 -9.1181
     40  -9.1896  0.0728    -0.4979 -9.1182
     41  -9.1898  0.0724    -0.4974 -9.1203

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1017  0.0587     0.0068  0.1898
      1   0.1017  0.0588     0.0066  0.1898
      2   0.1033  0.0581     0.0085  0.1900
      3   0.1058  0.0571     0.0109  0.1903
      4   0.1109  0.0558     0.0146  0.1911
      5   0.1173  0.0541     0.0198  0.1921
      6   0.1249  0.0515     0.0284  0.1932
      7   0.1273  0.0498     0.0348  0.1934
      8   0.1307  0.0486     0.0389  0.1938
      9   0.1345  0.0464     0.0462  0.1942
     10   0.1389  0.0443     0.0535  0.1947
     11   0.1414  0.0427     0.0589  0.1949
     12   0.1422  0.0419     0.0614  0.1949
     13   0.1457  0.0406     0.0662  0.1954
     14   0.1484  0.0391     0.0713  0.1957
     15   0.1513  0.0378     0.0760  0.1960
     16   0.1517  0.0374     0.0771  0.1960
     17   0.1523  0.0369     0.0788  0.1961
     18   0.1528  0.0364     0.0803  0.1961
     19   0.1547  0.0353     0.0840  0.1963
     20   0.1564  0.0343     0.0873  0.1964
     21   0.1566  0.0341     0.0879  0.1964
     22   0.1581  0.0333     0.0909  0.1966
     23   0.1582  0.0331     0.0914  0.1966
     24   0.1585  0.0328     0.0922  0.1966
     25   0.1588  0.0326     0.0930  0.1966
     26   0.1591  0.0323     0.0938  0.1966
     27   0.1597  0.0319     0.0953  0.1967
     28   0.1614  0.0311     0.0982  0.1969
     29   0.1615  0.0310     0.0984  0.1969
     30   0.1620  0.0306     0.0996  0.1969
     31   0.1631  0.0300     0.1018  0.1970
     32   0.1646  0.0292     0.1045  0.1971
     33   0.1655  0.0287     0.1063  0.1972
     34   0.1659  0.0284     0.1072  0.1972
     35   0.1660  0.0282     0.1076  0.1973
     36   0.1661  0.0281     0.1080  0.1973
     37   0.1662  0.0281     0.1082  0.1973
     38   0.1662  0.0280     0.1084  0.1973
     39   0.1663  0.0280     0.1086  0.1973
     40   0.1663  0.0279     0.1087  0.1973
     41   0.1667  0.0277     0.1096  0.1973

