Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7597  2.0712    -9.1279 -2.6646
      1  -7.6367  1.0558    -5.5824 -6.2600
      2  -6.7212  0.6730    -7.7090 -6.1613
      3  -7.0422  0.5289    -7.8681 -6.7248
      4  -6.8440  0.4096    -7.3642 -6.6074
      5  -6.6982  0.3702    -7.1714 -6.5017
      6  -6.7250  0.2654    -7.1635 -6.5980
      7  -6.7349  0.2091    -7.1572 -6.6619
      8  -6.7389  0.1745    -7.1524 -6.7031
      9  -6.7422  0.1512    -7.1488 -6.7257
     10  -6.7429  0.1380    -7.1459 -6.7267
     11  -6.7431  0.1299    -7.1437 -6.7273
     12  -6.7432  0.1242    -7.1417 -6.7279
     13  -6.7443  0.1184    -7.1398 -6.7295
     14  -6.7441  0.1156    -7.1385 -6.7298
     15  -6.7444  0.1124    -7.1369 -6.7306
     16  -6.7451  0.1092    -7.1356 -6.7316
     17  -6.7449  0.1077    -7.1346 -6.7317
     18  -6.7448  0.1063    -7.1336 -6.7319
     19  -6.7448  0.1050    -7.1327 -6.7321
     20  -6.7452  0.1028    -7.1318 -6.7328
     21  -6.7451  0.1019    -7.1311 -6.7329
     22  -6.7452  0.1006    -7.1302 -6.7332
     23  -6.7452  0.0999    -7.1297 -6.7333
     24  -6.7455  0.0984    -7.1289 -6.7338
     25  -6.7455  0.0976    -7.1282 -6.7339
     26  -6.7455  0.0967    -7.1276 -6.7342
     27  -6.7456  0.0958    -7.1269 -6.7344
     28  -6.7458  0.0947    -7.1263 -6.7347
     29  -6.7460  0.0938    -7.1257 -6.7351
     30  -6.7459  0.0934    -7.1253 -6.7351
     31  -6.7461  0.0926    -7.1248 -6.7353
     32  -6.7460  0.0923    -7.1244 -6.7354
     33  -6.7460  0.0919    -7.1240 -6.7354
     34  -6.7460  0.0915    -7.1235 -6.7355
     35  -6.7460  0.0911    -7.1231 -6.7356
     36  -6.7461  0.0905    -7.1226 -6.7358
     37  -6.7460  0.0903    -7.1223 -6.7358
     38  -6.7460  0.0901    -7.1220 -6.7358
     39  -6.7460  0.0899    -7.1217 -6.7358
     40  -6.7460  0.0895    -7.1213 -6.7359
     41  -6.7461  0.0890    -7.1209 -6.7361

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1020  0.0586     0.0072  0.1899
      1   0.1017  0.0588     0.0066  0.1898
      2   0.0995  0.0597     0.0046  0.1896
      3   0.1008  0.0592     0.0061  0.1898
      4   0.1064  0.0578     0.0088  0.1907
      5   0.1058  0.0576     0.0093  0.1904
      6   0.1104  0.0552     0.0168  0.1909
      7   0.1133  0.0537     0.0221  0.1912
      8   0.1150  0.0527     0.0254  0.1914
      9   0.1169  0.0517     0.0287  0.1916
     10   0.1176  0.0512     0.0303  0.1916
     11   0.1181  0.0508     0.0314  0.1917
     12   0.1187  0.0505     0.0326  0.1917
     13   0.1198  0.0499     0.0345  0.1919
     14   0.1201  0.0497     0.0351  0.1919
     15   0.1207  0.0494     0.0362  0.1919
     16   0.1215  0.0490     0.0375  0.1920
     17   0.1217  0.0488     0.0379  0.1921
     18   0.1220  0.0487     0.0384  0.1921
     19   0.1222  0.0485     0.0390  0.1921
     20   0.1229  0.0482     0.0400  0.1922
     21   0.1230  0.0481     0.0403  0.1922
     22   0.1234  0.0479     0.0411  0.1922
     23   0.1235  0.0478     0.0414  0.1922
     24   0.1240  0.0476     0.0422  0.1923
     25   0.1242  0.0474     0.0426  0.1923
     26   0.1245  0.0473     0.0431  0.1923
     27   0.1248  0.0471     0.0436  0.1924
     28   0.1252  0.0469     0.0442  0.1924
     29   0.1256  0.0467     0.0448  0.1924
     30   0.1257  0.0467     0.0450  0.1924
     31   0.1260  0.0465     0.0456  0.1925
     32   0.1261  0.0464     0.0457  0.1925
     33   0.1262  0.0463     0.0460  0.1925
     34   0.1264  0.0462     0.0464  0.1925
     35   0.1265  0.0461     0.0467  0.1925
     36   0.1269  0.0460     0.0473  0.1926
     37   0.1269  0.0460     0.0474  0.1926
     38   0.1270  0.0459     0.0476  0.1926
     39   0.1270  0.0459     0.0477  0.1926
     40   0.1272  0.0458     0.0481  0.1926
     41   0.1275  0.0456     0.0486  0.1926

