Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.0934  1.2167    -5.9328 -2.4894
      1  -4.8907  0.8445    -6.1412 -3.9925
      2  -4.3912  0.5854    -5.0646 -3.8925
      3  -4.6913  0.5046    -5.2669 -4.3894
      4  -4.5309  0.4658    -4.9892 -4.2765
      5  -4.5530  0.3529    -4.9697 -4.5166
      6  -4.5206  0.2580    -4.7841 -4.5169
      7  -4.5174  0.1920    -4.7832 -4.5183
      8  -4.5158  0.1469    -4.7827 -4.5193
      9  -4.5083  0.1088    -4.7773 -4.5193
     10  -4.5135  0.0766    -4.7773 -4.5247
     11  -4.5125  0.0577    -4.7767 -4.5248
     12  -4.5139  0.0422    -4.7767 -4.5263
     13  -4.5138  0.0342    -4.7766 -4.5264
     14  -4.5131  0.0248    -4.7760 -4.5264
     15  -4.5128  0.0190    -4.7757 -4.5264
     16  -4.5127  0.0158    -4.7757 -4.5265
     17  -4.5128  0.0140    -4.7757 -4.5265
     18  -4.5127  0.0123    -4.7756 -4.5265
     19  -4.5127  0.0109    -4.7756 -4.5266
     20  -4.5129  0.0171    -4.7758 -4.5265
     21  -4.5132  0.0130    -4.7758 -4.5267
     22  -4.5130  0.0094    -4.7756 -4.5267
     23  -4.5130  0.0085    -4.7756 -4.5268
     24  -4.5130  0.0078    -4.7756 -4.5268
     25  -4.5131  0.0062    -4.7756 -4.5268
     26  -4.5130  0.0047    -4.7756 -4.5268
     27  -4.5131  0.0094    -4.7757 -4.5268
     28  -4.5144  0.0230    -4.7770 -4.5268
     29  -4.5145  0.0217    -4.7770 -4.5269
     30  -4.5232  0.0549    -4.7856 -4.5273
     31  -4.5675  0.1153    -4.9965 -4.5299
     32  -4.5676  0.1133    -4.9965 -4.5300
     33  -4.5613  0.1069    -4.9871 -4.5296
     34  -4.5615  0.1063    -4.9873 -4.5297
     35  -4.5574  0.1022    -4.9799 -4.5294
     36  -4.5578  0.1024    -4.9807 -4.5295
     37  -4.5517  0.0963    -4.9672 -4.5291
     38  -4.5466  0.0905    -4.9521 -4.5287
     39  -4.5470  0.0909    -4.9533 -4.5288
     40  -4.5474  0.0912    -4.9545 -4.5288
     41  -4.5475  0.0914    -4.9550 -4.5288

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0991  0.0599     0.0033  0.1895
      1   0.0982  0.0600     0.0034  0.1893
      2   0.1010  0.0593     0.0048  0.1898
      3   0.1022  0.0595     0.0046  0.1901
      4   0.1027  0.0593     0.0049  0.1902
      5   0.1129  0.0561     0.0127  0.1916
      6   0.1208  0.0529     0.0227  0.1925
      7   0.1219  0.0519     0.0264  0.1926
      8   0.1227  0.0512     0.0289  0.1926
      9   0.1279  0.0488     0.0365  0.1932
     10   0.1323  0.0462     0.0457  0.1936
     11   0.1329  0.0457     0.0477  0.1937
     12   0.1364  0.0438     0.0542  0.1940
     13   0.1365  0.0438     0.0544  0.1940
     14   0.1376  0.0429     0.0574  0.1941
     15   0.1386  0.0422     0.0597  0.1942
     16   0.1389  0.0419     0.0608  0.1942
     17   0.1389  0.0418     0.0609  0.1942
     18   0.1394  0.0415     0.0622  0.1943
     19   0.1420  0.0404     0.0659  0.1946
     20   0.1098  0.0409     0.0443  0.1801
     21   0.1129  0.0404     0.0477  0.1816
     22   0.1156  0.0399     0.0505  0.1827
     23   0.1157  0.0399     0.0506  0.1827
     24   0.1157  0.0399     0.0506  0.1827
     25   0.1184  0.0394     0.0535  0.1839
     26   0.1208  0.0389     0.0563  0.1848
     27   0.0936  0.0335     0.0420  0.1526
     28   0.0698  0.0251     0.0299  0.1119
     29   0.0713  0.0250     0.0315  0.1133
     30   0.0550  0.0195     0.0227  0.0868
     31   0.0420  0.0154     0.0157  0.0664
     32   0.0423  0.0153     0.0161  0.0666
     33   0.0430  0.0151     0.0170  0.0670
     34   0.0433  0.0151     0.0174  0.0672
     35   0.0438  0.0149     0.0182  0.0675
     36   0.0441  0.0149     0.0188  0.0677
     37   0.0448  0.0148     0.0200  0.0681
     38   0.0454  0.0147     0.0209  0.0684
     39   0.0457  0.0146     0.0212  0.0685
     40   0.0459  0.0145     0.0215  0.0687
     41   0.0461  0.0145     0.0217  0.0688

