trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1379 770.00  0.00 800.00 21.50  0
  1  626 350.00  0.00 800.00 104.00  0
  2  714 400.00  0.00 800.00 26.00  1
  3  661 370.00  0.00 800.00 52.00  1
  4  769 430.00  0.00 800.00 52.00  0
  5  661 370.00  0.00 800.00 26.00  1
  6  661 390.00  0.00 800.00 26.00  0
  7 1421 790.00  0.00 800.00 520.00  0
  8 1421 790.00  0.00 800.00 260.00  0
  9 1421 780.00  0.00 800.00 260.00  0
 10  769 430.00  0.00 800.00 52.00  0
 11  624 350.00  0.00 800.00 26.00  1
 12  679 380.00  0.00 800.00 52.00  0
 13  642 360.00  0.00 800.00 26.00  1
 14  822 460.00  0.00 800.00 26.00  0
 15  858 480.00  0.00 800.00 26.00  0
 16  624 350.00  0.00 800.00 26.00  0
 17  533 300.00  0.00 800.00 21.50  1
 18  569 320.00  0.00 800.00 21.50  1
 19  605 340.00  0.00 800.00 21.50  0
 20  461 260.00  0.00 800.00 21.50  1
 21  479 270.00  0.00 800.00 21.50  0
 22 1421 790.00  0.00 800.00 520.00  0
 23  460 260.00  0.00 800.00 17.20  0
 24 1421 790.00  0.00 800.00 260.00  0
 25 1421 780.00  0.00 800.00 260.00  0
 26  496 280.00  0.00 800.00 17.20  1
 27  496 290.00  0.00 800.00 12.90  1
 28  983 550.00  0.00 800.00 21.50  0
 29  478 270.00  0.00 800.00 17.20  1
 30  496 280.00  0.00 800.00 17.20  1
 31  930 520.00  0.00 800.00 26.00  0
 32  478 270.00  0.00 800.00 17.20  1
 33 1001 560.00  0.00 800.00 21.50  0
 34  948 530.00  0.00 800.00 26.00  0
 35  460 260.00  0.00 800.00 17.20  1
 36  948 520.00  0.00 800.00 21.50  0
 37  460 280.00  0.00 800.00 12.90  1
 38  460 240.00  0.00 800.00 12.90  1
 39  478 270.00  0.00 800.00 17.20  1
 40  983 550.00  0.00 800.00 21.50  0
 41  983 570.00  0.00 800.00 17.20  1
