Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.7960  1.4964    -8.4406 -4.6308
      1  -8.0359  0.8766    -4.2008 -7.0419
      2  -8.5694  0.6807    -2.3207 -7.9481
      3  -8.2776  0.6262    -9.1614 -7.8306
      4  -8.0868  0.5813    -8.8111 -7.6397
      5  -7.7347  0.8306    -8.6609 -6.7441
      6  -7.8724  0.6741    -8.6815 -7.4306
      7  -7.7725  0.6171    -8.4008 -7.3653
      8  -7.8214  0.4725    -8.3756 -7.5747
      9  -7.8559  0.3747    -8.3689 -7.6553
     10  -7.8752  0.3008    -8.3629 -7.7458
     11  -7.8858  0.2478    -8.3579 -7.8304
     12  -7.8896  0.2115    -8.3536 -7.8337
     13  -7.8441  0.3442    -8.3817 -7.6229
     14  -7.8062  0.2766    -8.2889 -7.6142
     15  -7.8426  0.2358    -8.3070 -7.7081
     16  -7.8484  0.1973    -8.2985 -7.7550
     17  -7.8598  0.1771    -8.3044 -7.8326
     18  -7.8619  0.1561    -8.2982 -7.8361
     19  -7.8675  0.1459    -8.3026 -7.8400
     20  -7.8713  0.1391    -8.3062 -7.8423
     21  -7.8702  0.1309    -8.3015 -7.8427
     22  -7.8694  0.1246    -8.2972 -7.8432
     23  -7.8685  0.1202    -8.2934 -7.8434
     24  -7.8675  0.1168    -8.2900 -7.8436
     25  -7.8667  0.1139    -8.2869 -7.8437
     26  -7.8659  0.1112    -8.2837 -7.8438
     27  -7.8652  0.1091    -8.2811 -7.8438
     28  -7.8645  0.1073    -8.2787 -7.8439
     29  -7.8640  0.1054    -8.2763 -7.8440
     30  -7.8635  0.1037    -8.2741 -7.8441
     31  -7.8656  0.1053    -8.2807 -7.8444
     32  -7.8430  0.0662    -8.1049 -7.8431
     33  -7.8428  0.0653    -8.1047 -7.8432
     34  -7.8425  0.0645    -8.1045 -7.8432
     35  -7.8423  0.0636    -8.1042 -7.8432
     36  -7.8430  0.0646    -8.1049 -7.8433
     37  -7.8428  0.0640    -8.1047 -7.8433
     38  -7.8434  0.0651    -8.1104 -7.8433
     39  -7.8432  0.0645    -8.1071 -7.8433
     40  -7.8439  0.0657    -8.1197 -7.8434
     41  -7.8437  0.0652    -8.1169 -7.8434

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1019  0.0587     0.0064  0.1898
      1   0.1025  0.0585     0.0072  0.1899
      2   0.1045  0.0578     0.0089  0.1902
      3   0.1012  0.0585     0.0076  0.1897
      4   0.1020  0.0591     0.0070  0.1900
      5   0.0590  0.0482     0.0001  0.1550
      6   0.0694  0.0493     0.0017  0.1630
      7   0.0730  0.0504     0.0026  0.1674
      8   0.0776  0.0493     0.0078  0.1693
      9   0.0844  0.0487     0.0124  0.1727
     10   0.0900  0.0479     0.0170  0.1752
     11   0.0945  0.0471     0.0216  0.1771
     12   0.0967  0.0463     0.0248  0.1778
     13   0.0618  0.0342     0.0120  0.1231
     14   0.0670  0.0346     0.0157  0.1290
     15   0.0715  0.0355     0.0181  0.1349
     16   0.0743  0.0352     0.0214  0.1369
     17   0.0782  0.0360     0.0234  0.1423
     18   0.0810  0.0358     0.0262  0.1445
     19   0.0845  0.0364     0.0285  0.1491
     20   0.0878  0.0369     0.0304  0.1531
     21   0.0889  0.0366     0.0322  0.1537
     22   0.0909  0.0364     0.0346  0.1552
     23   0.0918  0.0361     0.0357  0.1557
     24   0.0926  0.0359     0.0369  0.1562
     25   0.0933  0.0357     0.0380  0.1566
     26   0.0944  0.0354     0.0394  0.1572
     27   0.0951  0.0353     0.0405  0.1576
     28   0.0957  0.0351     0.0415  0.1579
     29   0.0971  0.0350     0.0427  0.1589
     30   0.0984  0.0349     0.0439  0.1600
     31   0.1008  0.0353     0.0452  0.1630
     32   0.1062  0.0348     0.0508  0.1671
     33   0.1066  0.0347     0.0514  0.1673
     34   0.1070  0.0346     0.0520  0.1675
     35   0.1076  0.0344     0.0529  0.1679
     36   0.1100  0.0347     0.0546  0.1703
     37   0.1104  0.0345     0.0553  0.1705
     38   0.1127  0.0348     0.0565  0.1726
     39   0.1130  0.0346     0.0570  0.1727
     40   0.1153  0.0348     0.0583  0.1749
     41   0.1156  0.0347     0.0588  0.1750

