Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.5857  1.4398    -6.8987 -2.5416
      1  -5.6629  0.8869    -7.0221 -4.5770
      2  -4.9393  0.5731    -5.6489 -4.4653
      3  -4.6438  0.5108    -5.1973 -4.2578
      4  -4.4784  0.5133    -4.9694 -3.9707
      5  -4.1600  0.9448    -5.4088 -2.8007
      6  -3.7873  1.1855    -6.5031 -2.5103
      7  -3.4820  1.3676    -7.1391 -2.4026
      8  -3.2933  1.1006    -5.3438 -2.3970
      9  -3.4951  1.0433    -5.2888 -2.5056
     10  -3.3972  0.8507    -4.5377 -2.5023
     11  -3.5410  0.7601    -4.5696 -2.6862
     12  -3.6544  0.6667    -4.5964 -2.9315
     13  -3.8751  0.6945    -4.8149 -3.1673
     14  -4.0217  0.6621    -4.9603 -3.4091
     15  -3.9408  0.5661    -4.7372 -3.3762
     16  -3.9796  0.4843    -4.7339 -3.4887
     17  -4.0199  0.4236    -4.7420 -3.6201
     18  -3.9589  0.3710    -4.6017 -3.5825
     19  -3.8988  0.3345    -4.4833 -3.5384
     20  -3.9445  0.2979    -4.4946 -3.6883
     21  -3.9041  0.2683    -4.4499 -3.6655
     22  -3.8742  0.2452    -4.3966 -3.6382
     23  -3.8840  0.2241    -4.3976 -3.6889
     24  -3.9238  0.2039    -4.4228 -3.7171
     25  -3.9511  0.1870    -4.4368 -3.7450
     26  -3.9552  0.1784    -4.4365 -3.7532
     27  -3.9581  0.1727    -4.4361 -3.7597
     28  -3.9368  0.1600    -4.3888 -3.7495
     29  -3.8716  0.1727    -4.2526 -3.7108
     30  -3.8119  0.1741    -4.2223 -3.6947
     31  -3.7673  0.1647    -4.2053 -3.6871
     32  -3.7406  0.1523    -4.1880 -3.6794
     33  -3.7365  0.1471    -4.1833 -3.6821
     34  -3.7446  0.1421    -4.1864 -3.6894
     35  -3.7512  0.1389    -4.1889 -3.6933
     36  -3.7269  0.1247    -4.1645 -3.6907
     37  -3.6914  0.1222    -4.1050 -3.5864
     38  -3.6976  0.1160    -4.1107 -3.6405
     39  -3.7448  0.1458    -4.1884 -3.6882
     40  -3.8000  0.1640    -4.2146 -3.6963
     41  -3.7953  0.1594    -4.2115 -3.6962

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1003  0.0594     0.0049  0.1897
      1   0.0999  0.0595     0.0048  0.1896
      2   0.1006  0.0597     0.0042  0.1898
      3   0.1007  0.0601     0.0038  0.1900
      4   0.0989  0.0607     0.0033  0.1898
      5   0.0330  0.0327     0.0001  0.0975
      6   0.0140  0.0121     0.0000  0.0342
      7   0.0092  0.0066     0.0000  0.0186
      8   0.0100  0.0063     0.0001  0.0190
      9   0.0106  0.0068     0.0001  0.0202
     10   0.0111  0.0066     0.0001  0.0203
     11   0.0121  0.0071     0.0003  0.0225
     12   0.0132  0.0074     0.0005  0.0244
     13   0.0122  0.0069     0.0003  0.0216
     14   0.0124  0.0070     0.0003  0.0222
     15   0.0133  0.0071     0.0006  0.0237
     16   0.0142  0.0073     0.0008  0.0249
     17   0.0151  0.0074     0.0011  0.0259
     18   0.0160  0.0076     0.0014  0.0268
     19   0.0168  0.0078     0.0017  0.0275
     20   0.0177  0.0080     0.0021  0.0291
     21   0.0186  0.0081     0.0026  0.0305
     22   0.0194  0.0083     0.0032  0.0317
     23   0.0199  0.0082     0.0040  0.0320
     24   0.0208  0.0084     0.0049  0.0331
     25   0.0217  0.0086     0.0062  0.0340
     26   0.0221  0.0085     0.0071  0.0341
     27   0.0224  0.0085     0.0073  0.0343
     28   0.0232  0.0086     0.0077  0.0354
     29   0.0211  0.0076     0.0072  0.0320
     30   0.0205  0.0073     0.0070  0.0309
     31   0.0208  0.0075     0.0071  0.0315
     32   0.0215  0.0077     0.0073  0.0325
     33   0.0218  0.0076     0.0075  0.0328
     34   0.0224  0.0076     0.0078  0.0332
     35   0.0229  0.0076     0.0081  0.0336
     36   0.0236  0.0078     0.0083  0.0343
     37   0.0213  0.0070     0.0076  0.0312
     38   0.0218  0.0070     0.0078  0.0317
     39   0.0185  0.0058     0.0071  0.0262
     40   0.0168  0.0052     0.0046  0.0233
     41   0.0170  0.0052     0.0055  0.0236

