Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.8058  2.0480    -9.1329 -2.7409
      1  -7.5089  1.1078    -6.0392 -6.0057
      2  -6.5940  0.6715    -7.6167 -5.9152
      3  -7.0359  0.5236    -7.8289 -6.7046
      4  -7.3270  0.5437    -8.3456 -7.0288
      5  -7.6604  0.8294    -9.1072 -7.0489
      6  -7.9932  1.0422    -5.3928 -6.6117
      7  -8.0863  0.8591    -5.2765 -7.2980
      8  -7.9261  0.7793    -9.2025 -7.2818
      9  -8.0289  0.7391    -8.0808 -7.3996
     10  -8.2705  0.8662    -4.0680 -7.4558
     11  -8.3434  0.7213    -3.9539 -7.6479
     12  -8.2848  0.6514    -5.3377 -7.6456
     13  -8.2360  0.5831    -7.2742 -7.6445
     14  -8.2938  0.5233    -6.8011 -7.7726
     15  -8.2361  0.4758    -9.1967 -7.7493
     16  -8.4044  0.4921    -5.7328 -7.8812
     17  -8.3678  0.4529    -7.4943 -7.8752
     18  -8.4181  0.4182    -6.8650 -7.9429
     19  -8.3616  0.3900    -9.1943 -7.9207
     20  -8.4078  0.3671    -9.2097 -8.0040
     21  -8.3662  0.3432    -9.1490 -7.9834
     22  -8.3150  0.3180    -9.0460 -7.9565
     23  -8.3513  0.3037    -9.0711 -8.0484
     24  -8.4764  0.3231    -9.2004 -8.1337
     25  -8.4806  0.3137    -9.1974 -8.1407
     26  -8.4523  0.2990    -9.1554 -8.1351
     27  -8.4224  0.2840    -9.0991 -8.1291
     28  -8.4532  0.2739    -9.1176 -8.1536
     29  -8.4857  0.2652    -9.1370 -8.1838
     30  -8.4539  0.2504    -9.0716 -8.1726
     31  -8.4305  0.2412    -9.0104 -8.1640
     32  -8.4581  0.2339    -9.0390 -8.1927
     33  -8.5083  0.2465    -9.1251 -8.2289
     34  -8.5158  0.2419    -9.1256 -8.2485
     35  -8.5373  0.2386    -9.1400 -8.2964
     36  -8.5575  0.2353    -9.1521 -8.3621
     37  -8.5764  0.2322    -9.1622 -8.3886
     38  -8.5545  0.2218    -9.1270 -8.3854
     39  -8.5222  0.2092    -9.0623 -8.3671
     40  -8.5804  0.2115    -9.1308 -8.3989
     41  -8.6054  0.2067    -9.1461 -8.4110

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1029  0.0583     0.0080  0.1900
      1   0.1025  0.0584     0.0080  0.1899
      2   0.1011  0.0589     0.0066  0.1897
      3   0.1009  0.0591     0.0067  0.1898
      4   0.0932  0.0600     0.0044  0.1881
      5   0.0457  0.0423     0.0001  0.1344
      6   0.0214  0.0175     0.0001  0.0520
      7   0.0223  0.0172     0.0003  0.0527
      8   0.0254  0.0194     0.0006  0.0603
      9   0.0262  0.0195     0.0009  0.0611
     10   0.0181  0.0120     0.0001  0.0379
     11   0.0194  0.0120     0.0009  0.0391
     12   0.0211  0.0126     0.0014  0.0415
     13   0.0229  0.0130     0.0021  0.0443
     14   0.0243  0.0133     0.0029  0.0462
     15   0.0261  0.0137     0.0040  0.0481
     16   0.0236  0.0122     0.0032  0.0431
     17   0.0250  0.0124     0.0043  0.0450
     18   0.0264  0.0127     0.0057  0.0467
     19   0.0279  0.0130     0.0071  0.0484
     20   0.0293  0.0133     0.0077  0.0507
     21   0.0308  0.0135     0.0084  0.0526
     22   0.0323  0.0138     0.0091  0.0542
     23   0.0337  0.0141     0.0099  0.0559
     24   0.0302  0.0127     0.0086  0.0502
     25   0.0309  0.0126     0.0092  0.0508
     26   0.0321  0.0127     0.0101  0.0522
     27   0.0333  0.0128     0.0111  0.0534
     28   0.0346  0.0130     0.0123  0.0547
     29   0.0358  0.0132     0.0136  0.0564
     30   0.0370  0.0134     0.0144  0.0581
     31   0.0381  0.0136     0.0149  0.0596
     32   0.0394  0.0138     0.0156  0.0610
     33   0.0367  0.0129     0.0145  0.0566
     34   0.0377  0.0129     0.0152  0.0578
     35   0.0387  0.0132     0.0156  0.0593
     36   0.0397  0.0134     0.0162  0.0606
     37   0.0408  0.0137     0.0168  0.0618
     38   0.0419  0.0137     0.0178  0.0631
     39   0.0430  0.0138     0.0189  0.0646
     40   0.0426  0.0139     0.0184  0.0643
     41   0.0438  0.0141     0.0195  0.0659

