trialNum, leftMoney, leftTime, rightMoney, rightTime
5.0, 800, 156.0, 400, 0
6.0, 800, 156.0, 200, 0
7.0, 800, 156.0, 100, 0
8.0, 800, 156.0, 50, 0
9.0, 800, 156.0, 75, 0
10.0, 800, 156.0, 87, 0
11.0, 400, 0.0, 800, 2
12.0, 600, 0.0, 800, 2
13.0, 500, 0.0, 800, 2
14.0, 550, 0.0, 800, 2
15.0, 525, 0.0, 800, 2
16.0, 537, 0.0, 800, 2
17.0, 800, 26.0, 400, 0
18.0, 800, 26.0, 200, 0
19.0, 800, 26.0, 100, 0
20.0, 800, 26.0, 150, 0
21.0, 800, 26.0, 175, 0
22.0, 800, 26.0, 187, 0
23.0, 400, 0.0, 800, 52
24.0, 200, 0.0, 800, 52
25.0, 300, 0.0, 800, 52
26.0, 350, 0.0, 800, 52
27.0, 375, 0.0, 800, 52
28.0, 387, 0.0, 800, 52
29.0, 400, 0.0, 800, 520
30.0, 200, 0.0, 800, 520
31.0, 100, 0.0, 800, 520
32.0, 50, 0.0, 800, 520
33.0, 25, 0.0, 800, 520
34.0, 12, 0.0, 800, 520
35.0, 400, 0.0, 800, 1
36.0, 600, 0.0, 800, 1
37.0, 500, 0.0, 800, 1
38.0, 550, 0.0, 800, 1
39.0, 575, 0.0, 800, 1
40.0, 587, 0.0, 800, 1
41.0, 400, 0.0, 800, 4
42.0, 600, 0.0, 800, 4
43.0, 500, 0.0, 800, 4
44.0, 550, 0.0, 800, 4
45.0, 575, 0.0, 800, 4
46.0, 587, 0.0, 800, 4
