Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7785  2.0622    -9.1300 -2.6922
      1  -7.3806  1.1746    -6.4752 -5.7540
      2  -6.4648  0.7231    -7.5589 -5.6590
      3  -6.0110  0.5089    -6.7108 -5.6127
      4  -6.3084  0.3983    -6.8632 -6.0596
      5  -6.1463  0.3530    -6.6027 -5.9408
      6  -5.8889  0.6549    -6.5837 -4.9777
      7  -6.0615  0.6340    -6.7240 -5.4029
      8  -6.1415  0.5192    -6.7110 -5.8953
      9  -6.1593  0.3978    -6.6756 -5.9428
     10  -6.1400  0.3029    -6.5178 -5.9536
     11  -6.1472  0.2371    -6.4955 -5.9747
     12  -6.1512  0.1943    -6.4803 -5.9885
     13  -6.1754  0.1579    -6.4959 -6.1610
     14  -6.1641  0.1191    -6.4405 -6.1579
     15  -6.1724  0.0936    -6.4405 -6.1785
     16  -6.1728  0.0823    -6.4403 -6.1789
     17  -6.1731  0.0748    -6.4401 -6.1794
     18  -6.2139  0.1516    -6.6547 -6.1818
     19  -6.1896  0.1100    -6.5554 -6.1807
     20  -6.1714  0.2879    -6.6836 -5.9571
     21  -6.1533  0.2359    -6.6265 -5.9564
     22  -6.1402  0.1990    -6.5601 -5.9549
     23  -6.1559  0.1719    -6.5662 -5.9865
     24  -6.1461  0.1502    -6.4810 -5.9827
     25  -6.1594  0.1311    -6.4926 -6.0261
     26  -6.1611  0.1218    -6.4875 -6.0366
     27  -6.1619  0.1164    -6.4836 -6.0425
     28  -6.1716  0.1048    -6.4971 -6.1209
     29  -6.2269  0.1592    -6.6807 -6.1753
     30  -6.2415  0.1578    -6.6890 -6.1813
     31  -6.2550  0.1584    -6.6956 -6.1854
     32  -6.2682  0.1601    -6.7009 -6.1885
     33  -6.3562  0.1909    -6.8089 -6.2017
     34  -6.4608  0.2299    -6.9960 -6.2396
     35  -6.6087  0.3225    -7.3117 -6.3334
     36  -6.7767  0.4140    -7.5439 -6.4573
     37  -6.7318  0.3717    -7.4818 -6.4519
     38  -6.6851  0.3469    -7.4092 -6.4232
     39  -6.6480  0.3127    -7.3048 -6.3958
     40  -6.6063  0.2932    -7.2444 -6.3499
     41  -6.5696  0.2725    -7.1954 -6.3183

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1023  0.0585     0.0073  0.1899
      1   0.1021  0.0586     0.0073  0.1899
      2   0.1011  0.0590     0.0064  0.1898
      3   0.1028  0.0587     0.0070  0.1901
      4   0.1039  0.0585     0.0078  0.1903
      5   0.1045  0.0583     0.0082  0.1904
      6   0.0439  0.0362     0.0001  0.1129
      7   0.0441  0.0363     0.0001  0.1128
      8   0.0515  0.0382     0.0002  0.1225
      9   0.0539  0.0376     0.0030  0.1239
     10   0.0584  0.0373     0.0068  0.1275
     11   0.0596  0.0369     0.0088  0.1282
     12   0.0605  0.0366     0.0102  0.1287
     13   0.0661  0.0375     0.0127  0.1350
     14   0.0701  0.0371     0.0161  0.1379
     15   0.0738  0.0369     0.0193  0.1411
     16   0.0741  0.0368     0.0200  0.1413
     17   0.0744  0.0366     0.0209  0.1414
     18   0.0454  0.0232     0.0103  0.0851
     19   0.0489  0.0233     0.0134  0.0883
     20   0.0222  0.0112     0.0026  0.0398
     21   0.0235  0.0111     0.0039  0.0407
     22   0.0246  0.0111     0.0056  0.0414
     23   0.0258  0.0112     0.0071  0.0431
     24   0.0269  0.0112     0.0077  0.0443
     25   0.0281  0.0113     0.0083  0.0456
     26   0.0284  0.0112     0.0086  0.0458
     27   0.0285  0.0111     0.0089  0.0459
     28   0.0296  0.0113     0.0094  0.0470
     29   0.0220  0.0084     0.0069  0.0339
     30   0.0225  0.0086     0.0071  0.0344
     31   0.0229  0.0087     0.0073  0.0352
     32   0.0234  0.0088     0.0074  0.0361
     33   0.0194  0.0073     0.0045  0.0292
     34   0.0156  0.0061     0.0019  0.0237
     35   0.0113  0.0047     0.0008  0.0175
     36   0.0085  0.0032     0.0004  0.0126
     37   0.0089  0.0034     0.0005  0.0130
     38   0.0094  0.0037     0.0005  0.0132
     39   0.0098  0.0038     0.0006  0.0134
     40   0.0102  0.0040     0.0007  0.0136
     41   0.0107  0.0041     0.0007  0.0138

