Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7819  2.0614    -9.1305 -2.6929
      1  -4.0332  1.1096    -5.7945 -2.5028
      2  -4.9599  0.6456    -5.8812 -4.2715
      3  -4.5365  0.4694    -5.1680 -4.1890
      4  -4.8302  0.4470    -5.3364 -4.5742
      5  -4.8020  0.3319    -5.2801 -4.5862
      6  -4.8209  0.2529    -5.2754 -4.7298
      7  -4.8110  0.1980    -5.2490 -4.7365
      8  -4.8167  0.1621    -5.2475 -4.7926
      9  -4.8129  0.1390    -5.2352 -4.7927
     10  -4.8219  0.1190    -5.2387 -4.8015
     11  -4.8237  0.1100    -5.2387 -4.8035
     12  -4.8209  0.1009    -5.2280 -4.8035
     13  -4.8218  0.0977    -5.2282 -4.8043
     14  -4.8206  0.0943    -5.2234 -4.8043
     15  -4.8197  0.0919    -5.2195 -4.8043
     16  -4.8199  0.0912    -5.2194 -4.8045
     17  -4.7978  0.0800    -5.0657 -4.7978
     18  -4.7964  0.0753    -5.0644 -4.7978
     19  -4.7885  0.0591    -5.0569 -4.7972
     20  -4.7929  0.0475    -5.0572 -4.8014
     21  -4.7891  0.0353    -5.0537 -4.8011
     22  -4.7908  0.0279    -5.0538 -4.8027
     23  -4.7911  0.0256    -5.0538 -4.8030
     24  -4.7909  0.0244    -5.0536 -4.8030
     25  -4.7911  0.0232    -5.0536 -4.8032
     26  -4.8036  0.0621    -5.0738 -4.8038
     27  -4.7956  0.0419    -5.0580 -4.8034
     28  -4.7966  0.0447    -5.0590 -4.8035
     29  -4.7960  0.0427    -5.0584 -4.8035
     30  -4.7971  0.0458    -5.0594 -4.8036
     31  -4.7971  0.0457    -5.0594 -4.8036
     32  -4.7965  0.0439    -5.0588 -4.8036
     33  -4.7963  0.0431    -5.0586 -4.8035
     34  -4.7960  0.0422    -5.0583 -4.8035
     35  -4.7956  0.0411    -5.0579 -4.8035
     36  -4.7954  0.0403    -5.0577 -4.8035
     37  -4.7954  0.0405    -5.0578 -4.8035
     38  -4.7949  0.0388    -5.0572 -4.8035
     39  -4.7912  0.0226    -5.0537 -4.8033
     40  -4.7912  0.0222    -5.0536 -4.8033
     41  -4.7910  0.0214    -5.0535 -4.8033

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1035  0.0580     0.0088  0.1901
      1   0.1039  0.0579     0.0088  0.1901
      2   0.1026  0.0584     0.0076  0.1899
      3   0.1028  0.0581     0.0083  0.1899
      4   0.0984  0.0590     0.0055  0.1891
      5   0.1019  0.0574     0.0108  0.1895
      6   0.1078  0.0554     0.0165  0.1904
      7   0.1097  0.0544     0.0201  0.1906
      8   0.1124  0.0532     0.0237  0.1909
      9   0.1133  0.0526     0.0256  0.1910
     10   0.1169  0.0514     0.0291  0.1915
     11   0.1188  0.0506     0.0316  0.1917
     12   0.1196  0.0501     0.0334  0.1918
     13   0.1210  0.0494     0.0355  0.1920
     14   0.1214  0.0492     0.0363  0.1920
     15   0.1217  0.0489     0.0370  0.1920
     16   0.1222  0.0486     0.0380  0.1921
     17   0.0745  0.0372     0.0222  0.1444
     18   0.0749  0.0371     0.0229  0.1446
     19   0.0783  0.0369     0.0257  0.1475
     20   0.0810  0.0369     0.0280  0.1499
     21   0.0844  0.0369     0.0306  0.1529
     22   0.0875  0.0370     0.0331  0.1559
     23   0.0889  0.0368     0.0349  0.1569
     24   0.0890  0.0367     0.0351  0.1569
     25   0.0909  0.0366     0.0366  0.1583
     26   0.0635  0.0253     0.0248  0.1067
     27   0.0659  0.0251     0.0278  0.1088
     28   0.0681  0.0257     0.0286  0.1120
     29   0.0682  0.0256     0.0290  0.1121
     30   0.0704  0.0262     0.0299  0.1153
     31   0.0712  0.0262     0.0306  0.1158
     32   0.0713  0.0261     0.0310  0.1159
     33   0.0714  0.0260     0.0312  0.1159
     34   0.0715  0.0260     0.0314  0.1160
     35   0.0716  0.0259     0.0317  0.1160
     36   0.0717  0.0259     0.0319  0.1160
     37   0.0726  0.0259     0.0329  0.1168
     38   0.0728  0.0258     0.0333  0.1169
     39   0.0749  0.0258     0.0356  0.1192
     40   0.0750  0.0258     0.0356  0.1192
     41   0.0750  0.0257     0.0358  0.1192

