trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1137 640.00  0.00 800.00  2.00  1
  1  790 440.00  0.00 800.00 260.00  0
  2  769 430.00  0.00 800.00 52.00  1
  3  681 380.00  0.00 800.00 156.00  0
  4  716 400.00  0.00 800.00 104.00  1
  5  681 400.00  0.00 800.00 260.00  0
  6  681 370.00  0.00 800.00 104.00  1
  7  681 390.00  0.00 800.00 260.00  0
  8  681 360.00  0.00 800.00 104.00  1
  9  681 400.00  0.00 800.00 260.00  0
 10  681 390.00  0.00 800.00 104.00  1
 11  681 380.00  0.00 800.00 104.00  1
 12  681 380.00  0.00 800.00 260.00  0
 13  681 380.00  0.00 800.00 104.00  1
 14  681 400.00  0.00 800.00 260.00  0
 15  681 400.00  0.00 800.00 260.00  0
 16  681 360.00  0.00 800.00 104.00  1
 17  681 400.00  0.00 800.00 104.00  0
 18  681 390.00  0.00 800.00 260.00  0
 19  699 390.00  0.00 800.00 156.00  0
 20  698 390.00  0.00 800.00 104.00  1
 21  681 380.00  0.00 800.00 156.00  0
 22  716 400.00  0.00 800.00 104.00  1
 23  681 380.00  0.00 800.00 104.00  1
 24  681 390.00  0.00 800.00 260.00  0
 25  681 390.00  0.00 800.00 104.00  1
 26  824 460.00  0.00 800.00 104.00  1
 27  699 390.00  0.00 800.00 156.00  0
 28  699 410.00  0.00 800.00 104.00  1
 29  699 380.00  0.00 800.00 260.00  0
 30  699 410.00  0.00 800.00 104.00  1
 31  699 370.00  0.00 800.00 104.00  1
 32  699 380.00  0.00 800.00 260.00  0
 33  699 410.00  0.00 800.00 260.00  0
 34  699 400.00  0.00 800.00 260.00  0
 35  699 390.00  0.00 800.00 260.00  0
 36  699 400.00  0.00 800.00 260.00  0
 37  699 380.00  0.00 800.00 104.00  1
 38  699 370.00  0.00 800.00 260.00  0
 39  681 380.00  0.00 800.00 156.00  0
 40  681 400.00  0.00 800.00 260.00  0
 41  681 380.00  0.00 800.00 260.00  0
