trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  854 480.00  0.00 800.00 10.80  1
  1  629 350.00  0.00 800.00 520.00  0
  2  626 350.00  0.00 800.00 104.00  1
  3  771 430.00  0.00 800.00 156.00  0
  4  663 370.00  0.00 800.00 156.00  0
  5  716 400.00  0.00 800.00 104.00  0
  6  608 340.00  0.00 800.00 104.00  1
  7  734 410.00  0.00 800.00 104.00  0
  8  608 320.00  0.00 800.00 52.00  1
  9  608 360.00  0.00 800.00 52.00  1
 10  859 480.00  0.00 800.00 52.00  0
 11  608 340.00  0.00 800.00 156.00  1
 12  536 300.00  0.00 800.00 104.00  0
 13 1421 790.00  0.00 800.00 520.00  0
 14  571 320.00  0.00 800.00 52.00  0
 15    0  10.00  0.00 800.00  0.43  1
 16    0  10.00  0.00 800.00  0.71  1
 17    0  20.00  0.00 800.00  0.71  1
 18  481 270.00  0.00 800.00 52.00  1
 19  553 310.00  0.00 800.00 52.00  1
 20  571 320.00  0.00 800.00 52.00  1
 21  842 470.00  0.00 800.00 104.00  0
 22  571 300.00  0.00 800.00 26.00  1
 23  842 460.00  0.00 800.00 156.00  0
 24  607 340.00  0.00 800.00 52.00  1
 25  661 370.00  0.00 800.00 52.00  1
 26  770 430.00  0.00 800.00 104.00  0
 27  788 440.00  0.00 800.00 104.00  0
 28  661 370.00  0.00 800.00 52.00  1
 29  715 400.00  0.00 800.00 52.00  0
 30  967 540.00  0.00 800.00 52.00  0
 31  661 370.00  0.00 800.00 52.00  1
 32  752 420.00  0.00 800.00 104.00  0
 33  661 360.00  0.00 800.00 26.00  1
 34  949 530.00  0.00 800.00 52.00  0
 35  679 380.00  0.00 800.00 52.00  1
 36  697 390.00  0.00 800.00 52.00  1
 37  697 400.00  0.00 800.00 104.00  0
 38  697 380.00  0.00 800.00 26.00  1
 39  679 380.00  0.00 800.00 52.00  1
 40  679 380.00  0.00 800.00 104.00  1
 41  752 420.00  0.00 800.00 104.00  1
