Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7681  2.0679    -9.1289 -2.6722
      1  -7.6220  1.0624    -5.6332 -6.2387
      2  -8.3215  0.7165    -3.2531 -7.5680
      3  -8.6935  0.5693    -1.9445 -8.1535
      4  -8.8857  0.4849    -1.2816 -8.4845
      5  -8.9953  0.4126    -0.9476 -8.7067
      6  -9.0191  0.3261    -0.9232 -8.7390
      7  -9.0333  0.2679    -0.9062 -8.7619
      8  -9.1046  0.2270    -0.6838 -8.9504
      9  -9.1103  0.1905    -0.6788 -8.9546
     10  -9.1146  0.1680    -0.6731 -8.9586
     11  -9.1168  0.1553    -0.6704 -8.9606
     12  -9.1190  0.1475    -0.6665 -8.9630
     13  -9.1365  0.1332    -0.6187 -8.9786
     14  -9.1422  0.1262    -0.6051 -8.9851
     15  -9.1427  0.1244    -0.6042 -8.9858
     16  -9.1434  0.1229    -0.6026 -8.9868
     17  -9.1479  0.1187    -0.5916 -8.9922
     18  -9.1484  0.1180    -0.5905 -8.9929
     19  -9.1496  0.1167    -0.5876 -8.9945
     20  -9.1498  0.1165    -0.5873 -8.9948
     21  -9.1509  0.1155    -0.5846 -8.9962
     22  -9.1543  0.1125    -0.5761 -9.0008
     23  -9.1575  0.1097    -0.5684 -9.0052
     24  -9.1604  0.1071    -0.5615 -9.0097
     25  -9.1610  0.1064    -0.5599 -9.0108
     26  -9.1636  0.1040    -0.5537 -9.0153
     27  -9.1638  0.1039    -0.5534 -9.0156
     28  -9.1662  0.1016    -0.5478 -9.0202
     29  -9.1684  0.0994    -0.5426 -9.0249
     30  -9.1685  0.0993    -0.5426 -9.0250
     31  -9.1706  0.0972    -0.5378 -9.0299
     32  -9.1707  0.0971    -0.5376 -9.0301
     33  -9.1708  0.0970    -0.5374 -9.0303
     34  -9.1727  0.0949    -0.5330 -9.0354
     35  -9.1728  0.0948    -0.5328 -9.0356
     36  -9.1729  0.0947    -0.5327 -9.0358
     37  -9.1803  0.0860    -0.5166 -9.0612
     38  -9.1804  0.0859    -0.5165 -9.0615
     39  -9.1819  0.0840    -0.5133 -9.0683
     40  -9.1819  0.0840    -0.5133 -9.0683
     41  -9.1819  0.0840    -0.5133 -9.0684

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1021  0.0586     0.0072  0.1899
      1   0.1013  0.0589     0.0063  0.1898
      2   0.1032  0.0581     0.0084  0.1900
      3   0.1058  0.0571     0.0108  0.1903
      4   0.1109  0.0558     0.0145  0.1911
      5   0.1173  0.0542     0.0197  0.1921
      6   0.1223  0.0515     0.0283  0.1927
      7   0.1263  0.0493     0.0358  0.1930
      8   0.1294  0.0484     0.0394  0.1935
      9   0.1313  0.0470     0.0441  0.1937
     10   0.1335  0.0456     0.0490  0.1939
     11   0.1347  0.0447     0.0519  0.1940
     12   0.1364  0.0436     0.0555  0.1941
     13   0.1403  0.0425     0.0597  0.1947
     14   0.1435  0.0410     0.0646  0.1951
     15   0.1441  0.0405     0.0662  0.1951
     16   0.1450  0.0399     0.0685  0.1952
     17   0.1476  0.0386     0.0725  0.1955
     18   0.1483  0.0381     0.0742  0.1955
     19   0.1495  0.0374     0.0768  0.1956
     20   0.1498  0.0371     0.0776  0.1956
     21   0.1509  0.0364     0.0797  0.1957
     22   0.1527  0.0355     0.0831  0.1959
     23   0.1545  0.0346     0.0859  0.1961
     24   0.1560  0.0338     0.0888  0.1963
     25   0.1568  0.0333     0.0905  0.1963
     26   0.1581  0.0326     0.0929  0.1965
     27   0.1584  0.0323     0.0936  0.1965
     28   0.1596  0.0316     0.0961  0.1966
     29   0.1608  0.0310     0.0982  0.1967
     30   0.1609  0.0309     0.0985  0.1967
     31   0.1620  0.0303     0.1005  0.1968
     32   0.1622  0.0301     0.1011  0.1968
     33   0.1623  0.0300     0.1016  0.1969
     34   0.1633  0.0294     0.1036  0.1969
     35   0.1635  0.0293     0.1040  0.1970
     36   0.1636  0.0291     0.1044  0.1970
     37   0.1650  0.0285     0.1065  0.1971
     38   0.1651  0.0284     0.1069  0.1971
     39   0.1659  0.0279     0.1086  0.1972
     40   0.1660  0.0279     0.1088  0.1972
     41   0.1660  0.0278     0.1089  0.1972

