Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.4683  1.1584    -6.1245 -5.9522
      1  -6.5669  0.7361    -7.6552 -5.8109
      2  -6.1328  0.5642    -6.8566 -5.6525
      3  -5.8242  0.5792    -6.4186 -5.2017
      4  -5.9143  0.4093    -6.4120 -5.7736
      5  -5.9260  0.3087    -6.3970 -5.8949
      6  -5.9304  0.2447    -6.3880 -5.8984
      7  -5.9320  0.2044    -6.3823 -5.9002
      8  -5.9336  0.1785    -6.3782 -5.9025
      9  -5.9343  0.1625    -6.3750 -5.9041
     10  -5.9343  0.1528    -6.3725 -5.9049
     11  -5.9341  0.1473    -6.3708 -5.9052
     12  -5.9339  0.1430    -6.3690 -5.9057
     13  -5.9339  0.1395    -6.3673 -5.9063
     14  -5.9336  0.1374    -6.3660 -5.9065
     15  -5.9334  0.1354    -6.3647 -5.9066
     16  -5.9331  0.1339    -6.3637 -5.9067
     17  -5.9329  0.1322    -6.3625 -5.9070
     18  -5.9327  0.1309    -6.3616 -5.9071
     19  -5.9326  0.1292    -6.3605 -5.9074
     20  -5.9324  0.1283    -6.3598 -5.9074
     21  -5.9322  0.1273    -6.3590 -5.9075
     22  -5.9321  0.1259    -6.3581 -5.9077
     23  -5.9320  0.1249    -6.3574 -5.9078
     24  -5.9318  0.1240    -6.3567 -5.9078
     25  -5.9316  0.1230    -6.3559 -5.9080
     26  -5.9315  0.1221    -6.3552 -5.9080
     27  -5.9313  0.1213    -6.3546 -5.9081
     28  -5.9312  0.1207    -6.3541 -5.9081
     29  -5.9311  0.1198    -6.3535 -5.9083
     30  -5.9311  0.1189    -6.3528 -5.9084
     31  -5.9309  0.1183    -6.3523 -5.9084
     32  -5.9308  0.1177    -6.3518 -5.9084
     33  -5.9307  0.1171    -6.3513 -5.9085
     34  -5.9306  0.1164    -6.3507 -5.9086
     35  -5.9305  0.1157    -6.3502 -5.9087
     36  -5.9305  0.1154    -6.3499 -5.9087
     37  -5.9304  0.1150    -6.3495 -5.9087
     38  -6.0482  0.3258    -6.7118 -5.8943
     39  -6.3135  0.4463    -7.2245 -5.9606
     40  -6.6492  0.5887    -8.1254 -6.2044
     41  -7.1521  0.7513    -8.9194 -6.4617

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1004  0.0595     0.0038  0.1897
      1   0.0987  0.0600     0.0028  0.1894
      2   0.0987  0.0598     0.0028  0.1893
      3   0.0920  0.0610     0.0006  0.1880
      4   0.1046  0.0585     0.0055  0.1903
      5   0.1081  0.0565     0.0123  0.1906
      6   0.1102  0.0552     0.0168  0.1908
      7   0.1115  0.0544     0.0196  0.1909
      8   0.1130  0.0536     0.0222  0.1911
      9   0.1142  0.0529     0.0242  0.1912
     10   0.1150  0.0525     0.0257  0.1913
     11   0.1153  0.0522     0.0265  0.1913
     12   0.1159  0.0519     0.0277  0.1914
     13   0.1166  0.0516     0.0287  0.1915
     14   0.1168  0.0514     0.0293  0.1915
     15   0.1172  0.0512     0.0299  0.1915
     16   0.1174  0.0510     0.0303  0.1915
     17   0.1178  0.0508     0.0310  0.1916
     18   0.1179  0.0507     0.0314  0.1916
     19   0.1184  0.0505     0.0321  0.1916
     20   0.1185  0.0504     0.0324  0.1916
     21   0.1187  0.0503     0.0327  0.1917
     22   0.1190  0.0501     0.0334  0.1917
     23   0.1192  0.0500     0.0338  0.1917
     24   0.1194  0.0499     0.0342  0.1917
     25   0.1196  0.0498     0.0346  0.1918
     26   0.1198  0.0497     0.0350  0.1918
     27   0.1200  0.0496     0.0353  0.1918
     28   0.1200  0.0495     0.0354  0.1918
     29   0.1203  0.0494     0.0358  0.1918
     30   0.1206  0.0493     0.0363  0.1919
     31   0.1207  0.0492     0.0365  0.1919
     32   0.1208  0.0491     0.0367  0.1919
     33   0.1209  0.0490     0.0370  0.1919
     34   0.1211  0.0489     0.0373  0.1919
     35   0.1214  0.0488     0.0377  0.1919
     36   0.1214  0.0488     0.0378  0.1919
     37   0.1215  0.0487     0.0380  0.1919
     38   0.0350  0.0159     0.0096  0.0611
     39   0.0239  0.0100     0.0067  0.0392
     40   0.0174  0.0070     0.0025  0.0268
     41   0.0124  0.0050     0.0010  0.0189

