Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.3579  1.2229    -6.3630 -2.3961
      1  -2.8330  1.0143    -4.5376 -2.3477
      2  -2.6363  0.9024    -3.3696 -2.3316
      3  -2.7641  0.8900    -3.5719 -2.4596
      4  -3.3612  1.5301    -7.6753 -2.5446
      5  -3.4032  1.4567    -7.5430 -2.6210
      6  -3.1382  1.1202    -5.9477 -2.6200
      7  -2.9869  0.8679    -3.7539 -2.6184
      8  -3.0460  1.2254    -6.3888 -2.4982
      9  -2.8794  0.9229    -3.9063 -2.4933
     10  -3.0066  0.9826    -4.6868 -2.5872
     11  -3.0007  0.8583    -3.8173 -2.6292
     12  -2.9123  0.6471    -3.3445 -2.6298
     13  -2.9311  0.9504    -4.2200 -2.5496
     14  -2.8508  0.7322    -3.3557 -2.5847
     15  -2.7891  0.7622    -3.2885 -2.5222
     16  -2.7170  0.6506    -3.1169 -2.5015
     17  -2.6619  0.5246    -3.0800 -2.4971
     18  -2.6270  0.4015    -3.0422 -2.5051
     19  -2.6006  0.3186    -2.9636 -2.5054
     20  -2.5996  0.2473    -2.9616 -2.5809
     21  -2.5906  0.1876    -2.9115 -2.5817
     22  -2.5814  0.1468    -2.8512 -2.5820
     23  -2.5847  0.1167    -2.8516 -2.5866
     24  -2.5795  0.0914    -2.8468 -2.5868
     25  -2.5707  0.1050    -2.8431 -2.5808
     26  -2.5746  0.0816    -2.8433 -2.5855
     27  -2.5772  0.0640    -2.8434 -2.5885
     28  -2.5763  0.0522    -2.8425 -2.5887
     29  -2.5780  0.0413    -2.8426 -2.5905
     30  -2.5794  0.0347    -2.8428 -2.5917
     31  -2.5787  0.0279    -2.8421 -2.5917
     32  -2.5792  0.0230    -2.8421 -2.5922
     33  -2.5793  0.0201    -2.8421 -2.5924
     34  -2.5790  0.0161    -2.8418 -2.5924
     35  -2.5788  0.0134    -2.8416 -2.5924
     36  -2.5789  0.0111    -2.8416 -2.5925
     37  -2.5788  0.0092    -2.8415 -2.5926
     38  -2.5790  0.0082    -2.8415 -2.5926
     39  -2.5789  0.0137    -2.8416 -2.5924
     40  -2.5788  0.0117    -2.8415 -2.5924
     41  -2.5774  0.0244    -2.8415 -2.5911

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0931  0.0622     0.0001  0.1887
      1   0.0969  0.0612     0.0001  0.1893
      2   0.1017  0.0597     0.0001  0.1900
      3   0.1009  0.0604     0.0001  0.1900
      4   0.0405  0.0393     0.0000  0.1157
      5   0.0426  0.0405     0.0000  0.1202
      6   0.0487  0.0401     0.0000  0.1247
      7   0.0550  0.0399     0.0001  0.1298
      8   0.0333  0.0263     0.0000  0.0797
      9   0.0354  0.0258     0.0001  0.0809
     10   0.0320  0.0232     0.0001  0.0724
     11   0.0356  0.0243     0.0001  0.0774
     12   0.0383  0.0238     0.0022  0.0793
     13   0.0258  0.0172     0.0001  0.0543
     14   0.0278  0.0168     0.0009  0.0553
     15   0.0275  0.0173     0.0007  0.0566
     16   0.0301  0.0181     0.0019  0.0607
     17   0.0327  0.0186     0.0037  0.0639
     18   0.0347  0.0185     0.0062  0.0658
     19   0.0370  0.0188     0.0077  0.0682
     20   0.0389  0.0187     0.0092  0.0697
     21   0.0401  0.0185     0.0105  0.0707
     22   0.0419  0.0186     0.0119  0.0727
     23   0.0435  0.0184     0.0142  0.0740
     24   0.0452  0.0185     0.0152  0.0754
     25   0.0419  0.0173     0.0136  0.0699
     26   0.0433  0.0171     0.0151  0.0711
     27   0.0446  0.0170     0.0164  0.0722
     28   0.0457  0.0169     0.0175  0.0732
     29   0.0468  0.0168     0.0192  0.0741
     30   0.0484  0.0171     0.0209  0.0758
     31   0.0495  0.0171     0.0217  0.0771
     32   0.0506  0.0170     0.0226  0.0782
     33   0.0510  0.0169     0.0231  0.0785
     34   0.0520  0.0169     0.0240  0.0795
     35   0.0529  0.0169     0.0250  0.0804
     36   0.0538  0.0169     0.0262  0.0812
     37   0.0548  0.0169     0.0275  0.0821
     38   0.0558  0.0172     0.0280  0.0836
     39   0.0465  0.0138     0.0225  0.0680
     40   0.0473  0.0138     0.0232  0.0685
     41   0.0396  0.0114     0.0186  0.0564

