Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.4339  0.9960    -4.7317 -2.4184
      1  -3.9506  0.7975    -4.9757 -3.4032
      2  -4.2361  0.7421    -5.3258 -3.8060
      3  -4.4230  0.7642    -5.8540 -4.0712
      4  -4.2773  0.4980    -4.6507 -4.0658
      5  -4.2704  0.9799    -6.7509 -3.6671
      6  -4.4380  1.0397    -7.2524 -3.7676
      7  -4.3067  0.7973    -5.5780 -3.8904
      8  -4.3274  0.6835    -5.0427 -4.0107
      9  -4.3111  0.5456    -4.7725 -4.1198
     10  -4.2661  0.4040    -4.5749 -4.1369
     11  -4.2510  0.3005    -4.5127 -4.1681
     12  -4.2427  0.2272    -4.5111 -4.1859
     13  -4.2490  0.1788    -4.5107 -4.2442
     14  -4.2386  0.1321    -4.5041 -4.2441
     15  -4.2357  0.1000    -4.5028 -4.2442
     16  -4.2353  0.0804    -4.5026 -4.2447
     17  -4.2351  0.0682    -4.5025 -4.2450
     18  -4.2336  0.0570    -4.5013 -4.2450
     19  -4.2337  0.0520    -4.5012 -4.2453
     20  -4.2330  0.0472    -4.5006 -4.2454
     21  -4.2331  0.0454    -4.5006 -4.2455
     22  -4.2332  0.0443    -4.5005 -4.2456
     23  -4.2334  0.0432    -4.5005 -4.2458
     24  -4.2335  0.0426    -4.5005 -4.2459
     25  -4.2336  0.0418    -4.5005 -4.2461
     26  -4.2337  0.0414    -4.5005 -4.2462
     27  -4.2338  0.0408    -4.5005 -4.2463
     28  -4.2336  0.0399    -4.5003 -4.2463
     29  -4.2337  0.0392    -4.5003 -4.2465
     30  -4.2339  0.0386    -4.5002 -4.2466
     31  -4.2336  0.0373    -4.4999 -4.2466
     32  -4.2336  0.0370    -4.4999 -4.2467
     33  -4.2335  0.0364    -4.4998 -4.2467
     34  -4.2336  0.0361    -4.4998 -4.2468
     35  -4.2337  0.0357    -4.4998 -4.2469
     36  -4.2337  0.0354    -4.4998 -4.2469
     37  -4.2338  0.0349    -4.4998 -4.2470
     38  -4.2339  0.0346    -4.4998 -4.2471
     39  -4.2338  0.0340    -4.4997 -4.2471
     40  -4.2336  0.0336    -4.4996 -4.2471
     41  -4.2335  0.0331    -4.4994 -4.2471

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0979  0.0607     0.0001  0.1894
      1   0.0969  0.0609     0.0001  0.1892
      2   0.0958  0.0610     0.0001  0.1890
      3   0.0940  0.0616     0.0001  0.1888
      4   0.1090  0.0579     0.0057  0.1911
      5   0.0470  0.0401     0.0000  0.1224
      6   0.0407  0.0359     0.0000  0.1065
      7   0.0459  0.0353     0.0001  0.1100
      8   0.0523  0.0371     0.0001  0.1191
      9   0.0583  0.0373     0.0016  0.1245
     10   0.0626  0.0362     0.0080  0.1274
     11   0.0641  0.0356     0.0116  0.1281
     12   0.0649  0.0352     0.0140  0.1285
     13   0.0690  0.0353     0.0166  0.1325
     14   0.0727  0.0349     0.0210  0.1355
     15   0.0733  0.0346     0.0222  0.1358
     16   0.0737  0.0344     0.0230  0.1359
     17   0.0738  0.0343     0.0234  0.1360
     18   0.0748  0.0340     0.0249  0.1366
     19   0.0750  0.0340     0.0254  0.1366
     20   0.0756  0.0338     0.0265  0.1370
     21   0.0757  0.0337     0.0268  0.1370
     22   0.0757  0.0337     0.0270  0.1370
     23   0.0759  0.0336     0.0274  0.1371
     24   0.0759  0.0336     0.0276  0.1371
     25   0.0760  0.0335     0.0278  0.1372
     26   0.0761  0.0335     0.0279  0.1372
     27   0.0762  0.0335     0.0281  0.1372
     28   0.0764  0.0334     0.0284  0.1374
     29   0.0765  0.0334     0.0287  0.1374
     30   0.0766  0.0333     0.0289  0.1375
     31   0.0771  0.0332     0.0294  0.1377
     32   0.0771  0.0332     0.0295  0.1377
     33   0.0773  0.0331     0.0299  0.1378
     34   0.0774  0.0331     0.0300  0.1379
     35   0.0775  0.0330     0.0301  0.1379
     36   0.0775  0.0330     0.0302  0.1379
     37   0.0776  0.0330     0.0304  0.1380
     38   0.0777  0.0330     0.0305  0.1380
     39   0.0779  0.0329     0.0309  0.1382
     40   0.0782  0.0328     0.0313  0.1384
     41   0.0785  0.0328     0.0317  0.1386

