Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.9026  1.9917    -9.1425 -2.9281
      1  -4.2918  1.1093    -6.0723 -2.7510
      2  -5.2156  0.6458    -6.1603 -4.5257
      3  -4.7841  0.4776    -5.4108 -4.3525
      4  -4.9542  0.3806    -5.5053 -4.7294
      5  -5.1140  0.3628    -5.6108 -4.9510
      6  -5.0624  0.2495    -5.3406 -4.9444
      7  -5.0781  0.1896    -5.3401 -5.0736
      8  -5.0722  0.1387    -5.3380 -5.0739
      9  -5.0746  0.1080    -5.3375 -5.0771
     10  -5.0566  0.2266    -5.3389 -4.9245
     11  -4.9731  0.3861    -5.3406 -4.8016
     12  -4.9754  0.3033    -5.3373 -4.8132
     13  -4.9591  0.2439    -5.3281 -4.8137
     14  -4.9493  0.2044    -5.3230 -4.8139
     15  -4.9428  0.1794    -5.3200 -4.8139
     16  -4.9516  0.1606    -5.3207 -4.8193
     17  -4.8381  0.2659    -5.2896 -4.7561
     18  -4.8113  0.2213    -5.2434 -4.7431
     19  -4.7719  0.2865    -5.1454 -4.5746
     20  -4.7845  0.2234    -5.1400 -4.6426
     21  -4.7931  0.1771    -5.1390 -4.7335
     22  -4.7935  0.1441    -5.1317 -4.7651
     23  -4.7808  0.1278    -5.0604 -4.7214
     24  -4.7875  0.1038    -5.0606 -4.7919
     25  -4.7838  0.0877    -5.0572 -4.7919
     26  -4.7845  0.0783    -5.0571 -4.7928
     27  -4.7851  0.0720    -5.0570 -4.7935
     28  -4.7810  0.0665    -5.0541 -4.7923
     29  -4.7815  0.0634    -5.0541 -4.7928
     30  -4.7859  0.0521    -5.0543 -4.7972
     31  -4.7841  0.0486    -5.0530 -4.7967
     32  -4.7845  0.0468    -5.0529 -4.7971
     33  -4.7830  0.0464    -5.0522 -4.7964
     34  -4.7833  0.0453    -5.0522 -4.7967
     35  -4.7817  0.0478    -5.0518 -4.7954
     36  -4.7800  0.0512    -5.0515 -4.7939
     37  -4.7804  0.0500    -5.0516 -4.7943
     38  -4.7808  0.0491    -5.0516 -4.7946
     39  -4.7790  0.0530    -5.0514 -4.7929
     40  -4.7840  0.0388    -5.0517 -4.7979
     41  -4.7862  0.0324    -5.0520 -4.7998

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1021  0.0586     0.0072  0.1899
      1   0.1024  0.0584     0.0077  0.1899
      2   0.1010  0.0588     0.0065  0.1897
      3   0.1010  0.0587     0.0069  0.1896
      4   0.1043  0.0576     0.0095  0.1901
      5   0.1036  0.0584     0.0084  0.1903
      6   0.1139  0.0552     0.0166  0.1916
      7   0.1212  0.0524     0.0245  0.1925
      8   0.1224  0.0514     0.0283  0.1926
      9   0.1249  0.0498     0.0335  0.1928
     10   0.0776  0.0440     0.0131  0.1591
     11   0.0455  0.0276     0.0042  0.0936
     12   0.0478  0.0272     0.0077  0.0951
     13   0.0503  0.0269     0.0103  0.0969
     14   0.0522  0.0266     0.0130  0.0986
     15   0.0538  0.0265     0.0149  0.1000
     16   0.0555  0.0263     0.0167  0.1013
     17   0.0326  0.0163     0.0069  0.0594
     18   0.0347  0.0167     0.0079  0.0618
     19   0.0292  0.0146     0.0046  0.0527
     20   0.0310  0.0144     0.0072  0.0539
     21   0.0325  0.0143     0.0084  0.0549
     22   0.0329  0.0141     0.0091  0.0551
     23   0.0343  0.0145     0.0098  0.0575
     24   0.0357  0.0145     0.0112  0.0589
     25   0.0368  0.0144     0.0127  0.0598
     26   0.0370  0.0143     0.0134  0.0599
     27   0.0372  0.0142     0.0140  0.0600
     28   0.0386  0.0145     0.0146  0.0615
     29   0.0387  0.0144     0.0147  0.0616
     30   0.0399  0.0144     0.0156  0.0627
     31   0.0412  0.0146     0.0164  0.0645
     32   0.0413  0.0145     0.0166  0.0645
     33   0.0426  0.0148     0.0175  0.0662
     34   0.0426  0.0147     0.0176  0.0663
     35   0.0438  0.0151     0.0184  0.0678
     36   0.0449  0.0154     0.0192  0.0692
     37   0.0450  0.0153     0.0195  0.0693
     38   0.0451  0.0153     0.0197  0.0693
     39   0.0462  0.0156     0.0206  0.0714
     40   0.0476  0.0156     0.0216  0.0727
     41   0.0406  0.0129     0.0178  0.0606

