trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  509 290.00  0.00 800.00  4.30  1
  1  772 430.00  0.00 800.00 260.00  0
  2  661 370.00  0.00 800.00 52.00  1
  3  663 370.00  0.00 800.00 156.00  1
  4  682 380.00  0.00 800.00 260.00  0
  5  771 430.00  0.00 800.00 156.00  1
  6  771 450.00  0.00 800.00 104.00  0
  7    0  10.00  0.00 800.00  0.43  1
  8  662 370.00  0.00 800.00 104.00  1
  9  736 410.00  0.00 800.00 260.00  0
 10  627 350.00  0.00 800.00 156.00  1
 11  789 440.00  0.00 800.00 156.00  0
 12  627 330.00  0.00 800.00 260.00  0
 13  627 340.00  0.00 800.00 104.00  1
 14  627 360.00  0.00 800.00 260.00  0
 15  627 350.00  0.00 800.00 104.00  1
 16  645 360.00  0.00 800.00 156.00  1
 17  645 340.00  0.00 800.00 104.00  1
 18  645 360.00  0.00 800.00 260.00  0
 19  645 340.00  0.00 800.00 104.00  1
 20  645 370.00  0.00 800.00 260.00  0
 21  645 380.00  0.00 800.00 104.00  1
 22  645 340.00  0.00 800.00 104.00  1
 23  645 350.00  0.00 800.00 104.00  1
 24  645 370.00  0.00 800.00 260.00  0
 25  645 350.00  0.00 800.00 104.00  1
 26  645 340.00  0.00 800.00 104.00  1
 27  645 350.00  0.00 800.00 260.00  0
 28  645 360.00  0.00 800.00 104.00  1
 29  645 360.00  0.00 800.00 104.00  1
 30  645 340.00  0.00 800.00 104.00  1
 31  645 340.00  0.00 800.00 104.00  1
 32  645 370.00  0.00 800.00 104.00  1
 33  645 350.00  0.00 800.00 260.00  0
 34  645 340.00  0.00 800.00 260.00  0
 35  645 360.00  0.00 800.00 104.00  1
 36  645 370.00  0.00 800.00 104.00  1
 37  645 370.00  0.00 800.00 104.00  1
 38  645 370.00  0.00 800.00 260.00  0
 39  645 380.00  0.00 800.00 260.00  0
 40  663 370.00  0.00 800.00 156.00  1
 41  645 340.00  0.00 800.00 104.00  1
