Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.9502  1.4114    -7.9233 -4.9333
      1  -8.0363  0.8750    -4.1999 -7.0412
      2  -8.5346  0.6779    -2.4590 -7.8875
      3  -8.7967  0.5822    -1.5352 -8.3765
      4  -8.9493  0.5193    -1.0217 -8.6613
      5  -8.9833  0.4018    -0.9947 -8.6929
      6  -9.0053  0.3220    -0.9694 -8.7178
      7  -8.8965  0.3398    -1.8686 -8.6711
      8  -8.7823  0.4533    -2.8443 -8.4804
      9  -8.8146  0.3750    -2.7585 -8.5738
     10  -8.8366  0.3156    -2.7016 -8.6616
     11  -8.8438  0.2708    -2.7285 -8.6658
     12  -8.8557  0.2439    -2.6895 -8.6747
     13  -8.8576  0.2273    -2.7159 -8.6765
     14  -8.8654  0.2160    -2.6842 -8.6822
     15  -8.8716  0.2086    -2.6580 -8.6865
     16  -8.8046  0.2154    -3.8348 -8.6687
     17  -8.7448  0.1850    -8.3756 -8.6625
     18  -8.7031  0.1870    -9.1957 -8.5517
     19  -8.7036  0.1761    -9.1919 -8.5644
     20  -8.7036  0.1691    -9.1885 -8.5759
     21  -8.7035  0.1643    -9.1854 -8.5867
     22  -8.6665  0.1660    -9.1508 -8.4860
     23  -8.6927  0.1500    -9.1646 -8.6176
     24  -8.6965  0.1434    -9.1626 -8.6599
     25  -8.6719  0.1441    -9.1272 -8.5418
     26  -8.6727  0.1385    -9.1205 -8.5585
     27  -8.6774  0.1314    -9.1182 -8.6126
     28  -8.6530  0.1372    -9.0696 -8.5011
     29  -8.6743  0.1203    -9.0891 -8.6579
     30  -8.6741  0.1160    -9.0801 -8.6594
     31  -8.6735  0.1135    -9.0729 -8.6598
     32  -8.6558  0.1189    -9.0180 -8.5440
     33  -8.6713  0.1039    -9.0377 -8.6622
     34  -8.6710  0.1003    -9.0261 -8.6632
     35  -8.6704  0.0982    -9.0170 -8.6635
     36  -8.6701  0.0951    -9.0057 -8.6642
     37  -8.6696  0.0933    -8.9971 -8.6645
     38  -8.6599  0.0846    -8.9313 -8.6613
     39  -8.6670  0.0744    -8.9321 -8.6681
     40  -8.6609  0.0660    -8.9277 -8.6665
     41  -8.6559  0.0619    -8.9249 -8.6645

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1012  0.0590     0.0056  0.1898
      1   0.1020  0.0587     0.0066  0.1899
      2   0.1039  0.0578     0.0089  0.1900
      3   0.1078  0.0567     0.0118  0.1906
      4   0.1130  0.0556     0.0153  0.1915
      5   0.1179  0.0530     0.0235  0.1920
      6   0.1225  0.0507     0.0313  0.1925
      7   0.1182  0.0513     0.0281  0.1915
      8   0.0968  0.0513     0.0160  0.1831
      9   0.1038  0.0504     0.0220  0.1854
     10   0.1097  0.0492     0.0280  0.1872
     11   0.1120  0.0480     0.0322  0.1876
     12   0.1166  0.0469     0.0371  0.1888
     13   0.1181  0.0461     0.0401  0.1890
     14   0.1218  0.0452     0.0442  0.1899
     15   0.1250  0.0443     0.0482  0.1907
     16   0.1163  0.0454     0.0407  0.1877
     17   0.1243  0.0447     0.0456  0.1903
     18   0.1189  0.0452     0.0412  0.1882
     19   0.1209  0.0444     0.0442  0.1886
     20   0.1227  0.0436     0.0471  0.1889
     21   0.1243  0.0429     0.0497  0.1892
     22   0.1207  0.0428     0.0471  0.1872
     23   0.1229  0.0426     0.0489  0.1882
     24   0.1261  0.0421     0.0519  0.1892
     25   0.1225  0.0418     0.0496  0.1871
     26   0.1248  0.0411     0.0525  0.1878
     27   0.1277  0.0406     0.0555  0.1888
     28   0.1246  0.0404     0.0537  0.1869
     29   0.1264  0.0401     0.0553  0.1875
     30   0.1283  0.0395     0.0577  0.1881
     31   0.1294  0.0390     0.0596  0.1883
     32   0.1262  0.0386     0.0580  0.1862
     33   0.1280  0.0384     0.0595  0.1869
     34   0.1297  0.0379     0.0621  0.1874
     35   0.1306  0.0375     0.0636  0.1877
     36   0.1321  0.0370     0.0656  0.1881
     37   0.1328  0.0366     0.0671  0.1883
     38   0.1359  0.0358     0.0713  0.1895
     39   0.1378  0.0356     0.0730  0.1902
     40   0.1404  0.0348     0.0769  0.1910
     41   0.1427  0.0341     0.0802  0.1917

