Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.5414  0.9963    -4.8878 -2.4312
      1  -4.0519  0.7481    -5.0060 -3.4226
      2  -4.3360  0.6268    -5.0947 -3.9666
      3  -4.1422  0.5162    -4.6229 -3.8865
      4  -4.2896  0.4908    -4.7358 -4.0837
      5  -4.2890  0.3802    -4.6971 -4.2431
      6  -4.2519  0.2711    -4.5068 -4.2431
      7  -4.2456  0.2010    -4.5057 -4.2443
      8  -4.2460  0.1504    -4.5050 -4.2488
      9  -4.2440  0.1153    -4.5046 -4.2492
     10  -4.2411  0.0830    -4.5035 -4.2493
     11  -4.2407  0.0669    -4.5034 -4.2494
     12  -4.2393  0.0519    -4.5026 -4.2494
     13  -4.2385  0.0427    -4.5020 -4.2494
     14  -4.2386  0.0385    -4.5020 -4.2496
     15  -4.2387  0.0354    -4.5019 -4.2498
     16  -4.2667  0.0955    -4.6637 -4.2516
     17  -4.2666  0.0922    -4.6631 -4.2518
     18  -4.2666  0.0903    -4.6625 -4.2519
     19  -4.2665  0.0891    -4.6620 -4.2520
     20  -4.2638  0.0842    -4.6494 -4.2518
     21  -4.2599  0.0779    -4.6255 -4.2516
     22  -4.2576  0.0742    -4.6083 -4.2515
     23  -4.2570  0.0729    -4.6024 -4.2514
     24  -4.2570  0.0728    -4.6024 -4.2515
     25  -4.2570  0.0728    -4.6024 -4.2515
     26  -4.2571  0.0727    -4.6025 -4.2515
     27  -4.2571  0.0727    -4.6024 -4.2515
     28  -4.2571  0.0726    -4.6025 -4.2516
     29  -4.2559  0.0707    -4.5912 -4.2515
     30  -4.2552  0.0694    -4.5837 -4.2515
     31  -4.2552  0.0694    -4.5837 -4.2515
     32  -4.2553  0.0694    -4.5841 -4.2515
     33  -4.2539  0.0669    -4.5673 -4.2514
     34  -4.2520  0.0634    -4.5398 -4.2513
     35  -4.2520  0.0634    -4.5399 -4.2513
     36  -4.2520  0.0634    -4.5401 -4.2513
     37  -4.2520  0.0634    -4.5403 -4.2513
     38  -4.2521  0.0634    -4.5409 -4.2513
     39  -4.2521  0.0634    -4.5411 -4.2513
     40  -4.2521  0.0634    -4.5411 -4.2513
     41  -4.2518  0.0629    -4.5363 -4.2513

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0991  0.0603     0.0007  0.1896
      1   0.0992  0.0601     0.0015  0.1896
      2   0.1007  0.0599     0.0026  0.1899
      3   0.1060  0.0584     0.0061  0.1907
      4   0.1069  0.0584     0.0057  0.1909
      5   0.1149  0.0556     0.0139  0.1919
      6   0.1236  0.0516     0.0272  0.1928
      7   0.1248  0.0505     0.0315  0.1929
      8   0.1286  0.0483     0.0387  0.1932
      9   0.1292  0.0477     0.0410  0.1933
     10   0.1298  0.0471     0.0430  0.1933
     11   0.1301  0.0468     0.0438  0.1933
     12   0.1307  0.0464     0.0455  0.1934
     13   0.1311  0.0460     0.0467  0.1934
     14   0.1312  0.0459     0.0472  0.1934
     15   0.1315  0.0456     0.0482  0.1934
     16   0.0864  0.0414     0.0265  0.1636
     17   0.0869  0.0412     0.0275  0.1639
     18   0.0874  0.0411     0.0282  0.1641
     19   0.0879  0.0410     0.0288  0.1643
     20   0.0886  0.0407     0.0299  0.1646
     21   0.0897  0.0404     0.0313  0.1651
     22   0.0904  0.0402     0.0324  0.1654
     23   0.0907  0.0401     0.0329  0.1655
     24   0.0909  0.0400     0.0333  0.1656
     25   0.0910  0.0400     0.0336  0.1657
     26   0.0912  0.0399     0.0339  0.1658
     27   0.0913  0.0399     0.0341  0.1658
     28   0.0915  0.0398     0.0345  0.1659
     29   0.0919  0.0397     0.0350  0.1661
     30   0.0921  0.0396     0.0354  0.1662
     31   0.0922  0.0396     0.0355  0.1663
     32   0.0924  0.0395     0.0358  0.1664
     33   0.0929  0.0394     0.0364  0.1666
     34   0.0935  0.0393     0.0371  0.1670
     35   0.0936  0.0392     0.0372  0.1670
     36   0.0937  0.0392     0.0374  0.1670
     37   0.0938  0.0392     0.0375  0.1671
     38   0.0940  0.0391     0.0378  0.1672
     39   0.0941  0.0391     0.0380  0.1672
     40   0.0941  0.0390     0.0381  0.1673
     41   0.0942  0.0390     0.0383  0.1673

