trialNum, leftMoney, leftTime, rightMoney, rightTime
5.0, 800, 520.0, 400, 0
6.0, 800, 520.0, 200, 0
7.0, 800, 520.0, 100, 0
8.0, 800, 520.0, 150, 0
9.0, 800, 520.0, 125, 0
10.0, 800, 520.0, 137, 0
11.0, 800, 2.0, 400, 0
12.0, 800, 2.0, 600, 0
13.0, 800, 2.0, 700, 0
14.0, 800, 2.0, 750, 0
15.0, 800, 2.0, 725, 0
16.0, 800, 2.0, 712, 0
17.0, 800, 1.0, 400, 0
18.0, 800, 1.0, 600, 0
19.0, 800, 1.0, 700, 0
20.0, 800, 1.0, 750, 0
21.0, 800, 1.0, 775, 0
22.0, 800, 1.0, 762, 0
23.0, 400, 0.0, 800, 26
24.0, 600, 0.0, 800, 26
25.0, 500, 0.0, 800, 26
26.0, 450, 0.0, 800, 26
27.0, 425, 0.0, 800, 26
28.0, 412, 0.0, 800, 26
29.0, 800, 52.0, 400, 0
30.0, 800, 52.0, 200, 0
31.0, 800, 52.0, 100, 0
32.0, 800, 52.0, 50, 0
33.0, 800, 52.0, 75, 0
34.0, 800, 52.0, 87, 0
35.0, 400, 0.0, 800, 156
36.0, 200, 0.0, 800, 156
37.0, 300, 0.0, 800, 156
38.0, 350, 0.0, 800, 156
39.0, 375, 0.0, 800, 156
40.0, 387, 0.0, 800, 156
41.0, 400, 0.0, 800, 4
42.0, 600, 0.0, 800, 4
43.0, 500, 0.0, 800, 4
44.0, 450, 0.0, 800, 4
45.0, 425, 0.0, 800, 4
46.0, 437, 0.0, 800, 4
