trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  520 290.00  0.00 800.00 260.00  1
  1  935 520.00  0.00 800.00 520.00  0
  2  790 440.00  0.00 800.00 260.00  0
  3  682 380.00  0.00 800.00 260.00  1
  4  808 450.00  0.00 800.00 260.00  0
  5  682 400.00  0.00 800.00 520.00  0
  6  682 390.00  0.00 800.00 520.00  0
  7  682 360.00  0.00 800.00 156.00  0
  8  733 410.00  0.00 800.00 52.00  1
  9  590 330.00  0.00 800.00 104.00  0
 10    0  10.00  0.00 800.00  0.43  1
 11    0  10.00  0.00 800.00  0.71  1
 12  607 340.00  0.00 800.00 52.00  0
 13    0  10.00  0.00 800.00  0.71  1
 14    0  20.00  0.00 800.00  0.71  1
 15  643 360.00  0.00 800.00 52.00  1
 16  679 380.00  0.00 800.00 52.00  1
 17  661 370.00  0.00 800.00 52.00  1
 18  734 410.00  0.00 800.00 104.00  0
 19  661 380.00  0.00 800.00 104.00  1
 20  932 520.00  0.00 800.00 104.00  1
 21    0  10.00  0.00 800.00  0.43  1
 22    0  10.00  0.00 800.00  0.71  1
 23  789 440.00  0.00 800.00 156.00  0
 24  644 360.00  0.00 800.00 104.00  1
 25  843 470.00  0.00 800.00 156.00  0
 26  878 490.00  0.00 800.00 104.00  1
 27  572 320.00  0.00 800.00 104.00  1
 28  897 500.00  0.00 800.00 156.00  0
 29  536 300.00  0.00 800.00 104.00  1
 30  933 520.00  0.00 800.00 156.00  1
 31  933 540.00  0.00 800.00 260.00  0
 32  897 500.00  0.00 800.00 156.00  0
 33  483 270.00  0.00 800.00 156.00  1
 34  951 530.00  0.00 800.00 156.00  0
 35  447 250.00  0.00 800.00 156.00  1
 36  987 550.00  0.00 800.00 156.00  0
 37  536 300.00  0.00 800.00 104.00  1
 38 1005 560.00  0.00 800.00 156.00  0
 39  536 300.00  0.00 800.00 52.00  1
 40  393 220.00  0.00 800.00 156.00  1
 41 1023 570.00  0.00 800.00 156.00  0
