trialNum, leftMoney, leftTime, rightMoney, rightTime
5.0, 800, 26.0, 400, 0
6.0, 800, 26.0, 600, 0
7.0, 800, 26.0, 700, 0
8.0, 800, 26.0, 650, 0
9.0, 800, 26.0, 675, 0
10.0, 800, 26.0, 687, 0
11.0, 800, 1.0, 400, 0
12.0, 800, 1.0, 600, 0
13.0, 800, 1.0, 700, 0
14.0, 800, 1.0, 650, 0
15.0, 800, 1.0, 675, 0
16.0, 800, 1.0, 687, 0
17.0, 400, 0.0, 800, 520
18.0, 200, 0.0, 800, 520
19.0, 300, 0.0, 800, 520
20.0, 350, 0.0, 800, 520
21.0, 375, 0.0, 800, 520
22.0, 387, 0.0, 800, 520
23.0, 800, 2.0, 400, 0
24.0, 800, 2.0, 600, 0
25.0, 800, 2.0, 700, 0
26.0, 800, 2.0, 750, 0
27.0, 800, 2.0, 725, 0
28.0, 800, 2.0, 712, 0
29.0, 400, 0.0, 800, 156
30.0, 600, 0.0, 800, 156
31.0, 700, 0.0, 800, 156
32.0, 650, 0.0, 800, 156
33.0, 625, 0.0, 800, 156
34.0, 637, 0.0, 800, 156
35.0, 400, 0.0, 800, 4
36.0, 600, 0.0, 800, 4
37.0, 700, 0.0, 800, 4
38.0, 650, 0.0, 800, 4
39.0, 675, 0.0, 800, 4
40.0, 662, 0.0, 800, 4
41.0, 400, 0.0, 800, 52
42.0, 600, 0.0, 800, 52
43.0, 700, 0.0, 800, 52
44.0, 650, 0.0, 800, 52
45.0, 625, 0.0, 800, 52
46.0, 637, 0.0, 800, 52
