Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7578  2.0719    -9.1276 -2.6629
      1  -4.0012  1.1146    -5.7778 -2.4834
      2  -4.9456  0.6580    -5.8733 -4.2635
      3  -4.5188  0.4842    -5.0971 -4.1341
      4  -4.2462  0.4987    -4.7585 -3.8607
      5  -4.2891  0.3655    -4.7483 -4.2377
      6  -4.2864  0.2800    -4.7348 -4.2433
      7  -4.2662  0.2052    -4.6795 -4.2436
      8  -4.2666  0.9488    -6.3693 -3.4462
      9  -4.2252  0.7507    -5.1861 -3.7012
     10  -4.1444  0.6046    -4.7643 -3.7130
     11  -4.1496  0.4795    -4.7266 -3.8410
     12  -4.0593  0.4763    -4.5587 -3.7552
     13  -4.0008  0.4113    -4.4779 -3.7360
     14  -4.0132  0.3255    -4.4738 -3.8346
     15  -4.0141  0.2582    -4.4689 -3.9153
     16  -4.0166  0.2121    -4.4664 -3.9640
     17  -4.0085  0.1769    -4.4551 -3.9642
     18  -4.0117  0.1557    -4.4548 -3.9684
     19  -4.0084  0.1413    -4.4494 -3.9684
     20  -3.9792  0.1129    -4.3746 -3.9661
     21  -3.9818  0.1036    -4.3751 -3.9689
     22  -3.9836  0.0976    -4.3754 -3.9708
     23  -3.9827  0.0942    -4.3705 -3.9708
     24  -3.9812  0.0908    -4.3617 -3.9708
     25  -3.9820  0.0886    -4.3617 -3.9717
     26  -3.9812  0.0868    -4.3562 -3.9717
     27  -3.9819  0.0854    -4.3563 -3.9724
     28  -3.9809  0.0838    -4.3502 -3.9724
     29  -3.9801  0.0824    -4.3444 -3.9724
     30  -3.9811  0.0812    -4.3458 -3.9732
     31  -3.9805  0.0802    -4.3414 -3.9732
     32  -3.9679  0.0586    -4.2328 -3.9723
     33  -3.9690  0.0567    -4.2329 -3.9732
     34  -3.9693  0.0558    -4.2329 -3.9735
     35  -3.9695  0.0551    -4.2329 -3.9737
     36  -3.9700  0.0544    -4.2331 -3.9741
     37  -3.9701  0.0540    -4.2330 -3.9742
     38  -3.9699  0.0535    -4.2328 -3.9742
     39  -3.9698  0.0530    -4.2327 -3.9742
     40  -3.9698  0.0527    -4.2326 -3.9743
     41  -3.9696  0.0522    -4.2324 -3.9743

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1017  0.0587     0.0068  0.1898
      1   0.1019  0.0588     0.0067  0.1899
      2   0.1015  0.0591     0.0057  0.1899
      3   0.1021  0.0590     0.0062  0.1900
      4   0.0960  0.0603     0.0036  0.1889
      5   0.1073  0.0574     0.0095  0.1907
      6   0.1106  0.0556     0.0154  0.1910
      7   0.1146  0.0534     0.0222  0.1914
      8   0.0215  0.0177     0.0000  0.0525
      9   0.0241  0.0177     0.0001  0.0545
     10   0.0267  0.0179     0.0005  0.0574
     11   0.0291  0.0179     0.0020  0.0597
     12   0.0298  0.0187     0.0020  0.0618
     13   0.0325  0.0197     0.0030  0.0665
     14   0.0350  0.0198     0.0053  0.0687
     15   0.0365  0.0196     0.0075  0.0699
     16   0.0380  0.0195     0.0087  0.0714
     17   0.0388  0.0193     0.0097  0.0719
     18   0.0400  0.0193     0.0109  0.0730
     19   0.0404  0.0191     0.0117  0.0732
     20   0.0432  0.0199     0.0136  0.0770
     21   0.0442  0.0198     0.0145  0.0780
     22   0.0451  0.0197     0.0153  0.0788
     23   0.0453  0.0197     0.0155  0.0789
     24   0.0456  0.0196     0.0159  0.0791
     25   0.0461  0.0195     0.0165  0.0795
     26   0.0463  0.0195     0.0167  0.0796
     27   0.0467  0.0194     0.0173  0.0799
     28   0.0469  0.0194     0.0176  0.0800
     29   0.0471  0.0193     0.0179  0.0801
     30   0.0477  0.0193     0.0186  0.0807
     31   0.0478  0.0192     0.0189  0.0807
     32   0.0500  0.0196     0.0208  0.0832
     33   0.0510  0.0197     0.0214  0.0843
     34   0.0514  0.0196     0.0217  0.0846
     35   0.0518  0.0196     0.0221  0.0850
     36   0.0526  0.0196     0.0227  0.0858
     37   0.0529  0.0195     0.0230  0.0861
     38   0.0530  0.0195     0.0231  0.0861
     39   0.0530  0.0195     0.0232  0.0862
     40   0.0534  0.0195     0.0235  0.0864
     41   0.0534  0.0194     0.0236  0.0864

