Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7566  2.0723    -9.1275 -2.6619
      1  -4.0156  1.1224    -5.7978 -2.4845
      2  -3.1965  0.7243    -4.2126 -2.4009
      3  -3.5985  0.5460    -4.3038 -3.1494
      4  -3.3132  0.4617    -3.8577 -3.0321
      5  -3.1516  0.4435    -3.5844 -2.8956
      6  -3.0346  0.8121    -3.7143 -2.4902
      7  -2.9109  0.7643    -3.4471 -2.4323
      8  -2.8392  1.0330    -4.7186 -2.3524
      9  -2.7263  0.7768    -3.3702 -2.3508
     10  -2.6322  0.7508    -3.1942 -2.3370
     11  -2.5688  0.5726    -3.0907 -2.3358
     12  -2.5044  0.6205    -3.0052 -2.3254
     13  -2.4592  0.4758    -2.8787 -2.3245
     14  -2.4302  0.3691    -2.8429 -2.3237
     15  -2.5460  0.6133    -3.0582 -2.3311
     16  -2.5237  0.4864    -3.0358 -2.3326
     17  -2.5214  0.4001    -3.0328 -2.3355
     18  -2.4732  0.5153    -2.9365 -2.3249
     19  -2.4421  0.3967    -2.8528 -2.3242
     20  -2.4219  0.3111    -2.8421 -2.3236
     21  -2.4074  0.2502    -2.8330 -2.3230
     22  -2.3965  0.2070    -2.8251 -2.3224
     23  -2.3915  0.1761    -2.8216 -2.3222
     24  -2.3968  0.1638    -2.8246 -2.3229
     25  -2.4047  0.1580    -2.8284 -2.3238
     26  -2.4478  0.1726    -2.8446 -2.3296
     27  -2.4736  0.1697    -2.8506 -2.3350
     28  -2.4962  0.1638    -2.8550 -2.3419
     29  -2.5066  0.1577    -2.8699 -2.3462
     30  -2.4581  0.1574    -2.8414 -2.3324
     31  -2.4129  0.1504    -2.8271 -2.3251
     32  -2.3873  0.1381    -2.8139 -2.3223
     33  -2.3680  0.1250    -2.7990 -2.3206
     34  -2.3555  0.1137    -2.7842 -2.3196
     35  -2.3507  0.1077    -2.7765 -2.3193
     36  -2.3397  0.0962    -2.7525 -2.3185
     37  -2.3245  0.0765    -2.6801 -2.3176
     38  -2.3204  0.0690    -2.6399 -2.3173
     39  -2.3168  0.0618    -2.5855 -2.3171
     40  -2.3374  0.0946    -2.7456 -2.3184
     41  -2.3328  0.0880    -2.7287 -2.3181

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1017  0.0587     0.0068  0.1898
      1   0.1016  0.0588     0.0067  0.1898
      2   0.1021  0.0585     0.0076  0.1899
      3   0.1024  0.0586     0.0076  0.1900
      4   0.1026  0.0584     0.0081  0.1900
      5   0.1029  0.0591     0.0078  0.1903
      6   0.0416  0.0348     0.0001  0.1088
      7   0.0404  0.0337     0.0006  0.1057
      8   0.0207  0.0152     0.0001  0.0466
      9   0.0216  0.0150     0.0004  0.0471
     10   0.0207  0.0136     0.0005  0.0432
     11   0.0219  0.0135     0.0014  0.0445
     12   0.0193  0.0111     0.0011  0.0369
     13   0.0204  0.0110     0.0018  0.0381
     14   0.0215  0.0111     0.0027  0.0391
     15   0.0158  0.0084     0.0008  0.0276
     16   0.0167  0.0084     0.0013  0.0289
     17   0.0177  0.0085     0.0018  0.0304
     18   0.0146  0.0068     0.0010  0.0241
     19   0.0152  0.0067     0.0014  0.0246
     20   0.0158  0.0066     0.0018  0.0251
     21   0.0164  0.0066     0.0022  0.0256
     22   0.0169  0.0066     0.0027  0.0260
     23   0.0172  0.0065     0.0032  0.0262
     24   0.0178  0.0065     0.0039  0.0266
     25   0.0183  0.0066     0.0049  0.0270
     26   0.0180  0.0066     0.0043  0.0268
     27   0.0187  0.0068     0.0051  0.0274
     28   0.0194  0.0070     0.0063  0.0287
     29   0.0200  0.0070     0.0071  0.0295
     30   0.0191  0.0065     0.0068  0.0274
     31   0.0185  0.0063     0.0061  0.0268
     32   0.0189  0.0064     0.0070  0.0271
     33   0.0194  0.0065     0.0072  0.0274
     34   0.0199  0.0065     0.0073  0.0280
     35   0.0203  0.0065     0.0075  0.0287
     36   0.0208  0.0066     0.0077  0.0297
     37   0.0211  0.0067     0.0078  0.0303
     38   0.0215  0.0067     0.0080  0.0309
     39   0.0220  0.0068     0.0082  0.0315
     40   0.0181  0.0054     0.0072  0.0254
     41   0.0185  0.0054     0.0073  0.0257

