Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.0996  1.1291    -5.6333 -2.3708
      1  -2.8003  1.1798    -5.7631 -2.3346
      2  -2.6834  1.2277    -5.9207 -2.3195
      3  -2.5155  0.9505    -3.4490 -2.3178
      4  -2.5761  1.0870    -4.8516 -2.3178
      5  -2.4471  0.8015    -2.5783 -2.3171
      6  -2.3777  0.5827    -2.5717 -2.3168
      7  -2.3417  0.4222    -2.5684 -2.3166
      8  -2.3230  0.3061    -2.5668 -2.3165
      9  -2.3133  0.2223    -2.5660 -2.3164
     10  -2.3082  0.1614    -2.5655 -2.3164
     11  -2.3056  0.1176    -2.5653 -2.3164
     12  -2.3239  0.3132    -2.5668 -2.3165
     13  -2.3139  0.2278    -2.5660 -2.3164
     14  -2.3086  0.1660    -2.5656 -2.3164
     15  -2.3058  0.1214    -2.5653 -2.3164
     16  -2.3042  0.0849    -2.5652 -2.3164
     17  -2.3035  0.0629    -2.5652 -2.3164
     18  -2.3030  0.0439    -2.5651 -2.3164
     19  -2.3028  0.0327    -2.5651 -2.3164
     20  -2.3027  0.0239    -2.5651 -2.3164
     21  -2.3033  0.0564    -2.5651 -2.3164
     22  -2.3030  0.0413    -2.5651 -2.3164
     23  -2.3028  0.0303    -2.5651 -2.3164
     24  -2.3027  0.0221    -2.5651 -2.3164
     25  -2.3032  0.0515    -2.5651 -2.3164
     26  -2.3060  0.1240    -2.5654 -2.3164
     27  -2.3044  0.0899    -2.5652 -2.3164
     28  -2.3035  0.0656    -2.5652 -2.3164
     29  -2.3031  0.0479    -2.5651 -2.3164
     30  -2.3054  0.1119    -2.5653 -2.3164
     31  -2.3041  0.0809    -2.5652 -2.3164
     32  -2.3112  0.1958    -2.5658 -2.3164
     33  -2.3072  0.1433    -2.5655 -2.3164
     34  -2.3050  0.1038    -2.5653 -2.3164
     35  -2.3039  0.0756    -2.5652 -2.3164
     36  -2.3033  0.0563    -2.5651 -2.3164
     37  -2.3030  0.0421    -2.5651 -2.3164
     38  -2.3049  0.1013    -2.5653 -2.3164
     39  -2.3039  0.0749    -2.5652 -2.3164
     40  -2.3100  0.1806    -2.5657 -2.3164
     41  -2.3065  0.1313    -2.5654 -2.3164

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0945  0.0625     0.0001  0.1891
      1   0.0945  0.0622     0.0001  0.1889
      2   0.0970  0.0624     0.0000  0.1896
      3   0.1089  0.0585     0.0001  0.1911
      4   0.1007  0.0587     0.0001  0.1886
      5   0.1075  0.0552     0.0074  0.1894
      6   0.1128  0.0523     0.0228  0.1900
      7   0.1173  0.0499     0.0316  0.1906
      8   0.1214  0.0480     0.0382  0.1912
      9   0.1253  0.0464     0.0438  0.1918
     10   0.1287  0.0449     0.0489  0.1923
     11   0.1318  0.0436     0.0532  0.1927
     12   0.0929  0.0408     0.0304  0.1661
     13   0.0958  0.0402     0.0343  0.1678
     14   0.0988  0.0397     0.0374  0.1697
     15   0.1018  0.0393     0.0407  0.1715
     16   0.1020  0.0391     0.0412  0.1715
     17   0.1047  0.0388     0.0438  0.1732
     18   0.1048  0.0387     0.0440  0.1732
     19   0.1074  0.0384     0.0468  0.1748
     20   0.1099  0.0381     0.0494  0.1763
     21   0.0838  0.0307     0.0363  0.1370
     22   0.0858  0.0306     0.0383  0.1389
     23   0.0878  0.0305     0.0404  0.1408
     24   0.0897  0.0305     0.0424  0.1426
     25   0.0705  0.0238     0.0321  0.1097
     26   0.0550  0.0189     0.0232  0.0852
     27   0.0561  0.0187     0.0245  0.0861
     28   0.0572  0.0186     0.0260  0.0870
     29   0.0583  0.0185     0.0277  0.0879
     30   0.0471  0.0153     0.0209  0.0708
     31   0.0479  0.0152     0.0217  0.0715
     32   0.0384  0.0128     0.0153  0.0576
     33   0.0392  0.0126     0.0161  0.0582
     34   0.0399  0.0125     0.0170  0.0588
     35   0.0406  0.0124     0.0179  0.0593
     36   0.0413  0.0123     0.0190  0.0598
     37   0.0419  0.0122     0.0202  0.0603
     38   0.0347  0.0105     0.0151  0.0497
     39   0.0353  0.0104     0.0156  0.0503
     40   0.0290  0.0090     0.0111  0.0411
     41   0.0295  0.0089     0.0121  0.0413

