trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  415 240.00  0.00 800.00  0.71  1
  1  647 360.00  0.00 800.00 520.00  0
  2  769 430.00  0.00 800.00 52.00  0
  3  714 400.00  0.00 800.00 26.00  0
  4  765 430.00  0.00 800.00 12.90  0
  5  728 410.00  0.00 800.00 10.80  1
  6  676 380.00  0.00 800.00 17.20  0
  7  728 400.00  0.00 800.00 12.90  0
  8  728 420.00  0.00 800.00  8.60  1
  9  728 400.00  0.00 800.00  8.60  1
 10  728 390.00  0.00 800.00  8.60  1
 11  728 410.00  0.00 800.00  8.60  1
 12  728 390.00  0.00 800.00  8.60  1
 13  728 430.00  0.00 800.00  8.60  1
 14  728 420.00  0.00 800.00  8.60  1
 15  728 390.00  0.00 800.00 12.90  1
 16  675 380.00  0.00 800.00 12.90  1
 17  765 430.00  0.00 800.00 12.90  1
 18  783 440.00  0.00 800.00 12.90  1
 19  694 390.00  0.00 800.00 17.20  1
 20  749 420.00  0.00 800.00 21.50  1
 21  786 440.00  0.00 800.00 26.00  0
 22  821 460.00  0.00 800.00 21.50  0
 23  785 440.00  0.00 800.00 21.50  0
 24  785 460.00  0.00 800.00 26.00  0
 25  767 430.00  0.00 800.00 21.50  0
 26  767 410.00  0.00 800.00 26.00  0
 27  838 470.00  0.00 800.00 17.20  1
 28  767 430.00  0.00 800.00 26.00  0
 29  767 430.00  0.00 800.00 17.20  0
 30  785 440.00  0.00 800.00 21.50  0
 31  785 450.00  0.00 800.00 26.00  0
 32  767 430.00  0.00 800.00 21.50  1
 33  767 450.00  0.00 800.00 17.20  0
 34  785 440.00  0.00 800.00 21.50  1
 35  767 450.00  0.00 800.00 17.20  0
 36  785 430.00  0.00 800.00 26.00  0
 37  767 410.00  0.00 800.00 26.00  0
 38  785 460.00  0.00 800.00 26.00  0
 39  785 430.00  0.00 800.00 17.20  0
 40  532 300.00  0.00 800.00 17.20  1
 41  785 460.00  0.00 800.00 26.00  0
