Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7566  2.0723    -9.1275 -2.6619
      1  -4.0157  1.1226    -5.7980 -2.4845
      2  -4.9604  0.6647    -5.8873 -4.2648
      3  -4.5321  0.4860    -5.1836 -4.1425
      4  -4.3619  0.4110    -4.8318 -4.0394
      5  -4.2121  0.3978    -4.6794 -3.8933
      6  -4.2622  0.2733    -4.6815 -4.2385
      7  -4.2641  0.2060    -4.6737 -4.2429
      8  -4.2637  0.1643    -4.6688 -4.2449
      9  -4.2562  0.1296    -4.6355 -4.2450
     10  -4.2563  0.1125    -4.6338 -4.2458
     11  -4.2539  0.0993    -4.6195 -4.2459
     12  -4.2518  0.0909    -4.6040 -4.2459
     13  -4.2508  0.0863    -4.5944 -4.2459
     14  -4.2490  0.0819    -4.5751 -4.2459
     15  -4.2488  0.0805    -4.5713 -4.2460
     16  -4.2482  0.0790    -4.5640 -4.2460
     17  -4.2479  0.0781    -4.5595 -4.2460
     18  -4.2478  0.0775    -4.5567 -4.2461
     19  -4.2487  0.0756    -4.5576 -4.2468
     20  -4.2476  0.0735    -4.5405 -4.2468
     21  -4.2474  0.0732    -4.5381 -4.2468
     22  -4.2473  0.0729    -4.5358 -4.2468
     23  -4.2478  0.0720    -4.5363 -4.2473
     24  -4.2476  0.0716    -4.5329 -4.2473
     25  -4.2479  0.0711    -4.5333 -4.2475
     26  -4.2474  0.0701    -4.5241 -4.2475
     27  -4.2472  0.0698    -4.5210 -4.2475
     28  -4.2469  0.0693    -4.5160 -4.2475
     29  -4.2474  0.0685    -4.5167 -4.2479
     30  -4.2466  0.0670    -4.5125 -4.2479
     31  -4.2472  0.0660    -4.5125 -4.2484
     32  -4.2476  0.0652    -4.5126 -4.2488
     33  -4.2475  0.0650    -4.5125 -4.2488
     34  -4.2478  0.0646    -4.5125 -4.2490
     35  -4.2481  0.0640    -4.5125 -4.2493
     36  -4.2483  0.0635    -4.5126 -4.2495
     37  -4.2486  0.0631    -4.5126 -4.2497
     38  -4.2485  0.0630    -4.5125 -4.2497
     39  -4.2481  0.0623    -4.5121 -4.2497
     40  -4.2478  0.0616    -4.5118 -4.2497
     41  -4.2479  0.0615    -4.5118 -4.2497

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1017  0.0587     0.0068  0.1898
      1   0.1016  0.0588     0.0066  0.1898
      2   0.1010  0.0591     0.0057  0.1897
      3   0.1011  0.0588     0.0063  0.1897
      4   0.1036  0.0582     0.0078  0.1901
      5   0.1012  0.0586     0.0069  0.1897
      6   0.1122  0.0551     0.0160  0.1912
      7   0.1146  0.0535     0.0218  0.1914
      8   0.1160  0.0526     0.0250  0.1915
      9   0.1182  0.0513     0.0293  0.1917
     10   0.1187  0.0509     0.0307  0.1918
     11   0.1197  0.0503     0.0328  0.1919
     12   0.1206  0.0497     0.0348  0.1920
     13   0.1212  0.0494     0.0360  0.1920
     14   0.1221  0.0489     0.0375  0.1921
     15   0.1223  0.0487     0.0381  0.1921
     16   0.1227  0.0485     0.0389  0.1922
     17   0.1230  0.0483     0.0395  0.1922
     18   0.1231  0.0482     0.0399  0.1922
     19   0.1236  0.0479     0.0410  0.1922
     20   0.1241  0.0476     0.0420  0.1923
     21   0.1243  0.0475     0.0422  0.1923
     22   0.1244  0.0474     0.0425  0.1923
     23   0.1246  0.0472     0.0430  0.1923
     24   0.1248  0.0471     0.0434  0.1924
     25   0.1249  0.0470     0.0437  0.1924
     26   0.1252  0.0468     0.0442  0.1924
     27   0.1254  0.0468     0.0445  0.1924
     28   0.1255  0.0467     0.0449  0.1924
     29   0.1258  0.0465     0.0454  0.1924
     30   0.1262  0.0463     0.0461  0.1925
     31   0.1265  0.0461     0.0468  0.1925
     32   0.1268  0.0459     0.0474  0.1925
     33   0.1268  0.0459     0.0476  0.1925
     34   0.1270  0.0458     0.0480  0.1926
     35   0.1272  0.0456     0.0485  0.1926
     36   0.1275  0.0455     0.0489  0.1926
     37   0.1276  0.0454     0.0493  0.1926
     38   0.1277  0.0453     0.0494  0.1926
     39   0.1279  0.0452     0.0497  0.1926
     40   0.1281  0.0451     0.0500  0.1927
     41   0.1282  0.0451     0.0502  0.1927

