Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.2859  1.2954    -6.3344 -2.5101
      1  -3.2396  0.8326    -4.2536 -2.4021
      2  -3.6344  0.6611    -4.4144 -3.1478
      3  -3.9201  0.5998    -4.6190 -3.6119
      4  -4.0981  0.6189    -4.9891 -3.8496
      5  -3.9891  0.4026    -4.3257 -3.8391
      6  -3.9946  0.3162    -4.2875 -3.9685
      7  -3.9776  0.2177    -4.2356 -3.9688
      8  -3.9707  0.1607    -4.2340 -3.9690
      9  -3.9596  0.1166    -4.2258 -3.9689
     10  -3.9629  0.0845    -4.2256 -3.9727
     11  -3.9618  0.0643    -4.2253 -3.9728
     12  -3.9619  0.0511    -4.2252 -3.9731
     13  -3.9620  0.0420    -4.2251 -3.9734
     14  -3.9617  0.0359    -4.2249 -3.9734
     15  -3.9618  0.0322    -4.2249 -3.9736
     16  -3.9617  0.0301    -4.2248 -3.9736
     17  -3.9616  0.0286    -4.2247 -3.9736
     18  -3.9621  0.0249    -4.2247 -3.9741
     19  -3.9621  0.0242    -4.2247 -3.9742
     20  -3.9621  0.0237    -4.2246 -3.9742
     21  -3.9620  0.0231    -4.2246 -3.9742
     22  -3.9620  0.0227    -4.2245 -3.9742
     23  -3.9619  0.0223    -4.2245 -3.9742
     24  -3.9619  0.0220    -4.2245 -3.9742
     25  -3.9619  0.0217    -4.2244 -3.9742
     26  -3.9768  0.0664    -4.2818 -3.9750
     27  -3.9767  0.0660    -4.2792 -3.9750
     28  -3.9761  0.0649    -4.2716 -3.9749
     29  -3.9758  0.0642    -4.2661 -3.9749
     30  -3.9758  0.0639    -4.2652 -3.9750
     31  -3.9756  0.0636    -4.2623 -3.9749
     32  -3.9756  0.0634    -4.2616 -3.9750
     33  -3.9753  0.0628    -4.2565 -3.9750
     34  -3.9752  0.0626    -4.2558 -3.9750
     35  -3.9749  0.0618    -4.2492 -3.9750
     36  -3.9746  0.0613    -4.2444 -3.9749
     37  -3.9746  0.0612    -4.2439 -3.9750
     38  -3.9746  0.0612    -4.2436 -3.9750
     39  -3.9746  0.0611    -4.2431 -3.9750
     40  -3.9744  0.0608    -4.2407 -3.9750
     41  -3.9744  0.0608    -4.2404 -3.9750

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0999  0.0597     0.0040  0.1897
      1   0.1002  0.0595     0.0041  0.1897
      2   0.1006  0.0595     0.0044  0.1898
      3   0.1001  0.0598     0.0040  0.1897
      4   0.0987  0.0608     0.0032  0.1897
      5   0.1116  0.0568     0.0106  0.1915
      6   0.1196  0.0538     0.0189  0.1924
      7   0.1213  0.0524     0.0245  0.1925
      8   0.1221  0.0516     0.0274  0.1926
      9   0.1279  0.0488     0.0364  0.1932
     10   0.1317  0.0466     0.0445  0.1935
     11   0.1320  0.0463     0.0455  0.1936
     12   0.1323  0.0460     0.0466  0.1936
     13   0.1327  0.0455     0.0481  0.1936
     14   0.1328  0.0454     0.0486  0.1936
     15   0.1331  0.0452     0.0494  0.1936
     16   0.1332  0.0451     0.0495  0.1936
     17   0.1332  0.0450     0.0497  0.1936
     18   0.1361  0.0437     0.0545  0.1940
     19   0.1362  0.0435     0.0550  0.1940
     20   0.1363  0.0435     0.0551  0.1940
     21   0.1363  0.0435     0.0553  0.1940
     22   0.1364  0.0433     0.0556  0.1940
     23   0.1365  0.0433     0.0557  0.1940
     24   0.1365  0.0433     0.0558  0.1940
     25   0.1365  0.0432     0.0559  0.1940
     26   0.0968  0.0424     0.0322  0.1727
     27   0.0969  0.0423     0.0323  0.1727
     28   0.0971  0.0422     0.0328  0.1728
     29   0.0972  0.0422     0.0331  0.1728
     30   0.0976  0.0420     0.0338  0.1730
     31   0.0976  0.0420     0.0340  0.1730
     32   0.0979  0.0419     0.0345  0.1731
     33   0.0980  0.0418     0.0347  0.1731
     34   0.0983  0.0417     0.0351  0.1733
     35   0.0984  0.0417     0.0354  0.1733
     36   0.0985  0.0416     0.0356  0.1733
     37   0.0987  0.0415     0.0358  0.1734
     38   0.0988  0.0415     0.0360  0.1734
     39   0.0989  0.0414     0.0362  0.1735
     40   0.0990  0.0414     0.0363  0.1735
     41   0.0990  0.0414     0.0365  0.1735

