Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7668  2.0684    -9.1287 -2.6708
      1  -4.0237  1.1212    -5.7994 -2.4888
      2  -3.0682  0.6955    -3.9461 -2.3879
      3  -3.4664  0.5554    -4.1090 -3.1323
      4  -3.7634  0.5768    -4.4790 -3.4586
      5  -3.7628  0.4736    -4.3729 -3.5465
      6  -3.6878  0.3096    -3.9579 -3.5341
      7  -3.7072  0.9690    -5.7941 -3.1635
      8  -3.5791  0.8462    -4.7011 -3.1456
      9  -3.5407  0.6667    -4.1331 -3.2536
     10  -3.4704  0.5292    -3.9009 -3.2506
     11  -3.4594  0.4075    -3.8736 -3.4027
     12  -3.6175  0.6772    -4.2242 -3.4090
     13  -3.5559  0.5086    -3.9595 -3.4105
     14  -3.4906  0.4623    -3.9254 -3.3736
     15  -3.6366  0.6736    -4.1891 -3.4081
     16  -3.5791  0.5121    -3.9588 -3.4101
     17  -3.5171  0.4921    -3.9407 -3.3437
     18  -3.6314  0.6298    -4.1057 -3.4087
     19  -3.6034  0.4883    -3.9736 -3.4188
     20  -3.6506  0.4647    -4.0422 -3.4362
     21  -3.6161  0.6296    -4.1189 -3.4112
     22  -3.5668  0.4780    -3.9558 -3.4129
     23  -3.5363  0.3703    -3.9433 -3.4139
     24  -3.6017  0.4040    -3.9562 -3.4249
     25  -3.5516  0.4495    -3.9490 -3.4117
     26  -3.5412  0.3538    -3.9445 -3.4180
     27  -3.5055  0.3099    -3.9302 -3.4153
     28  -3.5362  0.2990    -3.9393 -3.4224
     29  -3.4969  0.2754    -3.9239 -3.4182
     30  -3.4723  0.2317    -3.9067 -3.4171
     31  -3.4506  0.1952    -3.8799 -3.4161
     32  -3.4462  0.1598    -3.8739 -3.4166
     33  -3.4435  0.1374    -3.8690 -3.4170
     34  -3.4253  0.1175    -3.8031 -3.4155
     35  -3.4199  0.1011    -3.7575 -3.4157
     36  -3.4142  0.0870    -3.6834 -3.4157
     37  -3.4110  0.0763    -3.6798 -3.4159
     38  -3.4137  0.0682    -3.6802 -3.4181
     39  -3.4107  0.0595    -3.6770 -3.4181
     40  -3.4126  0.0546    -3.6774 -3.4195
     41  -3.4207  0.0690    -3.7021 -3.4205

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1020  0.0586     0.0071  0.1899
      1   0.1021  0.0585     0.0073  0.1899
      2   0.1031  0.0583     0.0081  0.1900
      3   0.1022  0.0588     0.0069  0.1900
      4   0.0961  0.0603     0.0036  0.1890
      5   0.1032  0.0585     0.0071  0.1901
      6   0.1145  0.0546     0.0173  0.1915
      7   0.0362  0.0320     0.0001  0.0966
      8   0.0425  0.0346     0.0001  0.1079
      9   0.0477  0.0349     0.0008  0.1129
     10   0.0535  0.0356     0.0037  0.1192
     11   0.0578  0.0354     0.0078  0.1228
     12   0.0334  0.0211     0.0005  0.0686
     13   0.0353  0.0205     0.0031  0.0697
     14   0.0376  0.0213     0.0043  0.0735
     15   0.0268  0.0160     0.0003  0.0526
     16   0.0285  0.0156     0.0024  0.0535
     17   0.0287  0.0152     0.0027  0.0531
     18   0.0241  0.0136     0.0007  0.0456
     19   0.0255  0.0133     0.0024  0.0465
     20   0.0264  0.0140     0.0027  0.0483
     21   0.0212  0.0113     0.0006  0.0383
     22   0.0223  0.0109     0.0021  0.0389
     23   0.0233  0.0107     0.0035  0.0395
     24   0.0222  0.0104     0.0028  0.0380
     25   0.0208  0.0097     0.0021  0.0344
     26   0.0216  0.0095     0.0033  0.0352
     27   0.0226  0.0096     0.0043  0.0367
     28   0.0228  0.0096     0.0047  0.0369
     29   0.0234  0.0097     0.0054  0.0378
     30   0.0245  0.0098     0.0070  0.0390
     31   0.0255  0.0099     0.0075  0.0400
     32   0.0258  0.0097     0.0078  0.0401
     33   0.0261  0.0096     0.0082  0.0402
     34   0.0269  0.0098     0.0085  0.0410
     35   0.0277  0.0098     0.0090  0.0415
     36   0.0285  0.0099     0.0096  0.0427
     37   0.0292  0.0098     0.0103  0.0436
     38   0.0299  0.0098     0.0113  0.0442
     39   0.0306  0.0098     0.0123  0.0450
     40   0.0312  0.0097     0.0138  0.0456
     41   0.0299  0.0092     0.0125  0.0431

