Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.8084  2.0511    -9.1337 -2.7166
      1  -4.1909  1.1706    -6.0635 -2.5318
      2  -3.2293  0.7268    -4.2180 -2.4146
      3  -2.7979  0.5640    -3.4059 -2.3641
      4  -3.0448  0.4814    -3.5640 -2.8142
      5  -2.8934  0.4547    -3.3108 -2.6850
      6  -2.9026  0.3513    -3.3024 -2.8622
      7  -2.8679  0.2568    -3.1249 -2.8615
      8  -2.8562  0.2373    -3.1198 -2.8576
      9  -2.8538  0.1739    -3.1193 -2.8604
     10  -2.8497  0.1313    -3.1180 -2.8603
     11  -2.8507  0.0973    -3.1180 -2.8626
     12  -2.7811  0.2875    -3.1148 -2.6155
     13  -2.8116  0.2300    -3.1169 -2.6468
     14  -2.8466  0.1759    -3.1188 -2.8184
     15  -2.8455  0.1335    -3.1185 -2.8494
     16  -2.8454  0.1043    -3.1183 -2.8564
     17  -2.8485  0.0806    -3.1184 -2.8605
     18  -2.8507  0.0631    -3.1184 -2.8632
     19  -2.8482  0.0590    -3.1177 -2.8615
     20  -2.8362  0.0835    -3.1169 -2.7723
     21  -2.8305  0.0867    -3.1165 -2.7312
     22  -2.8335  0.0790    -3.1166 -2.7528
     23  -2.8374  0.0707    -3.1168 -2.7910
     24  -2.8259  0.0870    -3.1161 -2.7085
     25  -2.8084  0.1049    -3.1149 -2.6602
     26  -2.7975  0.1130    -3.1141 -2.6450
     27  -2.8424  0.0590    -3.1170 -2.8562
     28  -2.8450  0.0527    -3.1172 -2.8589
     29  -2.8425  0.0583    -3.1170 -2.8563
     30  -2.8441  0.0545    -3.1171 -2.8580
     31  -2.8415  0.0602    -3.1170 -2.8553
     32  -2.8440  0.0546    -3.1171 -2.8579
     33  -2.8241  0.0874    -3.1159 -2.7016
     34  -2.8293  0.0806    -3.1163 -2.7260
     35  -2.8231  0.0886    -3.1159 -2.6978
     36  -2.8262  0.0847    -3.1161 -2.7106
     37  -2.8250  0.0862    -3.1160 -2.7054
     38  -2.8073  0.1046    -3.1148 -2.6586
     39  -2.8456  0.0506    -3.1172 -2.8596
     40  -2.8435  0.0558    -3.1171 -2.8574
     41  -2.8220  0.0898    -3.1158 -2.6939

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1028  0.0584     0.0075  0.1900
      1   0.1039  0.0580     0.0085  0.1901
      2   0.1057  0.0576     0.0096  0.1904
      3   0.1085  0.0567     0.0122  0.1908
      4   0.1064  0.0570     0.0112  0.1904
      5   0.1073  0.0564     0.0126  0.1904
      6   0.1155  0.0540     0.0195  0.1917
      7   0.1232  0.0509     0.0294  0.1926
      8   0.1258  0.0504     0.0315  0.1931
      9   0.1275  0.0491     0.0368  0.1933
     10   0.1315  0.0472     0.0429  0.1937
     11   0.1328  0.0462     0.0465  0.1938
     12   0.0732  0.0386     0.0171  0.1447
     13   0.0780  0.0390     0.0211  0.1500
     14   0.0839  0.0395     0.0248  0.1562
     15   0.0847  0.0391     0.0267  0.1566
     16   0.0854  0.0388     0.0281  0.1569
     17   0.0869  0.0384     0.0300  0.1577
     18   0.0880  0.0381     0.0317  0.1583
     19   0.0920  0.0388     0.0342  0.1631
     20   0.0839  0.0361     0.0307  0.1501
     21   0.0870  0.0369     0.0323  0.1546
     22   0.0878  0.0367     0.0337  0.1551
     23   0.0888  0.0365     0.0350  0.1557
     24   0.0891  0.0368     0.0351  0.1567
     25   0.0887  0.0370     0.0350  0.1571
     26   0.0909  0.0376     0.0359  0.1604
     27   0.0978  0.0382     0.0395  0.1664
     28   0.0986  0.0379     0.0408  0.1667
     29   0.1018  0.0385     0.0423  0.1702
     30   0.1023  0.0383     0.0431  0.1704
     31   0.1054  0.0388     0.0445  0.1734
     32   0.1061  0.0385     0.0457  0.1736
     33   0.0964  0.0367     0.0413  0.1626
     34   0.0975  0.0365     0.0424  0.1632
     35   0.0998  0.0371     0.0433  0.1661
     36   0.1004  0.0369     0.0441  0.1665
     37   0.1018  0.0369     0.0452  0.1675
     38   0.1006  0.0373     0.0442  0.1676
     39   0.1076  0.0368     0.0493  0.1718
     40   0.1103  0.0372     0.0504  0.1745
     41   0.1004  0.0363     0.0443  0.1644

