Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7596  2.0712    -9.1279 -2.6644
      1  -4.1482  1.1808    -6.0555 -2.4996
      2  -5.0901  0.6895    -6.1455 -4.2828
      3  -5.6449  0.4822    -6.3391 -5.2769
      4  -5.9550  0.5011    -6.7029 -5.6759
      5  -5.8700  0.3265    -6.1820 -5.6750
      6  -5.9019  0.2470    -6.1706 -5.8978
      7  -5.9056  0.1957    -6.1695 -5.9013
      8  -5.9063  0.1637    -6.1688 -5.9027
      9  -5.9070  0.1423    -6.1681 -5.9042
     10  -5.9071  0.1284    -6.1677 -5.9052
     11  -5.9069  0.1194    -6.1673 -5.9057
     12  -5.9066  0.1139    -6.1670 -5.9059
     13  -5.9064  0.1087    -6.1667 -5.9064
     14  -5.9062  0.1044    -6.1665 -5.9067
     15  -5.9059  0.1016    -6.1663 -5.9068
     16  -5.9057  0.0983    -6.1661 -5.9071
     17  -5.9054  0.0958    -6.1659 -5.9072
     18  -5.9052  0.0938    -6.1658 -5.9072
     19  -5.9049  0.0916    -6.1657 -5.9073
     20  -5.9047  0.0896    -6.1655 -5.9074
     21  -5.9045  0.0880    -6.1654 -5.9074
     22  -5.9043  0.0864    -6.1653 -5.9074
     23  -5.9041  0.0845    -6.1652 -5.9075
     24  -5.9040  0.0824    -6.1651 -5.9076
     25  -5.9039  0.0809    -6.1650 -5.9077
     26  -5.9037  0.0793    -6.1649 -5.9077
     27  -5.9036  0.0776    -6.1648 -5.9078
     28  -5.9035  0.0760    -6.1647 -5.9079
     29  -5.9034  0.0750    -6.1647 -5.9079
     30  -5.9033  0.0738    -6.1646 -5.9079
     31  -5.9032  0.0726    -6.1645 -5.9080
     32  -5.9030  0.0714    -6.1645 -5.9080
     33  -5.9030  0.0701    -6.1644 -5.9081
     34  -5.9029  0.0691    -6.1643 -5.9081
     35  -5.9028  0.0683    -6.1643 -5.9081
     36  -5.9027  0.0674    -6.1643 -5.9081
     37  -5.9026  0.0665    -6.1642 -5.9081
     38  -5.9026  0.0658    -6.1642 -5.9081
     39  -5.9025  0.0650    -6.1641 -5.9081
     40  -5.9024  0.0643    -6.1641 -5.9081
     41  -5.9024  0.0638    -6.1641 -5.9081

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1021  0.0586     0.0074  0.1899
      1   0.1023  0.0584     0.0079  0.1899
      2   0.1020  0.0585     0.0074  0.1898
      3   0.1009  0.0589     0.0062  0.1897
      4   0.0951  0.0606     0.0033  0.1888
      5   0.1082  0.0577     0.0092  0.1909
      6   0.1176  0.0544     0.0171  0.1921
      7   0.1200  0.0527     0.0231  0.1923
      8   0.1211  0.0518     0.0265  0.1924
      9   0.1224  0.0509     0.0297  0.1925
     10   0.1233  0.0502     0.0322  0.1926
     11   0.1240  0.0498     0.0341  0.1926
     12   0.1243  0.0495     0.0349  0.1926
     13   0.1249  0.0491     0.0364  0.1927
     14   0.1254  0.0487     0.0376  0.1927
     15   0.1256  0.0486     0.0383  0.1927
     16   0.1260  0.0483     0.0393  0.1928
     17   0.1263  0.0481     0.0400  0.1928
     18   0.1264  0.0480     0.0405  0.1928
     19   0.1266  0.0478     0.0410  0.1928
     20   0.1268  0.0477     0.0416  0.1928
     21   0.1269  0.0476     0.0418  0.1928
     22   0.1270  0.0475     0.0421  0.1928
     23   0.1272  0.0473     0.0426  0.1929
     24   0.1275  0.0471     0.0432  0.1929
     25   0.1276  0.0470     0.0436  0.1929
     26   0.1278  0.0469     0.0440  0.1929
     27   0.1280  0.0468     0.0445  0.1929
     28   0.1283  0.0466     0.0450  0.1930
     29   0.1283  0.0466     0.0452  0.1930
     30   0.1284  0.0465     0.0455  0.1930
     31   0.1286  0.0464     0.0458  0.1930
     32   0.1287  0.0463     0.0462  0.1930
     33   0.1289  0.0462     0.0466  0.1930
     34   0.1290  0.0461     0.0469  0.1930
     35   0.1290  0.0460     0.0471  0.1930
     36   0.1291  0.0460     0.0473  0.1930
     37   0.1292  0.0459     0.0476  0.1930
     38   0.1293  0.0458     0.0478  0.1930
     39   0.1294  0.0458     0.0480  0.1930
     40   0.1294  0.0457     0.0482  0.1930
     41   0.1295  0.0457     0.0483  0.1930

