trialNum, leftMoney, leftTime, rightMoney, rightTime
5.0, 800, 1.0, 400, 0
6.0, 800, 1.0, 600, 0
7.0, 800, 1.0, 700, 0
8.0, 800, 1.0, 750, 0
9.0, 800, 1.0, 775, 0
10.0, 800, 1.0, 787, 0
11.0, 400, 0.0, 800, 156
12.0, 200, 0.0, 800, 156
13.0, 100, 0.0, 800, 156
14.0, 50, 0.0, 800, 156
15.0, 25, 0.0, 800, 156
16.0, 37, 0.0, 800, 156
17.0, 800, 26.0, 400, 0
18.0, 800, 26.0, 600, 0
19.0, 800, 26.0, 700, 0
20.0, 800, 26.0, 650, 0
21.0, 800, 26.0, 625, 0
22.0, 800, 26.0, 612, 0
23.0, 400, 0.0, 800, 2
24.0, 600, 0.0, 800, 2
25.0, 700, 0.0, 800, 2
26.0, 750, 0.0, 800, 2
27.0, 775, 0.0, 800, 2
28.0, 787, 0.0, 800, 2
29.0, 400, 0.0, 800, 520
30.0, 200, 0.0, 800, 520
31.0, 100, 0.0, 800, 520
32.0, 50, 0.0, 800, 520
33.0, 25, 0.0, 800, 520
34.0, 37, 0.0, 800, 520
35.0, 800, 4.0, 400, 0
36.0, 800, 4.0, 600, 0
37.0, 800, 4.0, 700, 0
38.0, 800, 4.0, 750, 0
39.0, 800, 4.0, 725, 0
40.0, 800, 4.0, 712, 0
41.0, 400, 0.0, 800, 52
42.0, 200, 0.0, 800, 52
43.0, 100, 0.0, 800, 52
44.0, 50, 0.0, 800, 52
45.0, 75, 0.0, 800, 52
46.0, 87, 0.0, 800, 52
