trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  823 460.00  0.00 800.00 52.00  0
  1  714 400.00  0.00 800.00 26.00  0
  2  765 430.00  0.00 800.00 12.90  0
  3  675 380.00  0.00 800.00 12.90  1
  4  676 380.00  0.00 800.00 17.20  1
  5  765 430.00  0.00 800.00 12.90  0
  6 1419 790.00  0.00 800.00 156.00  0
  7  694 390.00  0.00 800.00 17.20  0
  8  712 400.00  0.00 800.00 17.20  0
  9  621 350.00  0.00 800.00 12.90  1
 10  694 390.00  0.00 800.00 17.20  1
 11  839 470.00  0.00 800.00 21.50  0
 12  676 380.00  0.00 800.00 17.20  1
 13  747 420.00  0.00 800.00 12.90  0
 14 1419 790.00  0.00 800.00 156.00  0
 15  856 480.00  0.00 800.00 17.20  0
 16  694 390.00  0.00 800.00 17.20  1
 17  549 310.00  0.00 800.00 12.90  1
 18  747 420.00  0.00 800.00 12.90  0
 19  712 400.00  0.00 800.00 17.20  0
 20  531 300.00  0.00 800.00 12.90  1
 21  712 420.00  0.00 800.00 21.50  0
 22  801 450.00  0.00 800.00 12.90  0
 23  730 410.00  0.00 800.00 17.20  0
 24  712 400.00  0.00 800.00 17.20  0
 25  638 360.00  0.00 800.00 10.80  1
 26  730 410.00  0.00 800.00 17.20  1
 27  694 390.00  0.00 800.00 17.20  1
 28  658 370.00  0.00 800.00 17.20  1
 29  640 360.00  0.00 800.00 17.20  1
 30  622 350.00  0.00 800.00 17.20  1
 31  604 340.00  0.00 800.00 17.20  1
 32  604 330.00  0.00 800.00 21.50  1
 33  586 330.00  0.00 800.00 17.20  1
 34  586 330.00  0.00 800.00 12.90  1
 35  604 340.00  0.00 800.00 17.20  1
 36  693 390.00  0.00 800.00 12.90  1
 37  693 400.00  0.00 800.00 10.80  1
 38  693 410.00  0.00 800.00 17.20  1
 39  767 430.00  0.00 800.00 21.50  0
 40  767 430.00  0.00 800.00 17.20  0
 41  604 340.00  0.00 800.00 17.20  1
