Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7565  2.0723    -9.1275 -2.6618
      1  -7.5054  1.1134    -6.0442 -6.0010
      2  -6.5915  0.6857    -7.6317 -5.9108
      3  -6.1330  0.5103    -6.7412 -5.7176
      4  -5.9741  0.4503    -6.4469 -5.6406
      5  -5.8145  0.4683    -6.3248 -5.3680
      6  -5.9039  0.2568    -6.3336 -5.8955
      7  -5.9134  0.1882    -6.3287 -5.8994
      8  -5.9168  0.1520    -6.3255 -5.9015
      9  -5.9187  0.1305    -6.3232 -5.9031
     10  -5.9193  0.1186    -6.3215 -5.9039
     11  -5.9197  0.1117    -6.3202 -5.9045
     12  -5.9203  0.1067    -6.3190 -5.9053
     13  -5.9204  0.1041    -6.3180 -5.9056
     14  -5.9205  0.1022    -6.3172 -5.9059
     15  -5.9206  0.1006    -6.3163 -5.9063
     16  -5.9207  0.0995    -6.3156 -5.9065
     17  -5.9206  0.0987    -6.3150 -5.9066
     18  -5.9206  0.0979    -6.3144 -5.9068
     19  -5.9208  0.0969    -6.3137 -5.9071
     20  -5.9208  0.0963    -6.3132 -5.9072
     21  -5.9207  0.0958    -6.3127 -5.9073
     22  -5.9208  0.0951    -6.3122 -5.9074
     23  -5.9207  0.0947    -6.3117 -5.9075
     24  -5.9209  0.0938    -6.3112 -5.9078
     25  -5.9210  0.0932    -6.3107 -5.9079
     26  -5.9209  0.0928    -6.3104 -5.9080
     27  -5.9209  0.0924    -6.3100 -5.9081
     28  -5.9209  0.0919    -6.3095 -5.9082
     29  -5.9209  0.0917    -6.3092 -5.9082
     30  -5.9209  0.0914    -6.3090 -5.9082
     31  -5.9208  0.0911    -6.3086 -5.9083
     32  -5.9208  0.0907    -6.3082 -5.9084
     33  -5.9208  0.0905    -6.3080 -5.9084
     34  -5.9208  0.0903    -6.3077 -5.9084
     35  -5.9208  0.0898    -6.3074 -5.9086
     36  -5.9208  0.0895    -6.3070 -5.9086
     37  -5.9208  0.0894    -6.3068 -5.9086
     38  -5.9208  0.0892    -6.3066 -5.9087
     39  -5.9208  0.0890    -6.3063 -5.9087
     40  -5.9207  0.0888    -6.3061 -5.9087
     41  -5.9208  0.0885    -6.3058 -5.9088

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1017  0.0587     0.0068  0.1898
      1   0.1019  0.0587     0.0069  0.1899
      2   0.1004  0.0593     0.0056  0.1897
      3   0.1013  0.0594     0.0052  0.1899
      4   0.1032  0.0586     0.0064  0.1901
      5   0.1001  0.0592     0.0053  0.1895
      6   0.1122  0.0551     0.0157  0.1912
      7   0.1142  0.0538     0.0210  0.1914
      8   0.1154  0.0530     0.0239  0.1915
      9   0.1164  0.0522     0.0264  0.1916
     10   0.1170  0.0518     0.0279  0.1916
     11   0.1175  0.0515     0.0289  0.1917
     12   0.1182  0.0511     0.0303  0.1917
     13   0.1185  0.0509     0.0310  0.1917
     14   0.1188  0.0507     0.0317  0.1918
     15   0.1192  0.0504     0.0325  0.1918
     16   0.1194  0.0503     0.0331  0.1918
     17   0.1196  0.0501     0.0336  0.1918
     18   0.1198  0.0500     0.0341  0.1919
     19   0.1202  0.0498     0.0349  0.1919
     20   0.1204  0.0497     0.0352  0.1919
     21   0.1205  0.0496     0.0355  0.1919
     22   0.1207  0.0494     0.0359  0.1919
     23   0.1209  0.0493     0.0363  0.1920
     24   0.1213  0.0491     0.0369  0.1920
     25   0.1215  0.0490     0.0373  0.1920
     26   0.1216  0.0489     0.0376  0.1920
     27   0.1218  0.0488     0.0379  0.1920
     28   0.1220  0.0487     0.0383  0.1921
     29   0.1221  0.0486     0.0385  0.1921
     30   0.1221  0.0486     0.0387  0.1921
     31   0.1223  0.0485     0.0390  0.1921
     32   0.1225  0.0484     0.0394  0.1921
     33   0.1225  0.0483     0.0395  0.1921
     34   0.1226  0.0483     0.0397  0.1921
     35   0.1229  0.0481     0.0402  0.1921
     36   0.1230  0.0481     0.0405  0.1922
     37   0.1231  0.0480     0.0407  0.1922
     38   0.1231  0.0480     0.0408  0.1922
     39   0.1232  0.0479     0.0411  0.1922
     40   0.1233  0.0479     0.0412  0.1922
     41   0.1235  0.0477     0.0416  0.1922

