Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.6004  1.1041    -5.6515 -6.2102
      1  -6.6977  0.7195    -7.7274 -5.9923
      2  -6.2526  0.6161    -6.9526 -5.6638
      3  -6.0645  0.6030    -6.6466 -5.3551
      4  -5.7121  0.9144    -6.7202 -3.9125
      5  -5.2041  1.2637    -7.7306 -3.0042
      6  -5.4285  0.9949    -7.1577 -3.7708
      7  -5.4087  0.8447    -6.4877 -4.0612
      8  -5.0293  1.0601    -6.9401 -3.3498
      9  -4.9827  0.9232    -6.2758 -3.4808
     10  -4.5730  1.1310    -6.6296 -2.9080
     11  -4.5022  0.9978    -5.9605 -2.9373
     12  -4.7071  0.8262    -5.9200 -3.5167
     13  -4.3888  0.9595    -5.8380 -3.0807
     14  -4.3368  0.8438    -5.5850 -3.1153
     15  -4.4884  0.7241    -5.5991 -3.5104
     16  -4.6075  0.6332    -5.6253 -3.8049
     17  -4.7307  0.5786    -5.7227 -4.0276
     18  -4.5789  0.5635    -5.5195 -3.9099
     19  -4.4953  0.5173    -5.3378 -3.8449
     20  -4.5526  0.4625    -5.3653 -3.9982
     21  -4.4858  0.4277    -5.2690 -3.9706
     22  -4.5037  0.3955    -5.2699 -4.0091
     23  -4.5893  0.3715    -5.3160 -4.1429
     24  -4.5477  0.3458    -5.2533 -4.1152
     25  -4.5842  0.3245    -5.2709 -4.2356
     26  -4.7278  0.3626    -5.4610 -4.2931
     27  -4.7600  0.3438    -5.4850 -4.3428
     28  -4.7204  0.3216    -5.3782 -4.3242
     29  -4.6630  0.3051    -5.3032 -4.2917
     30  -4.6370  0.2906    -5.2671 -4.2819
     31  -4.6614  0.2769    -5.2768 -4.3190
     32  -4.6832  0.2654    -5.2852 -4.3621
     33  -4.7907  0.2901    -5.4213 -4.4661
     34  -4.9012  0.3200    -5.5724 -4.5378
     35  -4.8571  0.3065    -5.5209 -4.5211
     36  -4.8394  0.2950    -5.4869 -4.5166
     37  -4.8665  0.2850    -5.5066 -4.5397
     38  -4.8417  0.2745    -5.4548 -4.5316
     39  -4.8643  0.2659    -5.4730 -4.5531
     40  -4.8828  0.2585    -5.4865 -4.5740
     41  -4.9756  0.2794    -5.5879 -4.6293

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1004  0.0596     0.0033  0.1897
      1   0.0980  0.0605     0.0015  0.1894
      2   0.0956  0.0611     0.0001  0.1890
      3   0.0943  0.0617     0.0001  0.1889
      4   0.0435  0.0431     0.0000  0.1315
      5   0.0125  0.0128     0.0000  0.0344
      6   0.0156  0.0139     0.0000  0.0394
      7   0.0169  0.0137     0.0001  0.0403
      8   0.0099  0.0073     0.0000  0.0203
      9   0.0106  0.0070     0.0001  0.0205
     10   0.0075  0.0045     0.0000  0.0129
     11   0.0081  0.0041     0.0001  0.0131
     12   0.0087  0.0045     0.0001  0.0137
     13   0.0074  0.0035     0.0001  0.0117
     14   0.0077  0.0032     0.0001  0.0118
     15   0.0081  0.0034     0.0002  0.0124
     16   0.0084  0.0036     0.0003  0.0129
     17   0.0087  0.0037     0.0004  0.0131
     18   0.0088  0.0038     0.0004  0.0133
     19   0.0092  0.0040     0.0005  0.0136
     20   0.0096  0.0042     0.0005  0.0139
     21   0.0100  0.0044     0.0006  0.0154
     22   0.0103  0.0045     0.0006  0.0160
     23   0.0106  0.0046     0.0007  0.0165
     24   0.0110  0.0048     0.0007  0.0174
     25   0.0115  0.0049     0.0008  0.0181
     26   0.0094  0.0038     0.0006  0.0134
     27   0.0098  0.0039     0.0006  0.0136
     28   0.0102  0.0040     0.0007  0.0137
     29   0.0105  0.0042     0.0007  0.0140
     30   0.0109  0.0043     0.0008  0.0150
     31   0.0113  0.0043     0.0009  0.0159
     32   0.0117  0.0043     0.0009  0.0166
     33   0.0098  0.0037     0.0007  0.0134
     34   0.0083  0.0028     0.0005  0.0122
     35   0.0085  0.0030     0.0005  0.0124
     36   0.0087  0.0031     0.0005  0.0126
     37   0.0090  0.0032     0.0006  0.0128
     38   0.0092  0.0034     0.0006  0.0130
     39   0.0095  0.0035     0.0006  0.0131
     40   0.0098  0.0036     0.0007  0.0132
     41   0.0083  0.0028     0.0005  0.0122

