trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1270 710.00  0.00 800.00 17.20  0
  1  571 320.00  0.00 800.00 52.00  1
  2  626 350.00  0.00 800.00 104.00  1
  3  681 380.00  0.00 800.00 156.00  1
  4  647 360.00  0.00 800.00 520.00  0
  5  789 440.00  0.00 800.00 156.00  0
  6  663 370.00  0.00 800.00 156.00  1
  7  789 450.00  0.00 800.00 104.00  0
  8  700 390.00  0.00 800.00 260.00  1
  9    3  10.00  0.00 800.00  2.00  1
 10    0  10.00  0.00 800.00  0.43  1
 11    0  20.00  0.00 800.00  0.71  1
 12  862 480.00  0.00 800.00 260.00  0
 13  826 460.00  0.00 800.00 260.00  0
 14  555 310.00  0.00 800.00 156.00  1
 15  825 460.00  0.00 800.00 156.00  1
 16  862 480.00  0.00 800.00 260.00  0
 17  808 450.00  0.00 800.00 260.00  0
 18  645 360.00  0.00 800.00 156.00  1
 19  627 350.00  0.00 800.00 156.00  1
 20  754 420.00  0.00 800.00 260.00  0
 21  772 430.00  0.00 800.00 260.00  0
 22  753 420.00  0.00 800.00 156.00  1
 23  735 410.00  0.00 800.00 156.00  1
 24  754 420.00  0.00 800.00 260.00  0
 25  699 390.00  0.00 800.00 156.00  1
 26  699 410.00  0.00 800.00 104.00  1
 27  772 430.00  0.00 800.00 260.00  0
 28  717 400.00  0.00 800.00 156.00  1
 29  754 420.00  0.00 800.00 260.00  0
 30  717 390.00  0.00 800.00 104.00  1
 31  717 420.00  0.00 800.00 104.00  1
 32  717 420.00  0.00 800.00 104.00  1
 33  754 420.00  0.00 800.00 260.00  0
 34  717 420.00  0.00 800.00 260.00  0
 35  717 420.00  0.00 800.00 104.00  1
 36  717 410.00  0.00 800.00 260.00  0
 37  717 400.00  0.00 800.00 104.00  1
 38  735 410.00  0.00 800.00 156.00  0
 39  753 420.00  0.00 800.00 156.00  0
 40  771 430.00  0.00 800.00 156.00  0
 41  789 440.00  0.00 800.00 156.00  0
