Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.5013  0.9951    -4.7787 -2.4264
      1  -2.8991  0.8927    -3.8866 -2.3606
      2  -2.6398  0.8895    -3.4233 -2.3321
      3  -2.7546  0.8558    -3.5356 -2.4359
      4  -2.6765  0.7643    -3.0275 -2.3963
      5  -3.5132  1.9747    -8.3857 -2.3305
      6  -3.0745  1.6299    -7.6548 -2.3262
      7  -2.7807  1.2702    -6.2208 -2.3240
      8  -2.6064  0.9569    -3.8244 -2.3228
      9  -2.4957  0.7413    -3.0313 -2.3210
     10  -2.4252  0.5892    -2.8277 -2.3193
     11  -2.3780  0.4793    -2.7537 -2.3180
     12  -2.3473  0.3653    -2.6522 -2.3173
     13  -2.3285  0.2758    -2.5757 -2.3170
     14  -2.3186  0.1998    -2.5732 -2.3168
     15  -2.3114  0.1503    -2.5694 -2.3166
     16  -2.3075  0.1114    -2.5675 -2.3165
     17  -2.3052  0.0884    -2.5661 -2.3165
     18  -2.3041  0.0631    -2.5658 -2.3164
     19  -2.3034  0.0465    -2.5655 -2.3164
     20  -2.3030  0.0343    -2.5653 -2.3164
     21  -2.3028  0.0255    -2.5652 -2.3164
     22  -2.3027  0.0184    -2.5651 -2.3164
     23  -2.3031  0.0404    -2.5653 -2.3164
     24  -2.3029  0.0297    -2.5652 -2.3164
     25  -2.3027  0.0219    -2.5651 -2.3164
     26  -2.3027  0.0156    -2.5651 -2.3164
     27  -2.3030  0.0356    -2.5652 -2.3164
     28  -2.3028  0.0261    -2.5652 -2.3164
     29  -2.3027  0.0192    -2.5651 -2.3164
     30  -2.3027  0.0145    -2.5651 -2.3164
     31  -2.3027  0.0109    -2.5651 -2.3164
     32  -2.3027  0.0237    -2.5651 -2.3164
     33  -2.3027  0.0177    -2.5651 -2.3164
     34  -2.3032  0.0453    -2.5652 -2.3164
     35  -2.3029  0.0334    -2.5652 -2.3164
     36  -2.3028  0.0245    -2.5652 -2.3164
     37  -2.3036  0.0603    -2.5654 -2.3164
     38  -2.3032  0.0443    -2.5653 -2.3164
     39  -2.3030  0.0351    -2.5652 -2.3164
     40  -2.3047  0.0911    -2.5655 -2.3164
     41  -2.3145  0.2255    -2.5668 -2.3165

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0989  0.0605     0.0003  0.1896
      1   0.0989  0.0605     0.0001  0.1896
      2   0.1001  0.0601     0.0001  0.1897
      3   0.0979  0.0604     0.0001  0.1894
      4   0.1067  0.0595     0.0035  0.1913
      5   0.0206  0.0232     0.0000  0.0626
      6   0.0247  0.0233     0.0000  0.0664
      7   0.0274  0.0230     0.0000  0.0683
      8   0.0291  0.0226     0.0001  0.0693
      9   0.0324  0.0228     0.0010  0.0727
     10   0.0360  0.0233     0.0028  0.0768
     11   0.0397  0.0241     0.0050  0.0818
     12   0.0427  0.0242     0.0078  0.0848
     13   0.0453  0.0242     0.0098  0.0875
     14   0.0466  0.0240     0.0117  0.0884
     15   0.0490  0.0241     0.0142  0.0909
     16   0.0510  0.0242     0.0156  0.0931
     17   0.0539  0.0249     0.0172  0.0970
     18   0.0544  0.0247     0.0181  0.0974
     19   0.0562  0.0248     0.0200  0.0994
     20   0.0581  0.0249     0.0216  0.1014
     21   0.0599  0.0250     0.0229  0.1031
     22   0.0611  0.0249     0.0240  0.1042
     23   0.0456  0.0173     0.0175  0.0739
     24   0.0468  0.0173     0.0188  0.0749
     25   0.0479  0.0172     0.0204  0.0758
     26   0.0483  0.0172     0.0210  0.0759
     27   0.0379  0.0130     0.0153  0.0582
     28   0.0387  0.0130     0.0159  0.0589
     29   0.0394  0.0129     0.0166  0.0596
     30   0.0402  0.0129     0.0174  0.0602
     31   0.0409  0.0129     0.0183  0.0608
     32   0.0337  0.0105     0.0146  0.0487
     33   0.0343  0.0104     0.0151  0.0494
     34   0.0278  0.0086     0.0105  0.0399
     35   0.0283  0.0085     0.0113  0.0402
     36   0.0287  0.0085     0.0121  0.0405
     37   0.0237  0.0072     0.0085  0.0333
     38   0.0241  0.0072     0.0088  0.0335
     39   0.0247  0.0072     0.0092  0.0339
     40   0.0201  0.0062     0.0074  0.0273
     41   0.0162  0.0054     0.0029  0.0222

