Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.9204  1.1115    -5.5790 -2.4730
      1  -3.1077  0.8140    -4.0247 -2.3875
      2  -2.7168  0.7466    -3.3684 -2.3459
      3  -3.0010  0.7933    -3.7937 -2.6360
      4  -2.9013  0.6127    -3.2311 -2.6279
      5  -2.8797  0.4593    -3.1311 -2.6871
      6  -2.8490  0.3404    -3.1216 -2.6855
      7  -2.8484  0.2529    -3.1208 -2.7445
      8  -2.8454  0.1897    -3.1202 -2.7725
      9  -2.8107  0.2414    -3.1170 -2.6441
     10  -2.8529  0.1803    -3.1192 -2.8586
     11  -2.8530  0.1331    -3.1190 -2.8620
     12  -2.8526  0.1000    -3.1188 -2.8633
     13  -2.8526  0.0769    -3.1187 -2.8643
     14  -2.9114  0.3326    -3.3342 -2.8660
     15  -2.8821  0.2491    -3.2005 -2.8653
     16  -2.8673  0.2224    -3.1252 -2.8634
     17  -2.8591  0.1628    -3.1219 -2.8635
     18  -2.9062  0.3729    -3.2952 -2.8639
     19  -3.0865  0.7521    -3.6656 -2.8651
     20  -3.0129  0.5795    -3.4059 -2.8648
     21  -2.9628  0.4573    -3.3796 -2.8641
     22  -2.9257  0.3661    -3.3506 -2.8632
     23  -2.8951  0.3216    -3.2887 -2.8610
     24  -2.8794  0.2434    -3.2405 -2.8613
     25  -2.8645  0.2288    -3.1286 -2.8583
     26  -2.8637  0.1759    -3.1282 -2.8619
     27  -2.8636  0.1369    -3.1280 -2.8644
     28  -2.8587  0.1064    -3.1243 -2.8644
     29  -2.8726  0.1530    -3.1935 -2.8659
     30  -2.8621  0.1406    -3.1263 -2.8643
     31  -2.8580  0.1087    -3.1235 -2.8644
     32  -2.8674  0.1384    -3.1305 -2.8659
     33  -2.8640  0.1073    -3.1283 -2.8661
     34  -2.8593  0.0859    -3.1242 -2.8659
     35  -2.8700  0.1193    -3.1683 -2.8668
     36  -2.8659  0.0955    -3.1302 -2.8669
     37  -2.8617  0.0772    -3.1261 -2.8668
     38  -2.8600  0.0646    -3.1246 -2.8669
     39  -2.8580  0.0541    -3.1225 -2.8669
     40  -2.8590  0.0486    -3.1228 -2.8678
     41  -2.8557  0.0405    -3.1199 -2.8673

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0996  0.0598     0.0030  0.1896
      1   0.1005  0.0596     0.0033  0.1897
      2   0.1009  0.0593     0.0040  0.1898
      3   0.0938  0.0608     0.0005  0.1885
      4   0.1052  0.0585     0.0068  0.1904
      5   0.1113  0.0557     0.0139  0.1911
      6   0.1173  0.0531     0.0221  0.1918
      7   0.1213  0.0509     0.0298  0.1922
      8   0.1230  0.0497     0.0343  0.1924
      9   0.1080  0.0495     0.0272  0.1871
     10   0.1159  0.0485     0.0330  0.1894
     11   0.1176  0.0474     0.0368  0.1896
     12   0.1185  0.0469     0.0389  0.1897
     13   0.1193  0.0464     0.0407  0.1898
     14   0.0510  0.0274     0.0098  0.0984
     15   0.0547  0.0271     0.0142  0.1014
     16   0.0576  0.0277     0.0159  0.1057
     17   0.0593  0.0274     0.0184  0.1069
     18   0.0382  0.0180     0.0084  0.0673
     19   0.0233  0.0126     0.0004  0.0421
     20   0.0250  0.0123     0.0024  0.0435
     21   0.0267  0.0121     0.0047  0.0451
     22   0.0282  0.0121     0.0072  0.0465
     23   0.0296  0.0124     0.0077  0.0479
     24   0.0306  0.0121     0.0087  0.0486
     25   0.0312  0.0123     0.0089  0.0498
     26   0.0321  0.0122     0.0101  0.0506
     27   0.0330  0.0120     0.0113  0.0513
     28   0.0339  0.0119     0.0129  0.0522
     29   0.0301  0.0107     0.0100  0.0460
     30   0.0306  0.0108     0.0104  0.0466
     31   0.0314  0.0107     0.0115  0.0471
     32   0.0293  0.0100     0.0100  0.0439
     33   0.0297  0.0099     0.0107  0.0442
     34   0.0306  0.0099     0.0119  0.0452
     35   0.0280  0.0091     0.0099  0.0407
     36   0.0286  0.0090     0.0107  0.0410
     37   0.0292  0.0090     0.0117  0.0414
     38   0.0297  0.0089     0.0126  0.0418
     39   0.0302  0.0089     0.0139  0.0426
     40   0.0308  0.0089     0.0142  0.0432
     41   0.0311  0.0089     0.0143  0.0439

