Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.1119  1.3279    -7.3676 -5.2381
      1  -5.9277  0.7389    -6.9941 -5.1090
      2  -5.4861  0.5410    -6.1657 -5.0698
      3  -5.7507  0.4439    -6.3166 -5.4507
      4  -5.9130  0.4261    -6.4339 -5.7099
      5  -5.8733  0.3083    -6.1674 -5.7200
      6  -5.8966  0.2292    -6.1666 -5.8997
      7  -5.8993  0.1733    -6.1657 -5.9024
      8  -5.9003  0.1359    -6.1651 -5.9038
      9  -5.9005  0.1120    -6.1647 -5.9044
     10  -5.9009  0.0959    -6.1643 -5.9053
     11  -5.9009  0.0862    -6.1641 -5.9056
     12  -5.9008  0.0802    -6.1639 -5.9058
     13  -5.9006  0.0764    -6.1638 -5.9060
     14  -5.9005  0.0736    -6.1636 -5.9061
     15  -5.9006  0.0706    -6.1635 -5.9065
     16  -5.9005  0.0689    -6.1634 -5.9066
     17  -5.9005  0.0667    -6.1632 -5.9068
     18  -5.9004  0.0655    -6.1631 -5.9069
     19  -5.9003  0.0645    -6.1631 -5.9069
     20  -5.9003  0.0627    -6.1630 -5.9071
     21  -5.9002  0.0617    -6.1629 -5.9072
     22  -5.9002  0.0605    -6.1628 -5.9073
     23  -5.9001  0.0595    -6.1627 -5.9073
     24  -5.9001  0.0586    -6.1627 -5.9074
     25  -5.9000  0.0576    -6.1626 -5.9074
     26  -5.9000  0.0564    -6.1625 -5.9075
     27  -5.8999  0.0558    -6.1625 -5.9076
     28  -5.8999  0.0551    -6.1624 -5.9076
     29  -5.8999  0.0541    -6.1623 -5.9077
     30  -5.8998  0.0534    -6.1623 -5.9077
     31  -5.8998  0.0525    -6.1622 -5.9078
     32  -5.8998  0.0519    -6.1622 -5.9078
     33  -5.9561  0.1483    -6.3998 -5.9116
     34  -5.9556  0.1469    -6.3990 -5.9116
     35  -5.9552  0.1458    -6.3984 -5.9116
     36  -5.9549  0.1448    -6.3979 -5.9116
     37  -5.9545  0.1435    -6.3971 -5.9116
     38  -5.9541  0.1425    -6.3966 -5.9116
     39  -5.9538  0.1415    -6.3960 -5.9116
     40  -5.9534  0.1404    -6.3954 -5.9116
     41  -5.9531  0.1394    -6.3947 -5.9116

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1011  0.0593     0.0050  0.1898
      1   0.1001  0.0598     0.0035  0.1897
      2   0.1022  0.0595     0.0044  0.1902
      3   0.1023  0.0589     0.0054  0.1900
      4   0.1024  0.0596     0.0048  0.1903
      5   0.1133  0.0562     0.0133  0.1917
      6   0.1214  0.0529     0.0226  0.1926
      7   0.1234  0.0514     0.0283  0.1928
      8   0.1246  0.0504     0.0317  0.1929
      9   0.1252  0.0499     0.0337  0.1929
     10   0.1260  0.0492     0.0359  0.1930
     11   0.1265  0.0489     0.0371  0.1930
     12   0.1268  0.0486     0.0379  0.1930
     13   0.1270  0.0484     0.0386  0.1930
     14   0.1272  0.0483     0.0392  0.1930
     15   0.1277  0.0479     0.0405  0.1931
     16   0.1278  0.0478     0.0410  0.1931
     17   0.1282  0.0475     0.0420  0.1931
     18   0.1283  0.0474     0.0423  0.1931
     19   0.1284  0.0473     0.0425  0.1931
     20   0.1288  0.0471     0.0433  0.1932
     21   0.1289  0.0470     0.0436  0.1932
     22   0.1291  0.0468     0.0441  0.1932
     23   0.1292  0.0467     0.0445  0.1932
     24   0.1294  0.0466     0.0448  0.1932
     25   0.1295  0.0465     0.0453  0.1932
     26   0.1298  0.0463     0.0459  0.1932
     27   0.1298  0.0463     0.0461  0.1932
     28   0.1299  0.0462     0.0463  0.1932
     29   0.1301  0.0461     0.0469  0.1933
     30   0.1303  0.0460     0.0472  0.1933
     31   0.1305  0.0458     0.0478  0.1933
     32   0.1305  0.0458     0.0480  0.1933
     33   0.0823  0.0409     0.0244  0.1595
     34   0.0825  0.0408     0.0247  0.1597
     35   0.0827  0.0408     0.0249  0.1598
     36   0.0828  0.0408     0.0251  0.1598
     37   0.0831  0.0407     0.0255  0.1600
     38   0.0833  0.0407     0.0257  0.1601
     39   0.0834  0.0406     0.0259  0.1602
     40   0.0837  0.0406     0.0262  0.1603
     41   0.0840  0.0405     0.0266  0.1605

