Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.1403  1.1899    -6.0948 -2.3726
      1  -2.8049  1.1863    -5.8113 -2.3348
      2  -2.9278  1.1565    -5.8474 -2.4738
      3  -2.7574  0.9117    -3.6317 -2.4549
      4  -3.1367  1.6627    -7.7782 -2.3320
      5  -2.8287  1.2979    -6.4350 -2.3292
      6  -2.9727  1.3536    -6.8321 -2.3592
      7  -2.7657  1.0364    -4.7277 -2.3554
      8  -2.7345  0.8795    -3.4044 -2.4022
      9  -2.7061  0.9022    -3.4013 -2.3626
     10  -2.6405  0.8071    -2.9834 -2.3480
     11  -2.6487  0.6933    -2.8545 -2.3953
     12  -2.6733  0.6796    -2.8978 -2.5333
     13  -2.9564  1.3631    -6.8574 -2.3527
     14  -5.6744  2.0962    -9.1156 -2.6140
     15  -5.6160  2.1075    -9.1050 -2.5878
     16  -5.5317  2.1248    -9.0894 -2.5526
     17  -5.4004  2.1527    -9.0657 -2.5083
     18  -5.1909  2.1897    -9.0275 -2.4601
     19  -4.8731  2.2142    -8.9583 -2.4174
     20  -4.4410  2.1800    -8.8284 -2.3858
     21  -3.9453  2.0348    -8.5783 -2.3656
     22  -3.4818  1.7714    -8.0926 -2.3538
     23  -3.1268  1.4449    -7.1624 -2.3473
     24  -2.8946  1.1268    -5.5045 -2.3439
     25  -2.7583  0.8614    -3.7032 -2.3420
     26  -2.6833  0.6613    -3.4565 -2.3411
     27  -2.6435  0.5217    -3.3825 -2.3406
     28  -2.6227  0.4305    -3.3612 -2.3403
     29  -2.5694  0.3865    -3.2595 -2.3353
     30  -2.6328  0.4225    -3.3511 -2.3436
     31  -2.7090  0.4614    -3.4443 -2.3568
     32  -2.7883  0.4873    -3.5767 -2.3775
     33  -2.8789  0.5137    -3.6663 -2.4144
     34  -2.9750  0.5345    -3.8101 -2.4824
     35  -2.9577  0.4648    -3.7760 -2.4818
     36  -2.8737  0.4328    -3.6302 -2.4350
     37  -2.9556  0.4431    -3.6975 -2.5144
     38  -3.0288  0.4417    -3.8114 -2.5967
     39  -2.9517  0.4174    -3.6627 -2.5506
     40  -2.8888  0.3931    -3.5922 -2.4915
     41  -2.8820  0.3561    -3.5851 -2.4913

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0932  0.0629     0.0001  0.1890
      1   0.0933  0.0625     0.0001  0.1888
      2   0.0912  0.0628     0.0001  0.1884
      3   0.1049  0.0601     0.0001  0.1907
      4   0.0413  0.0386     0.0000  0.1135
      5   0.0462  0.0380     0.0000  0.1168
      6   0.0425  0.0369     0.0000  0.1113
      7   0.0473  0.0363     0.0001  0.1149
      8   0.0542  0.0382     0.0001  0.1240
      9   0.0504  0.0357     0.0001  0.1155
     10   0.0522  0.0358     0.0010  0.1183
     11   0.0600  0.0380     0.0039  0.1286
     12   0.0648  0.0395     0.0043  0.1353
     13   0.0265  0.0209     0.0000  0.0621
     14   0.0002  0.0007     0.0000  0.0001
     15   0.0002  0.0010     0.0000  0.0001
     16   0.0004  0.0014     0.0000  0.0001
     17   0.0006  0.0018     0.0000  0.0024
     18   0.0010  0.0024     0.0000  0.0045
     19   0.0017  0.0030     0.0000  0.0056
     20   0.0027  0.0034     0.0000  0.0061
     21   0.0039  0.0035     0.0000  0.0064
     22   0.0049  0.0033     0.0000  0.0066
     23   0.0058  0.0028     0.0000  0.0066
     24   0.0063  0.0022     0.0000  0.0067
     25   0.0067  0.0017     0.0001  0.0067
     26   0.0069  0.0014     0.0002  0.0067
     27   0.0070  0.0011     0.0003  0.0067
     28   0.0070  0.0009     0.0004  0.0067
     29   0.0070  0.0010     0.0004  0.0067
     30   0.0070  0.0009     0.0004  0.0067
     31   0.0070  0.0009     0.0004  0.0067
     32   0.0070  0.0009     0.0004  0.0067
     33   0.0069  0.0009     0.0004  0.0067
     34   0.0069  0.0009     0.0003  0.0067
     35   0.0070  0.0007     0.0004  0.0067
     36   0.0070  0.0007     0.0004  0.0067
     37   0.0070  0.0007     0.0004  0.0067
     38   0.0070  0.0007     0.0004  0.0067
     39   0.0070  0.0007     0.0004  0.0067
     40   0.0070  0.0007     0.0004  0.0067
     41   0.0070  0.0006     0.0004  0.0067

